node1,node2,relations
soupe,soupe,"[{""id"": 334023, ""node1"": 117152, ""node2"": 117152, ""type"": 19, ""w"": 160.0}]"
légume,provençal,[]
soupe,servir,"[{""id"": 892689541, ""node1"": 117152, ""node2"": 7888, ""type"": 0, ""w"": 20.0}, {""id"": 369969200, ""node1"": 117152, ""node2"": 7888, ""type"": 26, ""w"": 100.0}, {""id"": 1041781184, ""node1"": 117152, ""node2"": 7888, ""type"": 30, ""w"": 51.0}]"
huile,olive,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
pesto,italien,"[{""id"": 1044492706, ""node1"": 221048, ""node2"": 103658, ""type"": 666, ""w"": 2.0}, {""id"": 487112387, ""node1"": 221048, ""node2"": 103658, ""type"": 777, ""w"": 10.0}]"
sens,même,[]
pesto,sens,[]
pesto,cuisine,"[{""id"": 15309622, ""node1"": 221048, ""node2"": 16033, ""type"": 0, ""w"": 310.0}, {""id"": 14687675, ""node1"": 221048, ""node2"": 16033, ""type"": 3, ""w"": 308.0}, {""id"": 1011199986, ""node1"": 221048, ""node2"": 16033, ""type"": 15, ""w"": 26.0}]"
contenir,dernier,[]
contenir,pignon,[]
servir,qui,[]
mortier,servir,[]
faire,préparation,[]
dire,qui,[]
basilic,dire,[]
désigner,basilic,[]
basilic,perdre,[]
perdre,énormément,[]
saveur,cuisson,[]
désigner,mélanger,[]
moment,service,[]
mélanger,mélanger,"[{""id"": 315784, ""node1"": 37151, ""node2"": 37151, ""type"": 19, ""w"": 52.0}, {""id"": 213486576, ""node1"": 37151, ""node2"": 37151, ""type"": 57, ""w"": 34.0}]"
cuisinier,français,[]
cuisinier,connaître,[]
livre,cuisinière,[]
cuisinière,provençal,[]
livre,compiler,[]
compiler,recette,[]
recette,provençal,[]
celui,recette,[]
recette,présenter,[]
celui,soupe,[]
marmite,litre,[]
litre,eau,"[{""id"": 2458362, ""node1"": 57416, ""node2"": 65012, ""type"": 0, ""w"": 84.0}, {""id"": 15759326, ""node1"": 57416, ""node2"": 65012, ""type"": 28, ""w"": 10.0}, {""id"": 720818422, ""node1"": 57416, ""node2"": 65012, ""type"": 174, ""w"": 25.0}, {""id"": 980526881, ""node1"": 57416, ""node2"": 65012, ""type"": 666, ""w"": 3.0}]"
haricot,vert,"[{""id"": 369652, ""node1"": 114886, ""node2"": 26976, ""type"": 0, ""w"": 294.0}, {""id"": 1774168, ""node1"": 114886, ""node2"": 26976, ""type"": 17, ""w"": 26.0}, {""id"": 3163694, ""node1"": 114886, ""node2"": 26976, ""type"": 106, ""w"": 18.0}, {""id"": 1764962, ""node1"": 114886, ""node2"": 26976, ""type"": 666, ""w"": 3.0}]"
eau,couper,"[{""id"": 376164896, ""node1"": 65012, ""node2"": 128828, ""type"": 25, ""w"": 32.0}]"
pomme,terre,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]"
mettre,tomate,[]
tomate,éplucher,"[{""id"": 758065757, ""node1"": 22138, ""node2"": 59879, ""type"": 24, ""w"": 30.0}, {""id"": 31849491, ""node1"": 22138, ""node2"": 59879, ""type"": 26, ""w"": 32.0}]"
quart,cuisson,[]
quart,ajouter,[]
ajouter,gramme,[]
quart,attache,[]
devoir,soupe,[]
moment,servir,[]
gousse,ail,"[{""id"": 1841967, ""node1"": 3889, ""node2"": 26979, ""type"": 0, ""w"": 58.0}, {""id"": 665112731, ""node1"": 3889, ""node2"": 26979, ""type"": 174, ""w"": 40.0}, {""id"": 714921743, ""node1"": 3889, ""node2"": 26979, ""type"": 666, ""w"": 3.0}]"
branche,basilic,[]
cuillère,huile,"[{""id"": 775213351, ""node1"": 51905, ""node2"": 141971, ""type"": 174, ""w"": 25.0}]"
tournant,former,[]
composition,cuillère,[]
cuillère,soupe,"[{""id"": 139567, ""node1"": 51905, ""node2"": 117152, ""type"": 0, ""w"": 288.0}, {""id"": 960354064, ""node1"": 51905, ""node2"": 117152, ""type"": 82, ""w"": 33.0}, {""id"": 1912589, ""node1"": 51905, ""node2"": 117152, ""type"": 666, ""w"": 6.0}]"
poignée,fromage,[]
soupe,rencontre,[]
recette,nombreux,[]
avoir,cuisinier,[]
avoir,méthode,[]
façon,général,[]
légume,frais,"[{""id"": 797205548, ""node1"": 120603, ""node2"": 53495, ""type"": 0, ""w"": 26.0}, {""id"": 362117, ""node1"": 120603, ""node2"": 53495, ""type"": 17, ""w"": 70.0}]"
légume,haricot,"[{""id"": 123782, ""node1"": 120603, ""node2"": 114886, ""type"": 0, ""w"": 343.0}, {""id"": 436669, ""node1"": 120603, ""node2"": 114886, ""type"": 8, ""w"": 166.0}, {""id"": 15191978, ""node1"": 120603, ""node2"": 114886, ""type"": 27, ""w"": -23.0}]"
inclure,légume,[]
légume,hiver,[]
légume,tel,[]
cuire,qui,[]
pâte,cuire,"[{""id"": 987166482, ""node1"": 34069, ""node2"": 5115, ""type"": 25, ""w"": -25.0}, {""id"": 96931380, ""node1"": 34069, ""node2"": 5115, ""type"": 26, ""w"": 32.0}]"
sifflet,petit,[]
épais,sifflet,[]
spaghetti,couper,[]
celui-ci,diluer,[]
donne,chef,[]
donne,recette,[]
recette,contenir,[]
contenir,carotte,[]
coco,blanc,"[{""id"": 1595042, ""node1"": 145904, ""node2"": 15196, ""type"": 0, ""w"": 34.0}]"
donne,haricot,[]
haricot,blanc,"[{""id"": 2193506, ""node1"": 114886, ""node2"": 15196, ""type"": 0, ""w"": 93.0}, {""id"": 1774170, ""node1"": 114886, ""node2"": 15196, ""type"": 17, ""w"": 26.0}, {""id"": 3163695, ""node1"": 114886, ""node2"": 15196, ""type"": 106, ""w"": 14.0}, {""id"": 1802800, ""node1"": 114886, ""node2"": 15196, ""type"": 666, ""w"": 1.0}]"
donne,coco,[]
coco,rouge,"[{""id"": 1042426868, ""node1"": 145904, ""node2"": 86356, ""type"": 0, ""w"": 6.0}]"
haricot,plat,"[{""id"": 10563540, ""node1"": 114886, ""node2"": 36327, ""type"": 0, ""w"": 28.0}, {""id"": 3263224, ""node1"": 114886, ""node2"": 36327, ""type"": 10, ""w"": 38.0}, {""id"": 2114652, ""node1"": 114886, ""node2"": 36327, ""type"": 17, ""w"": 27.0}, {""id"": 1068780989, ""node1"": 114886, ""node2"": 36327, ""type"": 666, ""w"": 2.0}]"
projet,autre,[]
