node1,node2,relations
gâteau,broche,[]
dessert,régional,[]
dessert,sud,[]
dessert,province,[]
élément,important,"[{""id"": 372882275, ""node1"": 42490, ""node2"": 9518, ""type"": 17, ""w"": 46.0}]"
élément,patrimoine,[]
patrimoine,culinaire,[]
placer,mélange,[]
mélange,constituer,[]
œuf,farine,"[{""id"": 1041435811, ""node1"": 174124, ""node2"": 127629, ""type"": 6, ""w"": 35.0}]"
farine,pomme,[]
farine,terre,[]
œuf,travailler,[]
former,pâte,"[{""id"": 97862150, ""node1"": 66314, ""node2"": 34069, ""type"": 14, ""w"": 39.0}]"
feu,ouvert,"[{""id"": 548976455, ""node1"": 143703, ""node2"": 73154, ""type"": 17, ""w"": 26.0}]"
préparer,dessert,"[{""id"": 15082566, ""node1"": 36246, ""node2"": 38557, ""type"": 14, ""w"": 30.0}]"
sac,plastique,"[{""id"": 1697294, ""node1"": 40635, ""node2"": 85406, ""type"": 0, ""w"": 130.0}, {""id"": 9974151, ""node1"": 40635, ""node2"": 85406, ""type"": 9, ""w"": 10.0}, {""id"": 219034, ""node1"": 40635, ""node2"": 85406, ""type"": 17, ""w"": 70.0}, {""id"": 96740320, ""node1"": 40635, ""node2"": 85406, ""type"": 50, ""w"": 59.0}, {""id"": 1525343, ""node1"": 40635, ""node2"": 85406, ""type"": 666, ""w"": 1.0}]"
sceller,qui,[]
sac,sceller,[]
devoir,reste,[]
devoir,gâteau,[]
moment,consommer,[]
pouvoir,taille,[]
varier,centimètre,[]
taille,grand,"[{""id"": 1591315, ""node1"": 142267, ""node2"": 23178, ""type"": 0, ""w"": 374.0}, {""id"": 9973309, ""node1"": 142267, ""node2"": 23178, ""type"": 9, ""w"": 30.0}, {""id"": 9983636, ""node1"": 142267, ""node2"": 23178, ""type"": 10, ""w"": 35.0}, {""id"": 14805995, ""node1"": 142267, ""node2"": 23178, ""type"": 17, ""w"": 32.0}, {""id"": 5091375, ""node1"": 142267, ""node2"": 23178, ""type"": 35, ""w"": -10.0}, {""id"": 646139314, ""node1"": 142267, ""node2"": 23178, ""type"": 666, ""w"": 4.0}]"
gâteau,taille,[]
pavé,petit,[]
laisser,dresser,[]
utiliser,lame,[]
lame,scie,"[{""id"": 10533556, ""node1"": 139377, ""node2"": 16414, ""type"": 0, ""w"": 12.0}, {""id"": 2199029, ""node1"": 139377, ""node2"": 16414, ""type"": 10, ""w"": 53.0}, {""id"": 993559799, ""node1"": 139377, ""node2"": 16414, ""type"": 666, ""w"": 3.0}]"
lame,métal,"[{""id"": 98273861, ""node1"": 139377, ""node2"": 134927, ""type"": 0, ""w"": 31.0}, {""id"": 98270612, ""node1"": 139377, ""node2"": 134927, ""type"": 9, ""w"": 28.0}, {""id"": 4049362, ""node1"": 139377, ""node2"": 134927, ""type"": 777, ""w"": 10.0}]"
portion,taille,[]
taille,adapté,[]
café,noir,"[{""id"": 143098, ""node1"": 66324, ""node2"": 64238, ""type"": 0, ""w"": 549.0}, {""id"": 3144530, ""node1"": 66324, ""node2"": 64238, ""type"": 5, ""w"": 83.0}, {""id"": 150362, ""node1"": 66324, ""node2"": 64238, ""type"": 8, ""w"": 73.0}, {""id"": 118856, ""node1"": 66324, ""node2"": 64238, ""type"": 17, ""w"": 227.0}, {""id"": 97334403, ""node1"": 66324, ""node2"": 64238, ""type"": 20, ""w"": 15.0}, {""id"": 104939735, ""node1"": 66324, ""node2"": 64238, ""type"": 28, ""w"": 4.0}, {""id"": 3163356, ""node1"": 66324, ""node2"": 64238, ""type"": 106, ""w"": 22.0}, {""id"": 1783037, ""node1"": 66324, ""node2"": 64238, ""type"": 666, ""w"": 12.0}]"
projet,autre,[]
