node1,node2,relations
sandwich,composer,[]
tranche,pain,"[{""id"": 240074, ""node1"": 143123, ""node2"": 61283, ""type"": 0, ""w"": 221.0}, {""id"": 97833247, ""node1"": 143123, ""node2"": 61283, ""type"": 3, ""w"": 10.0}, {""id"": 9992595, ""node1"": 143123, ""node2"": 61283, ""type"": 10, ""w"": 4.0}, {""id"": 97327248, ""node1"": 143123, ""node2"": 61283, ""type"": 35, ""w"": 30.0}, {""id"": 775213283, ""node1"": 143123, ""node2"": 61283, ""type"": 174, ""w"": 25.0}]"
pain,grillé,"[{""id"": 1782545, ""node1"": 61283, ""node2"": 141899, ""type"": 17, ""w"": 80.0}]"
tranche,placer,[]
tranche,salé,[]
revenir,apparaître,"[{""id"": 989991, ""node1"": 59241, ""node2"": 52906, ""type"": 0, ""w"": 29.0}, {""id"": 53766689, ""node1"": 59241, ""node2"": 52906, ""type"": 5, ""w"": 76.0}]"
revenir,sandwich,[]
mode,siècle,"[{""id"": 665159356, ""node1"": 133857, ""node2"": 85174, ""type"": 0, ""w"": 26.0}]"
pain,mie,"[{""id"": 96115, ""node1"": 61283, ""node2"": 37905, ""type"": 0, ""w"": 547.0}, {""id"": 246259884, ""node1"": 61283, ""node2"": 37905, ""type"": 8, ""w"": 28.0}, {""id"": 416745, ""node1"": 61283, ""node2"": 37905, ""type"": 9, ""w"": 157.0}, {""id"": 98667958, ""node1"": 61283, ""node2"": 37905, ""type"": 27, ""w"": 24.0}, {""id"": 238490, ""node1"": 61283, ""node2"": 37905, ""type"": 28, ""w"": 159.0}, {""id"": 25778962, ""node1"": 61283, ""node2"": 37905, ""type"": 50, ""w"": 51.0}, {""id"": 1832942, ""node1"": 61283, ""node2"": 37905, ""type"": 666, ""w"": 2.0}]"
tranche,entourer,[]
entourer,tranche,[]
pouvoir,beurre,[]
version,autre,"[{""id"": 463200565, ""node1"": 134208, ""node2"": 7574, ""type"": 17, ""w"": 46.0}]"
présente,tranche,[]
pain,griller,"[{""id"": 906936967, ""node1"": 61283, ""node2"": 46367, ""type"": 0, ""w"": 20.0}, {""id"": 14843337, ""node1"": 61283, ""node2"": 46367, ""type"": 24, ""w"": 30.0}, {""id"": 1923006, ""node1"": 61283, ""node2"": 46367, ""type"": 25, ""w"": 80.0}, {""id"": 289454911, ""node1"": 61283, ""node2"": 46367, ""type"": 26, ""w"": 100.0}]"
tranche,épice,[]
tranche,suggérer,[]
suggérer,ingrédient,[]
ingrédient,possible,[]
œuf,plat,"[{""id"": 1979991, ""node1"": 174124, ""node2"": 36327, ""type"": 0, ""w"": 90.0}]"
pouvoir,pain,[]
varier,remplacer,"[{""id"": 8428901, ""node1"": 124763, ""node2"": 52286, ""type"": 0, ""w"": 19.0}]"
remplacer,pain,"[{""id"": 606779931, ""node1"": 52286, ""node2"": 61283, ""type"": 14, ""w"": 31.0}]"
mie,classique,[]
remonter,recette,[]
recette,inclure,[]
livre,succès,"[{""id"": 2342789, ""node1"": 142787, ""node2"": 51161, ""type"": 41, ""w"": 45.0}]"
recette,Management,[]
recette,Isabella,[]
faire,qui,"[{""id"": 729891679, ""node1"": 87528, ""node2"": 114890, ""type"": 9, ""w"": -5.0}]"
Isabella,faire,[]
faire,promotion,[]
promotion,plat,[]
affirmer,bon,[]
qualité,mauvais,"[{""id"": 892079573, ""node1"": 48513, ""node2"": 119625, ""type"": 0, ""w"": 20.0}]"
raison,qualité,"[{""id"": 376158979, ""node1"": 39301, ""node2"": 48513, ""type"": 6, ""w"": 31.0}]"
qualité,pain,[]
pain,époque,[]
présente,pain,[]
pain,actuel,[]
pain,bénéficier,[]
ajout,vitamine,[]
ajout,tout,[]
bon,présente,[]
plat,bon,"[{""id"": 415003454, ""node1"": 36327, ""node2"": 144229, ""type"": 0, ""w"": 27.0}, {""id"": 14801682, ""node1"": 36327, ""node2"": 144229, ""type"": 17, ""w"": 67.0}]"
système,digestif,[]
rendre,consommation,[]
consommation,plat,[]
repas,plat,"[{""id"": 63670, ""node1"": 74736, ""node2"": 36327, ""type"": 0, ""w"": 349.0}, {""id"": 23543473, ""node1"": 74736, ""node2"": 36327, ""type"": 5, ""w"": 128.0}, {""id"": 9972671, ""node1"": 74736, ""node2"": 36327, ""type"": 9, ""w"": 10.0}, {""id"": 1711415, ""node1"": 74736, ""node2"": 36327, ""type"": 10, ""w"": -3.0}, {""id"": 150236, ""node1"": 74736, ""node2"": 36327, ""type"": 21, ""w"": 56.0}, {""id"": 1771299, ""node1"": 74736, ""node2"": 36327, ""type"": 666, ""w"": 3.0}]"
repas,cher,[]
offrir,livre,"[{""id"": 477473618, ""node1"": 89749, ""node2"": 142787, ""type"": 0, ""w"": 29.0}, {""id"": 233373, ""node1"": 89749, ""node2"": 142787, ""type"": 14, ""w"": 100.0}]"
livre,personne,"[{""id"": 1018620748, ""node1"": 142787, ""node2"": 116477, ""type"": 8, ""w"": -25.0}, {""id"": 615033791, ""node1"": 142787, ""node2"": 116477, ""type"": 156, ""w"": 28.0}]"
préparer,repas,"[{""id"": 2467165, ""node1"": 36246, ""node2"": 74736, ""type"": 0, ""w"": 109.0}, {""id"": 2012740, ""node1"": 36246, ""node2"": 74736, ""type"": 14, ""w"": 100.0}, {""id"": 976362085, ""node1"": 36246, ""node2"": 74736, ""type"": 666, ""w"": 3.0}]"
préparer,cher,[]
bon,sandwich,"[{""id"": 914787314, ""node1"": 144229, ""node2"": 1447, ""type"": 0, ""w"": 20.0}, {""id"": 14780751, ""node1"": 144229, ""node2"": 1447, ""type"": 23, ""w"": 31.0}]"
bon,faire,[]
nature,nourriture,[]
nourriture,intéressant,[]
fruit,coque,"[{""id"": 798968199, ""node1"": 87286, ""node2"": 6910, ""type"": 0, ""w"": 28.0}]"
fruit,baie,"[{""id"": 630983, ""node1"": 87286, ""node2"": 108952, ""type"": 0, ""w"": 65.0}, {""id"": 12315731, ""node1"": 87286, ""node2"": 108952, ""type"": 5, ""w"": 158.0}, {""id"": 602209114, ""node1"": 87286, ""node2"": 108952, ""type"": 6, ""w"": -5.0}, {""id"": 3144835, ""node1"": 87286, ""node2"": 108952, ""type"": 8, ""w"": 48.0}, {""id"": 15173519, ""node1"": 87286, ""node2"": 108952, ""type"": 27, ""w"": -24.0}]"
trouver,composition,[]
composition,sandwich,[]
expression,sandwich,[]
prendre,plat,"[{""id"": 368488351, ""node1"": 86306, ""node2"": 36327, ""type"": 0, ""w"": 28.0}, {""id"": 368488350, ""node1"": 86306, ""node2"": 36327, ""type"": 14, ""w"": 100.0}]"
prendre,valeur,[]
valeur,comique,[]
parler,solution,"[{""id"": 766879043, ""node1"": 140318, ""node2"": 55600, ""type"": 13, ""w"": 7.0}]"
solution,alimentation,[]
