head,lemma,dep,pos,sim,relation
Bubble,ingrédient,nmod,NOUN,0.4042815268039703,[]
perle,Japon,nmod,PROPN,0.4228181540966034,"[{""id"": 4981897, ""node1"": 139228, ""node2"": 146396, ""type"": 777, ""w"": 10.0}]"
Bubble,thé,flat:name,NOUN,0.5098815560340881,[]
thé,vert,amod,ADJ,0.5548774003982544,"[{""id"": 167762, ""node1"": 143378, ""node2"": 26976, ""type"": 0, ""w"": 242.0}, {""id"": 539957036, ""node1"": 143378, ""node2"": 26976, ""type"": 11, ""w"": -25.0}, {""id"": 377047, ""node1"": 143378, ""node2"": 26976, ""type"": 17, ""w"": 102.0}, {""id"": 3154569, ""node1"": 143378, ""node2"": 26976, ""type"": 106, ""w"": 22.0}, {""id"": 2511133, ""node1"": 143378, ""node2"": 26976, ""type"": 666, ""w"": 3.0}]"
Bubble,casserole,appos,NOUN,0.4452609419822693,[]
Bubble,bouillir,acl,VERB,0.4718937277793884,[]
bouillir,casserole,obj,NOUN,0.6772975921630859,"[{""id"": 796851865, ""node1"": 42401, ""node2"": 57253, ""type"": 0, ""w"": 29.0}, {""id"": 372836, ""node1"": 42401, ""node2"": 57253, ""type"": 14, ""w"": 60.0}, {""id"": 979642036, ""node1"": 42401, ""node2"": 57253, ""type"": 666, ""w"": 3.0}]"
casserole,eau,nmod,NOUN,0.6077002882957458,"[{""id"": 96542705, ""node1"": 57253, ""node2"": 65012, ""type"": 0, ""w"": 19.0}, {""id"": 22760525, ""node1"": 57253, ""node2"": 65012, ""type"": 28, ""w"": 34.0}, {""id"": 96542704, ""node1"": 57253, ""node2"": 65012, ""type"": 666, ""w"": 1.0}]"
ajouter,sirop,obj,NOUN,0.6229512691497803,[]
refroidir,thé,obj,NOUN,0.591126024723053,"[{""id"": 165672, ""node1"": 126973, ""node2"": 143378, ""type"": 13, ""w"": 58.0}]"
plonger,perle,obj,NOUN,0.4963556826114654,[]
ajouter,colorant,obj,NOUN,0.5416777729988098,[]
colorant,alimentaire,amod,ADJ,0.5748974680900574,[]
cuire,minute,obj,NOUN,0.6918482780456543,[]
minute,minimum,acl,ADJ,0.4195579290390014,[]
feu,doux,amod,ADJ,0.5496628284454346,[]
devoir,perle,nsubj,NOUN,0.4639795422554016,[]
perle,fond,nmod,NOUN,0.5123762488365173,[]
fond,verre,nmod,NOUN,0.5332586169242859,"[{""id"": 9988078, ""node1"": 119272, ""node2"": 144497, ""type"": 10, ""w"": 4.0}]"
remplir,verre,obj,NOUN,0.5030102729797363,"[{""id"": 2588367, ""node1"": 95980, ""node2"": 144497, ""type"": 0, ""w"": 61.0}, {""id"": 1589582, ""node1"": 95980, ""node2"": 144497, ""type"": 14, ""w"": 100.0}, {""id"": 376200860, ""node1"": 95980, ""node2"": 144497, ""type"": 16, ""w"": 26.0}, {""id"": 1466817, ""node1"": 95980, ""node2"": 144497, ""type"": 31, ""w"": 65.0}]"
déposer,paille,obj,NOUN,0.5258708000183105,[]
