head,lemma,dep,pos,sim,relation
mettre,titre,nsubj,NOUN,0.4057502150535583,[]
vinaigre,ingrédient,nmod,NOUN,0.6862488389015198,[]
sel,gros,amod,ADJ,0.6553788781166077,"[{""id"": 188164, ""node1"": 13260, ""node2"": 88096, ""type"": 0, ""w"": 60.0}, {""id"": 645838, ""node1"": 13260, ""node2"": 88096, ""type"": 17, ""w"": 60.0}]"
sel,vinaigre,nmod,NOUN,0.683134913444519,"[{""id"": 796849792, ""node1"": 13260, ""node2"": 145443, ""type"": 0, ""w"": 28.0}]"
mettre,récolte,obj,NOUN,0.4922513365745544,[]
récolte,sel,nmod,NOUN,0.6816851496696472,[]
mettre,champignon,obj,NOUN,0.5527715086936951,[]
bocal,vinaigre,nmod,NOUN,0.6208510398864746,[]
vinaigre,blanc,amod,ADJ,0.5947067141532898,"[{""id"": 2151639, ""node1"": 145443, ""node2"": 15196, ""type"": 0, ""w"": 125.0}, {""id"": 8546217, ""node1"": 145443, ""node2"": 15196, ""type"": 106, ""w"": 1.0}]"
conserver,champignon,nsubj,NOUN,0.5682384967803955,[]
