head,lemma,dep,pos,sim,relation
titre,coque,nmod,NOUN,0.4170436263084411,[]
coque,pâte,nmod,NOUN,0.6110782623291016,[]
pâte,ingrédient,nmod,NOUN,0.6811284422874451,"[{""id"": 24920568, ""node1"": 34069, ""node2"": 123418, ""type"": 6, ""w"": 17.0}]"
coque,sel,nmod,NOUN,0.6869620084762573,[]
sel,poivre,acl,NOUN,0.6705341935157776,"[{""id"": 125169, ""node1"": 13260, ""node2"": 139597, ""type"": 0, ""w"": 495.0}, {""id"": 1029365119, ""node1"": 13260, ""node2"": 139597, ""type"": 67, ""w"": 28.0}, {""id"": 74985058, ""node1"": 13260, ""node2"": 139597, ""type"": 75, ""w"": 160.0}, {""id"": 1032956770, ""node1"": 13260, ""node2"": 139597, ""type"": 78, ""w"": 39.0}, {""id"": 652227840, ""node1"": 13260, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]"
poivre,persil,nmod,NOUN,0.6417090892791748,[]
coque,huile,amod,NOUN,0.5425827503204346,[]
coque,cocotte,nmod,NOUN,0.5433501601219177,[]
Spatule,saladier,nmod,NOUN,0.4745384156703949,[]
saladier,étape,nmod,NOUN,0.5214974880218506,[]
coque,eau,nmod,NOUN,0.5533803701400757,"[{""id"": 602096606, ""node1"": 6910, ""node2"": 65012, ""type"": 0, ""w"": 15.0}, {""id"": 3057794, ""node1"": 6910, ""node2"": 65012, ""type"": 15, ""w"": 53.0}, {""id"": 368006415, ""node1"": 6910, ""node2"": 65012, ""type"": 777, ""w"": 10.0}]"
mettre,coque,obj,NOUN,0.4643309414386749,[]
feu,vif,amod,ADJ,0.5094798803329468,"[{""id"": 418102926, ""node1"": 143703, ""node2"": 80204, ""type"": 0, ""w"": 13.0}, {""id"": 221184, ""node1"": 143703, ""node2"": 80204, ""type"": 17, ""w"": 52.0}]"
retirer,cocotte,obj,NOUN,0.6206820607185364,[]
cocotte,feu,nmod,NOUN,0.6191681623458862,[]
coquille,vide,amod,ADJ,0.4097658097743988,[]
coquille,ouvert,acl:relcl,ADJ,0.4010224640369415,[]
gousse,ail,nmod,NOUN,0.5501744151115417,"[{""id"": 1841967, ""node1"": 3889, ""node2"": 26979, ""type"": 0, ""w"": 58.0}, {""id"": 665112731, ""node1"": 3889, ""node2"": 26979, ""type"": 174, ""w"": 40.0}, {""id"": 714921743, ""node1"": 3889, ""node2"": 26979, ""type"": 666, ""w"": 3.0}]"
feu,doux,amod,ADJ,0.5496628284454346,[]
peu,huile,nmod,NOUN,0.5692240595817566,[]
verser,jus,obj,NOUN,0.5870975852012634,"[{""id"": 560983474, ""node1"": 104506, ""node2"": 53310, ""type"": 0, ""w"": 34.0}]"
cuire,pâte,obj,NOUN,0.7488689422607422,"[{""id"": 97862163, ""node1"": 5115, ""node2"": 34069, ""type"": 14, ""w"": 35.0}]"
pâte,dent,amod,ADJ,0.6100888848304749,[]
pâte,eau,nmod,NOUN,0.6791620850563049,"[{""id"": 12437285, ""node1"": 34069, ""node2"": 65012, ""type"": 0, ""w"": 59.0}, {""id"": 96931365, ""node1"": 34069, ""node2"": 65012, ""type"": 50, ""w"": 15.0}, {""id"": 650992493, ""node1"": 34069, ""node2"": 65012, ""type"": 666, ""w"": 5.0}]"
eau,saler,amod,ADJ,0.6464982628822327,"[{""id"": 31773665, ""node1"": 65012, ""node2"": 15671, ""type"": 26, ""w"": 30.0}]"
poser,sauteuse,obj,NOUN,0.4686728119850158,[]
sauteuse,feu,nmod,NOUN,0.5704478621482849,[]
mélanger,seconde,obj,NOUN,0.5167357325553894,[]
ajouter,coque,obj,NOUN,0.4541988968849182,[]
mélanger,reste,nsubj,NOUN,0.5285565853118896,[]
reste,huile,nmod,NOUN,0.6197094321250916,[]
