head,lemma,dep,pos,sim,relation
farine,beurre,appos,NOUN,0.7180377840995789,"[{""id"": 423997331, ""node1"": 127629, ""node2"": 140377, ""type"": 0, ""w"": 3.0}]"
beurre,vin,obj,NOUN,0.6824631690979004,"[{""id"": 500929119, ""node1"": 140377, ""node2"": 35798, ""type"": 0, ""w"": 28.0}, {""id"": 3980083, ""node1"": 140377, ""node2"": 35798, ""type"": 777, ""w"": 10.0}]"
vin,blanc,amod,ADJ,0.6016787886619568,"[{""id"": 61837, ""node1"": 35798, ""node2"": 15196, ""type"": 0, ""w"": 534.0}, {""id"": 54666180, ""node1"": 35798, ""node2"": 15196, ""type"": 5, ""w"": 76.0}, {""id"": 3170069, ""node1"": 35798, ""node2"": 15196, ""type"": 8, ""w"": 66.0}, {""id"": 8997815, ""node1"": 35798, ""node2"": 15196, ""type"": 17, ""w"": 39.0}, {""id"": 31148619, ""node1"": 35798, ""node2"": 15196, ""type"": 27, ""w"": 23.0}, {""id"": 3160066, ""node1"": 35798, ""node2"": 15196, ""type"": 106, ""w"": 6.0}, {""id"": 1526707, ""node1"": 35798, ""node2"": 15196, ""type"": 666, ""w"": 4.0}]"
crème,frais,amod,ADJ,0.5796430110931396,[]
crème,épais,amod,ADJ,0.5873329043388367,[]
Plat,gratin,nmod,NOUN,0.4779236614704132,[]
Plat,couteau,nmod,NOUN,0.49477618932724,[]
couteau,pinceau,nmod,NOUN,0.4793228805065155,"[{""id"": 914434066, ""node1"": 32610, ""node2"": 79400, ""type"": 0, ""w"": 20.0}]"
casserole,four,nmod,NOUN,0.7147663235664368,[]
four,cuillère,nmod,NOUN,0.7153509855270386,[]
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]"
cuillère,balance,nmod,NOUN,0.5329062342643738,[]
balance,cuisine,nmod,NOUN,0.5991910099983215,[]
balance,étape,nmod,NOUN,0.4149083495140075,[]
rondelle,fin,amod,ADJ,0.4580791592597961,[]
fondre,beurre,obj,NOUN,0.643409252166748,"[{""id"": 24768980, ""node1"": 16480, ""node2"": 140377, ""type"": 13, ""w"": 35.0}, {""id"": 15086091, ""node1"": 16480, ""node2"": 140377, ""type"": 14, ""w"": 30.0}]"
revenir,échalote,obj,NOUN,0.5848109126091003,[]
dorer,ajouter,advcl,VERB,0.521462619304657,[]
saupoudrer,farine,nmod,NOUN,0.6744689345359802,"[{""id"": 662505426, ""node1"": 133415, ""node2"": 127629, ""type"": 666, ""w"": 3.0}]"
ajouter,vin,obj,NOUN,0.6198925375938416,[]
feu,doux,amod,ADJ,0.5496628284454346,[]
cuire,min,obj,NOUN,0.5212259888648987,[]
devoir,sauce,nsubj,NOUN,0.6463649272918701,[]
gratin,cuire,acl,VERB,0.7331907153129578,"[{""id"": 606766350, ""node1"": 12942, ""node2"": 5115, ""type"": 0, ""w"": 12.0}, {""id"": 1633802, ""node1"": 12942, ""node2"": 5115, ""type"": 26, ""w"": 100.0}, {""id"": 1626470, ""node1"": 12942, ""node2"": 5115, ""type"": 38, ""w"": 230.0}]"
cuire,fois,nsubj,NOUN,0.6635112762451172,"[{""id"": 72773965, ""node1"": 5115, ""node2"": 38021, ""type"": 34, ""w"": -25.0}]"
