head,lemma,dep,pos,sim,relation
Energy,thé,nmod,NOUN,0.5296506881713867,[]
ingrédient,amande,appos,NOUN,0.5978695750236511,"[{""id"": 914494783, ""node1"": 123418, ""node2"": 28557, ""type"": 0, ""w"": 20.0}]"
ingrédient,abricot,amod,NOUN,0.5764672756195068,[]
eau,thé,nmod,NOUN,0.6344922780990601,"[{""id"": 796692978, ""node1"": 65012, ""node2"": 143378, ""type"": 0, ""w"": 26.0}, {""id"": 515361107, ""node1"": 65012, ""node2"": 143378, ""type"": 10, ""w"": 26.0}, {""id"": 377018707, ""node1"": 65012, ""node2"": 143378, ""type"": 20, ""w"": 31.0}, {""id"": 96700094, ""node1"": 65012, ""node2"": 143378, ""type"": 51, ""w"": 23.0}]"
cuillère,soupe,nmod,NOUN,0.6452588438987732,"[{""id"": 139567, ""node1"": 51905, ""node2"": 117152, ""type"": 0, ""w"": 288.0}, {""id"": 960354064, ""node1"": 51905, ""node2"": 117152, ""type"": 82, ""w"": 33.0}, {""id"": 1912589, ""node1"": 51905, ""node2"": 117152, ""type"": 666, ""w"": 6.0}]"
amande,grossièrement,amod,ADV,0.5256577134132385,[]
mettre,amande,obj,NOUN,0.5741140842437744,[]
amande,cuillère,nmod,NOUN,0.5920135378837585,[]
amande,soupe,nmod,NOUN,0.6881376504898071,[]
soupe,eau,nmod,NOUN,0.6488855481147766,"[{""id"": 215674, ""node1"": 117152, ""node2"": 65012, ""type"": 0, ""w"": 112.0}, {""id"": 214799398, ""node1"": 117152, ""node2"": 65012, ""type"": 9, ""w"": 73.0}, {""id"": 216637792, ""node1"": 117152, ""node2"": 65012, ""type"": 50, ""w"": 34.0}, {""id"": 1530290, ""node1"": 117152, ""node2"": 65012, ""type"": 666, ""w"": 1.0}]"
eau,chaud,amod,ADJ,0.6026924252510071,"[{""id"": 915041142, ""node1"": 65012, ""node2"": 19150, ""type"": 0, ""w"": 20.0}, {""id"": 432164, ""node1"": 65012, ""node2"": 19150, ""type"": 17, ""w"": 131.0}]"
obtenir,pâte,obj,NOUN,0.6173189282417297,[]
pâte,homogène,amod,ADJ,0.6105889678001404,"[{""id"": 796702467, ""node1"": 34069, ""node2"": 124759, ""type"": 0, ""w"": 28.0}, {""id"": 372565004, ""node1"": 34069, ""node2"": 124759, ""type"": 17, ""w"": 26.0}]"
devoir,pâte,nsubj,NOUN,0.6336450576782227,[]
sec,pâte,nsubj,NOUN,0.6259879469871521,"[{""id"": 97866011, ""node1"": 63619, ""node2"": 34069, ""type"": 23, ""w"": 27.0}]"
pouvoir,sec,advcl,ADJ,0.440991461277008,[]
rajouter,cuillère,obj,NOUN,0.5652350783348083,[]
former,boule,obj,NOUN,0.4745096266269684,"[{""id"": 461428458, ""node1"": 66314, ""node2"": 141883, ""type"": 14, ""w"": 41.0}]"
poudre,thé,nmod,NOUN,0.5997154712677002,[]
