head,lemma,dep,pos,sim,relation
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]"
cuillère,étape,nmod,NOUN,0.4685819745063782,[]
éliminer,tige,obj,NOUN,0.4327858388423919,[]
tige,dur,amod,ADJ,0.454586386680603,[]
chauffer,sauteuse,advcl,NOUN,0.5347701907157898,[]
chauffer,huile,obj,NOUN,0.64256751537323,[]
huile,olive,nmod,NOUN,0.577674388885498,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
huile,ail,nmod,NOUN,0.5995954871177673,[]
laisser,ail,obj,NOUN,0.5786915421485901,[]
ail,entier,amod,ADJ,0.5654206275939941,[]
mettre,pâte,obj,NOUN,0.6384987831115723,[]
feu,moyen,amod,ADJ,0.5528092384338379,[]
revenir,ajouter,advcl,VERB,0.4373447000980377,[]
ajouter,eau,obj,NOUN,0.5629687905311584,[]
cuire,il,nsubj:pass,PRON,0.4034532904624939,[]
ce,cuire,acl,VERB,0.456451803445816,[]
eau,manière,nmod,NOUN,0.5488376617431641,[]
eau,cuire,acl,VERB,0.7274088263511658,"[{""id"": 434400, ""node1"": 65012, ""node2"": 5115, ""type"": 25, ""w"": 61.0}, {""id"": 380404068, ""node1"": 65012, ""node2"": 5115, ""type"": 30, ""w"": 26.0}]"
cuire,pâte,obj,NOUN,0.7488689422607422,"[{""id"": 97862163, ""node1"": 5115, ""node2"": 34069, ""type"": 14, ""w"": 35.0}]"
mettre,rajouter,advcl,VERB,0.4263597726821899,"[{""id"": 53740726, ""node1"": 132366, ""node2"": 87561, ""type"": 0, ""w"": 23.0}, {""id"": 53610627, ""node1"": 132366, ""node2"": 87561, ""type"": 5, ""w"": 70.0}]"
rajouter,fin,obj,NOUN,0.4250212907791137,[]
mettre,fromage,obj,NOUN,0.64023756980896,[]
fromage,râpé,amod,ADV,0.5681582093238831,"[{""id"": 12302415, ""node1"": 141687, ""node2"": 52123, ""type"": 0, ""w"": 35.0}, {""id"": 570495, ""node1"": 141687, ""node2"": 52123, ""type"": 5, ""w"": 34.0}, {""id"": 25028576, ""node1"": 141687, ""node2"": 52123, ""type"": 8, ""w"": 26.0}, {""id"": 383306, ""node1"": 141687, ""node2"": 52123, ""type"": 17, ""w"": 129.0}]"
