head,lemma,dep,pos,sim,relation
ananas,Glace,appos,PROPN,0.4819377958774566,[]
ananas,frais,amod,ADJ,0.4845403432846069,"[{""id"": 603001737, ""node1"": 115827, ""node2"": 53495, ""type"": 0, ""w"": 31.0}, {""id"": 352106759, ""node1"": 115827, ""node2"": 53495, ""type"": 17, ""w"": 31.0}]"
tranche,fine,amod,NOUN,0.437188446521759,[]
récupérer,jus,obj,NOUN,0.5488473176956177,[]
égoutter,boîte,obj,NOUN,0.5003378391265869,[]
boîte,ananas,nmod,NOUN,0.5190498232841492,[]
égoutter,mettre,advcl,VERB,0.4904711842536926,[]
mettre,jus,obj,NOUN,0.5838963389396667,[]
jus,coté,nmod,NOUN,0.5651836395263672,[]
disposer,jus,obj,NOUN,0.5694556832313538,[]
jus,ananas,nmod,NOUN,0.5756807923316956,"[{""id"": 899180188, ""node1"": 53310, ""node2"": 115827, ""type"": 0, ""w"": 22.0}, {""id"": 1055429116, ""node1"": 53310, ""node2"": 115827, ""type"": 666, ""w"": 2.0}]"
disposer,boule,obj,NOUN,0.5157398581504822,[]
boule,glace,nmod,NOUN,0.5476489067077637,"[{""id"": 243451, ""node1"": 141883, ""node2"": 141964, ""type"": 0, ""w"": 101.0}, {""id"": 9903174, ""node1"": 141883, ""node2"": 141964, ""type"": 6, ""w"": 13.0}, {""id"": 4985394, ""node1"": 141883, ""node2"": 141964, ""type"": 9, ""w"": 5.0}, {""id"": 720819380, ""node1"": 141883, ""node2"": 141964, ""type"": 174, ""w"": 25.0}]"
poser,tranche,obj,NOUN,0.4408090710639953,[]
tranche,fruit,nmod,NOUN,0.5085086226463318,[]
fruit,frais,amod,ADJ,0.4628446996212005,[]
décoration,assiette,nmod,NOUN,0.6035205721855164,"[{""id"": 11350552, ""node1"": 1346, ""node2"": 62735, ""type"": 15, ""w"": 38.0}]"
décoration,convenance,nmod,NOUN,0.475580096244812,[]
convenance,chocolat,appos,NOUN,0.614082932472229,[]
chocolat,chaud,amod,ADJ,0.591441810131073,"[{""id"": 108765, ""node1"": 34157, ""node2"": 19150, ""type"": 0, ""w"": 394.0}, {""id"": 370440, ""node1"": 34157, ""node2"": 19150, ""type"": 17, ""w"": 127.0}, {""id"": 1538595, ""node1"": 34157, ""node2"": 19150, ""type"": 666, ""w"": 3.0}]"
