head,lemma,dep,pos,sim,relation
titre,pomme,nmod,NOUN,0.5443057417869568,[]
pomme,terre,nmod,NOUN,0.5497229695320129,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]"
pomme,garni,amod,ADJ,0.5770082473754883,[]
titre,façon,nmod,NOUN,0.4141620993614197,[]
titre,ingrédient,nmod,NOUN,0.4716755747795105,[]
titre,sel,nmod,NOUN,0.6557343602180481,[]
sel,poivre,amod,NOUN,0.6705341935157776,"[{""id"": 125169, ""node1"": 13260, ""node2"": 139597, ""type"": 0, ""w"": 495.0}, {""id"": 1029365119, ""node1"": 13260, ""node2"": 139597, ""type"": 67, ""w"": 28.0}, {""id"": 74985058, ""node1"": 13260, ""node2"": 139597, ""type"": 75, ""w"": 160.0}, {""id"": 1032956770, ""node1"": 13260, ""node2"": 139597, ""type"": 78, ""w"": 39.0}, {""id"": 652227840, ""node1"": 13260, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]"
pomme,fromage,acl,NOUN,0.6496772170066833,"[{""id"": 1022767551, ""node1"": 37201, ""node2"": 141687, ""type"": 75, ""w"": 35.0}]"
raclette,poitrine,nmod,NOUN,0.5255928635597229,[]
raclette,fumé,amod,ADJ,0.5283870697021484,[]
appareil,raclette,nmod,NOUN,0.4767064154148102,"[{""id"": 796738257, ""node1"": 106265, ""node2"": 32204, ""type"": 0, ""w"": 30.0}]"
raclette,four,appos,NOUN,0.6668233275413513,"[{""id"": 602035053, ""node1"": 32204, ""node2"": 9190, ""type"": 0, ""w"": 16.0}]"
four,papier,nmod,NOUN,0.6729456186294556,[]
économe,couteau,nmod,NOUN,0.5018488168716431,"[{""id"": 11472222, ""node1"": 14706, ""node2"": 32610, ""type"": 0, ""w"": 51.0}, {""id"": 9916571, ""node1"": 14706, ""node2"": 32610, ""type"": 6, ""w"": 55.0}, {""id"": 539969426, ""node1"": 14706, ""node2"": 32610, ""type"": 35, ""w"": -25.0}, {""id"": 1786595, ""node1"": 14706, ""node2"": 32610, ""type"": 666, ""w"": 5.0}]"
table,induction,amod,NOUN,0.5181390047073364,[]
pomme,eau,nmod,NOUN,0.6170430183410645,[]
pomme,devoir,acl:relcl,VERB,0.5555510520935059,"[{""id"": 1054632654, ""node1"": 37201, ""node2"": 132443, ""type"": 0, ""w"": 20.0}]"
rester,ferme,amod,ADJ,0.4044232368469238,[]
four,180,nmod,NUM,0.4979606568813324,[]
four,degré,nmod,NOUN,0.6147381663322449,"[{""id"": 107015150, ""node1"": 9190, ""node2"": 121359, ""type"": 0, ""w"": 38.0}]"
four,c,nmod,NOUN,0.4225132167339325,[]
disposer,pomme,obj,NOUN,0.5863984823226929,[]
éplucher,coucher,acl,VERB,0.4641327857971191,[]
plaque,recouvrir,acl,VERB,0.5361502170562744,[]
papier,cuisson,nmod,NOUN,0.6981122493743896,[]
couteau,cuillère,nmod,NOUN,0.5726497173309326,"[{""id"": 116903, ""node1"": 32610, ""node2"": 51905, ""type"": 0, ""w"": 80.0}, {""id"": 539956577, ""node1"": 32610, ""node2"": 51905, ""type"": 25, ""w"": -25.0}]"
réaliser,trou,obj,NOUN,0.4366907775402069,[]
trou,pomme,nmod,NOUN,0.5353960990905762,"[{""id"": 113167103, ""node1"": 115865, ""node2"": 37201, ""type"": 777, ""w"": 8.0}]"
traverser,pomme,obj,NOUN,0.5785799026489258,[]
couper,fromage,obj,NOUN,0.6230878829956055,"[{""id"": 365853942, ""node1"": 128828, ""node2"": 141687, ""type"": 0, ""w"": 29.0}, {""id"": 365853940, ""node1"": 128828, ""node2"": 141687, ""type"": 14, ""w"": 100.0}]"
tranche,poitrine,nmod,NOUN,0.4541858434677124,[]
enfourner,minute,obj,NOUN,0.5091933012008667,[]
déguster,chaud,amod,ADJ,0.583781361579895,[]
