head,lemma,dep,pos,sim,relation
pâte,crêpe,nmod,NOUN,0.6453630328178406,"[{""id"": 483718798, ""node1"": 34069, ""node2"": 17186, ""type"": 0, ""w"": 10.0}, {""id"": 483487594, ""node1"": 34069, ""node2"": 17186, ""type"": 10, ""w"": 66.0}, {""id"": 96931401, ""node1"": 34069, ""node2"": 17186, ""type"": 41, ""w"": 29.0}]"
pâte,lait,nmod,NOUN,0.6879973411560059,"[{""id"": 635002597, ""node1"": 34069, ""node2"": 86296, ""type"": 50, ""w"": 25.0}, {""id"": 540886477, ""node1"": 34069, ""node2"": 86296, ""type"": 777, ""w"": 10.0}]"
lait,avoine,nmod,ADV,0.5755394697189331,"[{""id"": 423451289, ""node1"": 86296, ""node2"": 75805, ""type"": 0, ""w"": 23.0}, {""id"": 3262443, ""node1"": 86296, ""node2"": 75805, ""type"": 777, ""w"": 5.0}]"
lait,ingrédient,nmod,NOUN,0.6221581101417542,"[{""id"": 15370374, ""node1"": 86296, ""node2"": 123418, ""type"": 0, ""w"": 37.0}, {""id"": 506059, ""node1"": 86296, ""node2"": 123418, ""type"": 3, ""w"": 56.0}]"
lait,fleur,appos,NOUN,0.6117987036705017,[]
fleur,oranger,acl,VERB,0.4641747772693634,"[{""id"": 421883126, ""node1"": 28985, ""node2"": 33024, ""type"": 0, ""w"": 11.0}]"
oranger,lait,obj,NOUN,0.5793466567993164,[]
lait,oeuf,nmod,NOUN,0.590930700302124,"[{""id"": 920038083, ""node1"": 86296, ""node2"": 116175, ""type"": 0, ""w"": 21.0}, {""id"": 385498014, ""node1"": 86296, ""node2"": 116175, ""type"": 8, ""w"": -25.0}]"
lait,sucre,amod,NOUN,0.6437966823577881,[]
sucre,vanillé,amod,ADJ,0.6220211982727051,"[{""id"": 9901819, ""node1"": 139481, ""node2"": 19738, ""type"": 0, ""w"": 13.0}, {""id"": 360676, ""node1"": 139481, ""node2"": 19738, ""type"": 8, ""w"": -101.0}]"
sucre,citron,nmod,NOUN,0.6847571134567261,"[{""id"": 292123774, ""node1"": 139481, ""node2"": 15386, ""type"": 777, ""w"": 10.0}]"
lait,saladier,nmod,NOUN,0.6384831666946411,[]
saladier,set,nmod,NOUN,0.4222391545772552,[]
lait,poêle,nmod,NOUN,0.7159262299537659,[]
lait,pinceau,nmod,NOUN,0.5729219317436218,[]
pinceau,poêle,nmod,NOUN,0.6258137822151184,[]
crêpe,balance,obj,NOUN,0.5917694568634033,"[{""id"": 347084028, ""node1"": 17186, ""node2"": 145190, ""type"": 777, ""w"": 10.0}]"
balance,cuisine,nmod,NOUN,0.5991910099983215,[]
balance,étape,nmod,NOUN,0.4149083495140075,[]
balance,saladier,nmod,NOUN,0.5669676065444946,[]
mettre,farine,obj,NOUN,0.6636205315589905,"[{""id"": 427128973, ""node1"": 132366, ""node2"": 127629, ""type"": 0, ""w"": 26.0}, {""id"": 427128972, ""node1"": 132366, ""node2"": 127629, ""type"": 14, ""w"": 100.0}]"
ajouter,oeuf,obj,NOUN,0.5327831506729126,"[{""id"": 373014565, ""node1"": 25099, ""node2"": 116175, ""type"": 14, ""w"": 31.0}]"
oeuf,battre,acl,VERB,0.5256416201591492,"[{""id"": 15064344, ""node1"": 116175, ""node2"": 119162, ""type"": 26, ""w"": 34.0}]"
sucre,miel,nmod,NOUN,0.6510892510414124,"[{""id"": 101425, ""node1"": 139481, ""node2"": 136055, ""type"": 0, ""w"": 86.0}, {""id"": 514429712, ""node1"": 139481, ""node2"": 136055, ""type"": 51, ""w"": 27.0}, {""id"": 1029365120, ""node1"": 139481, ""node2"": 136055, ""type"": 67, ""w"": 35.0}, {""id"": 1032956771, ""node1"": 139481, ""node2"": 136055, ""type"": 78, ""w"": 29.0}, {""id"": 646152034, ""node1"": 139481, ""node2"": 136055, ""type"": 666, ""w"": 7.0}]"
sucre,rhum,appos,NOUN,0.6000760197639465,"[{""id"": 796917768, ""node1"": 139481, ""node2"": 129154, ""type"": 0, ""w"": 36.0}, {""id"": 1035330712, ""node1"": 139481, ""node2"": 129154, ""type"": 50, ""w"": 32.0}, {""id"": 1035330719, ""node1"": 139481, ""node2"": 129154, ""type"": 53, ""w"": 32.0}, {""id"": 319483440, ""node1"": 139481, ""node2"": 129154, ""type"": 777, ""w"": 10.0}]"
zeste,citron,nmod,NOUN,0.5487085580825806,"[{""id"": 615058522, ""node1"": 98173, ""node2"": 15386, ""type"": 0, ""w"": 22.0}, {""id"": 9991099, ""node1"": 98173, ""node2"": 15386, ""type"": 10, ""w"": 4.0}, {""id"": 377014851, ""node1"": 98173, ""node2"": 15386, ""type"": 20, ""w"": 34.0}, {""id"": 986046177, ""node1"": 98173, ""node2"": 15386, ""type"": 666, ""w"": 2.0}]"
mélanger,tout,obj,NOUN,0.528428852558136,"[{""id"": 166642, ""node1"": 37151, ""node2"": 136232, ""type"": 14, ""w"": 110.0}]"
poser,pâte,obj,NOUN,0.6237542629241943,[]
chauffer,poêle,obj,NOUN,0.652711808681488,[]
matière,gras,amod,ADJ,0.5428515672683716,"[{""id"": 909483172, ""node1"": 29208, ""node2"": 56362, ""type"": 0, ""w"": 20.0}]"
dorer,crêpe,obj,NOUN,0.629949152469635,"[{""id"": 560944929, ""node1"": 67147, ""node2"": 17186, ""type"": 0, ""w"": 38.0}]"
crêpe,côté,nmod,NOUN,0.5916081666946411,[]
