head,lemma,dep,pos,sim,relation
rôti,boeuf,nmod,NOUN,0.648973822593689,"[{""id"": 2454696, ""node1"": 19636, ""node2"": 47417, ""type"": 0, ""w"": 51.0}, {""id"": 1767053, ""node1"": 19636, ""node2"": 47417, ""type"": 666, ""w"": 6.0}]"
boeuf,croûte,nmod,NOUN,0.6296864748001099,[]
rôti,oignon,nmod,NOUN,0.6988539099693298,[]
rôti,ingrédient,nmod,NOUN,0.7122430205345154,[]
rôti,sucre,nmod,NOUN,0.7780711650848389,[]
sucre,moutarde,amod,ADJ,0.7068785429000854,[]
sucre,oignon,acl,NOUN,0.7221262454986572,[]
oignon,pâte,nmod,NOUN,0.7073149085044861,[]
sucre,feuilleter,acl,VERB,0.6479068994522095,[]
jambon,croire,acl,VERB,0.581739604473114,[]
jaune,oeuf,nmod,NOUN,0.5280547142028809,"[{""id"": 104631, ""node1"": 86711, ""node2"": 116175, ""type"": 0, ""w"": 598.0}, {""id"": 31299418, ""node1"": 86711, ""node2"": 116175, ""type"": 3, ""w"": 29.0}, {""id"": 2350883, ""node1"": 86711, ""node2"": 116175, ""type"": 10, ""w"": 109.0}, {""id"": 131637, ""node1"": 86711, ""node2"": 116175, ""type"": 15, ""w"": 118.0}, {""id"": 120267, ""node1"": 86711, ""node2"": 116175, ""type"": 23, ""w"": 300.0}, {""id"": 2254559, ""node1"": 86711, ""node2"": 116175, ""type"": 54, ""w"": 58.0}]"
sucre,film,nmod,NOUN,0.6073445677757263,[]
film,alimentaire,amod,ADJ,0.4283865392208099,[]
plaque,meilleur,amod,ADJ,0.5153307318687439,[]
top,plaque,nmod,NOUN,0.4243907332420349,[]
plaque,four,nmod,NOUN,0.6611073017120361,"[{""id"": 9977205, ""node1"": 145064, ""node2"": 9190, ""type"": 10, ""w"": 4.0}, {""id"": 7612093, ""node1"": 145064, ""node2"": 9190, ""type"": 777, ""w"": 10.0}]"
four,top,nmod,NOUN,0.5501777529716492,"[{""id"": 509203905, ""node1"": 9190, ""node2"": 61057, ""type"": 17, ""w"": 27.0}]"
papier,meilleur,amod,ADJ,0.4798659384250641,[]
top,papier,nmod,NOUN,0.4000419974327087,[]
balance,cuisine,nmod,NOUN,0.5991910099983215,[]
balance,assiette,nmod,NOUN,0.5656145215034485,[]
assiette,étape,nmod,NOUN,0.483820229768753,[]
sucre,prévoir,acl,VERB,0.6540474891662598,[]
prévoir,rouleau,obj,NOUN,0.4362468719482422,[]
