head,lemma,dep,pos,sim,relation
four,Sapin,nsubj,PROPN,0.595729410648346,[]
Sapin,pesto,nmod,NOUN,0.4760833978652954,[]
pesto,ingrédient,nmod,NOUN,0.6301003694534302,[]
pesto,pesto,appos,NOUN,0.537900447845459,"[{""id"": 113601957, ""node1"": 221048, ""node2"": 221048, ""type"": 19, ""w"": 34.0}]"
pesto,pâte,nmod,NOUN,0.6702281832695007,[]
pesto,feuilletée,acl,NOUN,0.5907857418060303,[]
feuilletée,jaune,nmod,ADJ,0.5352768898010254,[]
jaune,oeuf,nmod,NOUN,0.5280547142028809,"[{""id"": 104631, ""node1"": 86711, ""node2"": 116175, ""type"": 0, ""w"": 598.0}, {""id"": 31299418, ""node1"": 86711, ""node2"": 116175, ""type"": 3, ""w"": 29.0}, {""id"": 2350883, ""node1"": 86711, ""node2"": 116175, ""type"": 10, ""w"": 109.0}, {""id"": 131637, ""node1"": 86711, ""node2"": 116175, ""type"": 15, ""w"": 118.0}, {""id"": 120267, ""node1"": 86711, ""node2"": 116175, ""type"": 23, ""w"": 300.0}, {""id"": 2254559, ""node1"": 86711, ""node2"": 116175, ""type"": 54, ""w"": 58.0}]"
pesto,couteau,appos,NOUN,0.6288597583770752,[]
couteau,four,nmod,NOUN,0.6828393340110779,[]
four,papier,nmod,NOUN,0.6729456186294556,[]
papier,top,nmod,NOUN,0.4000419974327087,[]
plaque,meilleur,amod,ADJ,0.5153307318687439,[]
top,plaque,nmod,NOUN,0.4243907332420349,[]
four,planche,obj,NOUN,0.6710441708564758,[]
four,découper,advcl,VERB,0.679184079170227,[]
table,induction,amod,NOUN,0.5181390047073364,[]
four,180,nmod,NUM,0.4979606568813324,[]
four,degré,nmod,NOUN,0.6147381663322449,"[{""id"": 107015150, ""node1"": 9190, ""node2"": 121359, ""type"": 0, ""w"": 38.0}]"
four,c,nmod,NOUN,0.4225132167339325,[]
pâte,feuilleter,acl,VERB,0.6172106862068176,"[{""id"": 880403533, ""node1"": 34069, ""node2"": 13838, ""type"": 0, ""w"": 20.0}, {""id"": 288441883, ""node1"": 34069, ""node2"": 13838, ""type"": 26, ""w"": 31.0}]"
plaque,four,nmod,NOUN,0.6611073017120361,"[{""id"": 9977205, ""node1"": 145064, ""node2"": 9190, ""type"": 10, ""w"": 4.0}, {""id"": 7612093, ""node1"": 145064, ""node2"": 9190, ""type"": 777, ""w"": 10.0}]"
four,recouvrir,acl,VERB,0.6818683743476868,[]
papier,cuisson,nmod,NOUN,0.6981122493743896,[]
découper,forme,obj,NOUN,0.4791944622993469,[]
forme,sapin,nmod,NOUN,0.46788489818573,[]
forme,retirer,acl,VERB,0.4513342976570129,[]
retirer,morceau,obj,NOUN,0.5349395871162415,[]
morceau,pâte,nmod,NOUN,0.6695266366004944,"[{""id"": 720819461, ""node1"": 65364, ""node2"": 34069, ""type"": 174, ""w"": 25.0}]"
garder,morceau,obj,NOUN,0.5478264093399048,[]
morceau,retirer,acl,VERB,0.5349395871162415,[]
retirer,faire,advcl,VERB,0.44416144490242,[]
feuilleté,petit,amod,ADJ,0.5242656469345093,[]
faire,feuilleté,obj,NOUN,0.538191556930542,[]
feuilleté,fromage,nmod,NOUN,0.6141724586486816,[]
pesto,disposer,acl,VERB,0.5997704267501831,[]
pâte,deuxième,amod,ADJ,0.6267107129096985,[]
disposer,pâte,obj,NOUN,0.6386317610740662,[]
découper,pâte,obj,NOUN,0.631547212600708,"[{""id"": 97862160, ""node1"": 45686, ""node2"": 34069, ""type"": 14, ""w"": 30.0}]"
forme,même,amod,ADJ,0.4395649433135986,[]
forme,premier,acl,ADJ,0.4231784343719482,[]
premier,sapin,nmod,NOUN,0.4266831278800964,[]
souder,pâte,obj,NOUN,0.6084628105163574,[]
aide,couteau,nmod,NOUN,0.4610194563865661,[]
côté,tronc,nmod,NOUN,0.4155605435371399,[]
découper,bande,obj,NOUN,0.4037886559963226,[]
bande,pâte,nmod,NOUN,0.5705278515815735,[]
oeuf,diluer,acl,VERB,0.5450143814086914,[]
goutte,eau,nmod,NOUN,0.5372211337089539,"[{""id"": 141623, ""node1"": 93944, ""node2"": 65012, ""type"": 0, ""w"": 292.0}, {""id"": 31128947, ""node1"": 93944, ""node2"": 65012, ""type"": 3, ""w"": 37.0}, {""id"": 377011769, ""node1"": 93944, ""node2"": 65012, ""type"": 20, ""w"": 28.0}, {""id"": 1556010, ""node1"": 93944, ""node2"": 65012, ""type"": 666, ""w"": 4.0}]"
minute,cuisson,nmod,NOUN,0.6456773281097412,[]
