head,lemma,dep,pos,sim,relation
Sauce,apéritif,nmod,NOUN,0.545577883720398,[]
couvercle,plat,nmod,ADJ,0.6402535438537598,"[{""id"": 961890557, ""node1"": 89523, ""node2"": 36327, ""type"": 10, ""w"": 24.0}, {""id"": 372856875, ""node1"": 89523, ""node2"": 36327, ""type"": 17, ""w"": 26.0}]"
plat,allongé,amod,ADJ,0.5638168454170227,[]
épaisseur,fond,nmod,NOUN,0.4704847037792206,[]
fond,plat,nmod,NOUN,0.5886687636375427,"[{""id"": 961890508, ""node1"": 119272, ""node2"": 36327, ""type"": 10, ""w"": 25.0}]"
sauce,salsa,amod,ADJ,0.6351049542427063,"[{""id"": 798728720, ""node1"": 141110, ""node2"": 39025, ""type"": 0, ""w"": 23.0}, {""id"": 246262941, ""node1"": 141110, ""node2"": 39025, ""type"": 8, ""w"": 32.0}, {""id"": 996909063, ""node1"": 141110, ""node2"": 39025, ""type"": 666, ""w"": 2.0}, {""id"": 7359822, ""node1"": 141110, ""node2"": 39025, ""type"": 777, ""w"": 10.0}]"
ajouter,salade,obj,NOUN,0.6491708159446716,[]
couche,léger,amod,ADJ,0.4647303521633148,[]
couche,sauce,nmod,NOUN,0.6504489779472351,[]
recouvrir,finir,advcl,VERB,0.4374638795852661,[]
aller,salade,nsubj,NOUN,0.5938668847084045,[]
apéritif,soirée,nmod,NOUN,0.4749077260494232,"[{""id"": 2152632, ""node1"": 135068, ""node2"": 115483, ""type"": 42, ""w"": 70.0}]"
soirée,mexicain,amod,ADJ,0.4209703207015991,[]
servir,aller,advcl,VERB,0.422162801027298,[]
replonger,faire,advcl,VERB,0.4356458485126495,[]
sandwich,petit,amod,ADJ,0.559479832649231,"[{""id"": 21876053, ""node1"": 1447, ""node2"": 55222, ""type"": 17, ""w"": 41.0}]"
faire,sandwich,obj,NOUN,0.5799794793128967,[]
commencer,plat,obj,NOUN,0.6138054132461548,[]
mettre,carotte,obj,NOUN,0.5812945365905762,[]
