head,lemma,dep,pos,sim,relation
mettre,tomate,nsubj,NOUN,0.63638836145401,[]
tomate,ingrédient,nmod,NOUN,0.6937788128852844,"[{""id"": 24850719, ""node1"": 22138, ""node2"": 123418, ""type"": 0, ""w"": 43.0}, {""id"": 24842052, ""node1"": 22138, ""node2"": 123418, ""type"": 6, ""w"": 160.0}]"
tomate,épice,appos,NOUN,0.7116764187812805,[]
épice,poivre,appos,NOUN,0.6949240565299988,"[{""id"": 399153, ""node1"": 146056, ""node2"": 139597, ""type"": 0, ""w"": 191.0}, {""id"": 12322791, ""node1"": 146056, ""node2"": 139597, ""type"": 5, ""w"": 29.0}, {""id"": 15026236, ""node1"": 146056, ""node2"": 139597, ""type"": 8, ""w"": 34.0}, {""id"": 1001218749, ""node1"": 146056, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]"
poivre,gruyère,nmod,NOUN,0.6444509029388428,[]
tomate,râpé,acl,ADV,0.5949028730392456,[]
sel,farine,nmod,NOUN,0.7164311408996582,[]
eau,olive,nmod,NOUN,0.6092936992645264,[]
olive,noir,amod,ADJ,0.5621392130851746,"[{""id"": 722424118, ""node1"": 238, ""node2"": 64238, ""type"": 0, ""w"": 28.0}, {""id"": 3175057, ""node1"": 238, ""node2"": 64238, ""type"": 106, ""w"": 3.0}, {""id"": 672025994, ""node1"": 238, ""node2"": 64238, ""type"": 666, ""w"": 4.0}]"
moule,tarte,nmod,NOUN,0.598731517791748,"[{""id"": 201624, ""node1"": 143723, ""node2"": 575, ""type"": 0, ""w"": 130.0}]"
moule,robot,nmod,NOUN,0.5359359383583069,[]
moule,pâtissier,amod,ADJ,0.5290303230285645,[]
moule,four,appos,NOUN,0.6459261178970337,"[{""id"": 558702307, ""node1"": 143723, ""node2"": 9190, ""type"": 0, ""w"": 27.0}, {""id"": 253548963, ""node1"": 143723, ""node2"": 9190, ""type"": 15, ""w"": 4.0}]"
four,couteau,nmod,NOUN,0.6828393340110779,[]
rouleau,pâtisserie,nmod,NOUN,0.510869026184082,"[{""id"": 34655902, ""node1"": 59019, ""node2"": 25966, ""type"": 0, ""w"": 31.0}]"
balance,cuisine,nmod,NOUN,0.5991910099983215,[]
préparer,pâte,obj,NOUN,0.6504604816436768,"[{""id"": 97862162, ""node1"": 36246, ""node2"": 34069, ""type"": 14, ""w"": 35.0}]"
tomate,robot,nmod,NOUN,0.6116214990615845,[]
mettre,farine,obj,NOUN,0.6636205315589905,"[{""id"": 427128973, ""node1"": 132366, ""node2"": 127629, ""type"": 0, ""w"": 26.0}, {""id"": 427128972, ""node1"": 132366, ""node2"": 127629, ""type"": 14, ""w"": 100.0}]"
forme,pâte,nsubj,NOUN,0.618869423866272,[]
rajouter,nécessaire,advcl,ADJ,0.4498139023780823,[]
quantité,petit,amod,ADJ,0.56585693359375,"[{""id"": 892024045, ""node1"": 78869, ""node2"": 55222, ""type"": 0, ""w"": 20.0}]"
reposer,heure,obj,NOUN,0.4106099009513855,[]
four,220,nmod,NUM,0.4830725789070129,[]
four,degré,nmod,NOUN,0.6147381663322449,"[{""id"": 107015150, ""node1"": 9190, ""node2"": 121359, ""type"": 0, ""w"": 38.0}]"
four,c,nmod,NOUN,0.4225132167339325,[]
couper,tomate,obj,NOUN,0.6290057301521301,"[{""id"": 628044027, ""node1"": 128828, ""node2"": 22138, ""type"": 0, ""w"": 27.0}, {""id"": 628044026, ""node1"": 128828, ""node2"": 22138, ""type"": 14, ""w"": 100.0}]"
vider,pépin,obj,NOUN,0.4237193167209625,[]
rondelle,demie,amod,NOUN,0.4611647427082062,[]
tomate,rondelle,amod,NOUN,0.5975306034088135,"[{""id"": 797551060, ""node1"": 22138, ""node2"": 71106, ""type"": 0, ""w"": 23.0}]"
moule,grand,amod,ADJ,0.5128763318061829,[]
tarte,millimètre,nmod,NOUN,0.5945534706115723,[]
foncer,moule,obj,NOUN,0.4957711100578308,[]
réserver,trop,obj,ADV,0.4131121933460235,[]
trop,pâte,nmod,NOUN,0.6159409880638123,[]
disposer,tomate,obj,NOUN,0.6404638290405273,[]
olive,sel,nmod,NOUN,0.7034202218055725,[]
enfourner,minute,obj,NOUN,0.5091933012008667,[]
