head,lemma,dep,pos,sim,relation
boudin,noir,amod,ADJ,0.5310838222503662,"[{""id"": 162085, ""node1"": 16548, ""node2"": 64238, ""type"": 0, ""w"": 112.0}, {""id"": 3168043, ""node1"": 16548, ""node2"": 64238, ""type"": 106, ""w"": 22.0}, {""id"": 1794570, ""node1"": 16548, ""node2"": 64238, ""type"": 666, ""w"": 2.0}]"
couteau,set,nmod,NOUN,0.4064985811710357,[]
set,poêle,nmod,NOUN,0.5301709771156311,[]
rondelle,gros,amod,ADJ,0.4589057862758636,[]
boudin,rondelle,nmod,NOUN,0.5756306052207947,[]
couper,porc,obj,NOUN,0.6351144313812256,[]
morceau,petit,amod,ADJ,0.542499840259552,"[{""id"": 558707704, ""node1"": 65364, ""node2"": 55222, ""type"": 0, ""w"": 27.0}]"
poêle,grand,amod,ADJ,0.628409743309021,[]
huile,olive,nmod,NOUN,0.577674388885498,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
revenir,rondelle,obj,NOUN,0.5313155055046082,[]
revenir,retirer,advcl,VERB,0.4231588542461395,[]
rondelle,boudin,nmod,NOUN,0.5756306052207947,[]
revenir,porc,obj,NOUN,0.6314551830291748,[]
gousse,ail,nmod,NOUN,0.5501744151115417,"[{""id"": 1841967, ""node1"": 3889, ""node2"": 26979, ""type"": 0, ""w"": 58.0}, {""id"": 665112731, ""node1"": 3889, ""node2"": 26979, ""type"": 174, ""w"": 40.0}, {""id"": 714921743, ""node1"": 3889, ""node2"": 26979, ""type"": 666, ""w"": 3.0}]"
revenir,rajouter,advcl,VERB,0.4549803137779236,[]
semoule,hydrater,acl,VERB,0.5997475981712341,[]
revenir,tout,obj,NOUN,0.4829182922840118,[]
devoir,semoule,nsubj,NOUN,0.5873518586158752,[]
jus,cuisson,nmod,NOUN,0.6731067299842834,[]
cuisson,viande,nmod,NOUN,0.7976993322372437,"[{""id"": 568820873, ""node1"": 60056, ""node2"": 140100, ""type"": 0, ""w"": 44.0}]"
