head,lemma,dep,pos,sim,relations
nourriture,composer,acl,VERB,0.5251506567001343,[]
pâte,translucide,amod,ADJ,0.6411400437355042,[]
pâte,forme,nmod,NOUN,0.6301695704460144,"[{""id"": 546262309, ""node1"": 34069, ""node2"": 142000, ""type"": 777, ""w"": 10.0}]"
forme,disque,nmod,NOUN,0.4538953602313995,"[{""id"": 9903389, ""node1"": 142000, ""node2"": 31033, ""type"": 0, ""w"": 13.0}, {""id"": 437357, ""node1"": 142000, ""node2"": 31033, ""type"": 8, ""w"": 39.0}]"
base,amidon,nmod,NOUN,0.5865869522094727,[]
amidon,patate,nmod,NOUN,0.5795446038246155,"[{""id"": 914435816, ""node1"": 41260, ""node2"": 5531, ""type"": 0, ""w"": 20.0}]"
nourriture,remplir,acl,VERB,0.5263178944587708,[]
farce,saler,amod,ADJ,0.6386620402336121,[]
varier,farce,nsubj,NOUN,0.5851933360099792,[]
mélange,porc,nmod,NOUN,0.653271496295929,[]
pousse,bambou,nmod,PROPN,0.4630293250083923,[]
style,tout,amod,ADJ,0.4857800006866455,"[{""id"": 963618093, ""node1"": 140565, ""node2"": 136232, ""type"": 17, ""w"": -5.0}]"
retour,viande,nmod,NOUN,0.6814875602722168,[]
prendre,forme,obj,NOUN,0.4647745192050934,"[{""id"": 488344148, ""node1"": 86306, ""node2"": 142000, ""type"": 14, ""w"": 51.0}]"
bloc,caractère,nmod,NOUN,0.4083017706871032,[]
faire,pâte,nsubj:pass,NOUN,0.6741626262664795,"[{""id"": 97862385, ""node1"": 87528, ""node2"": 34069, ""type"": 14, ""w"": 32.0}]"
combinaison,amidon,nmod,NOUN,0.5236873030662537,[]
amidon,maïs,nmod,ADV,0.553879976272583,"[{""id"": 115326427, ""node1"": 41260, ""node2"": 139790, ""type"": 0, ""w"": 31.0}, {""id"": 1041934308, ""node1"": 41260, ""node2"": 139790, ""type"": 10, ""w"": 51.0}, {""id"": 1041934226, ""node1"": 41260, ""node2"": 139790, ""type"": 15, ""w"": 31.0}, {""id"": 376039280, ""node1"": 41260, ""node2"": 139790, ""type"": 51, ""w"": 35.0}]"
patate,doux,amod,ADJ,0.5362724661827087,[]
amidon,riz,nmod,NOUN,0.6436868906021118,"[{""id"": 796939090, ""node1"": 41260, ""node2"": 24372, ""type"": 0, ""w"": 33.0}, {""id"": 9992203, ""node1"": 41260, ""node2"": 24372, ""type"": 10, ""w"": 30.0}, {""id"": 1041934225, ""node1"": 41260, ""node2"": 24372, ""type"": 15, ""w"": 31.0}, {""id"": 376039281, ""node1"": 41260, ""node2"": 24372, ""type"": 51, ""w"": 40.0}, {""id"": 975710636, ""node1"": 41260, ""node2"": 24372, ""type"": 666, ""w"": 3.0}, {""id"": 6414629, ""node1"": 41260, ""node2"": 24372, ""type"": 777, ""w"": 10.0}]"
donne,texture,obj,NOUN,0.4581279158592224,[]
texture,moelleux,amod,ADJ,0.518515408039093,"[{""id"": 723393754, ""node1"": 4910, ""node2"": 65767, ""type"": 0, ""w"": 26.0}, {""id"": 651212851, ""node1"": 4910, ""node2"": 65767, ""type"": 666, ""w"": 2.0}]"
teinte,translucide,amod,ADJ,0.452114850282669,[]
donner,son,iobj,PRON,0.4266093671321869,[]
donner,peau,obj,NOUN,0.5026968717575073,[]
aliment,secours,nmod,NOUN,0.5305618047714233,[]
aliment,cas,nmod,NOUN,0.4292464256286621,[]
frapper,région,nsubj:pass,NOUN,0.4009552299976349,"[{""id"": 372710087, ""node1"": 34954, ""node2"": 132350, ""type"": 14, ""w"": 31.0}]"
aliment,national,amod,ADJ,0.5227417945861816,[]
plupart,marché,nmod,NOUN,0.4060556888580322,[]
marché,nuit,nmod,NOUN,0.4444604218006134,[]
rendre,forme,nsubj,NOUN,0.4390917718410492,[]
pain,petit,amod,ADJ,0.6582068800926208,"[{""id"": 12987089, ""node1"": 61283, ""node2"": 55222, ""type"": 17, ""w"": 61.0}]"
pain,cuire,acl,VERB,0.776824951171875,"[{""id"": 100199157, ""node1"": 61283, ""node2"": 5115, ""type"": 0, ""w"": 35.0}, {""id"": 413365261, ""node1"": 61283, ""node2"": 5115, ""type"": 24, ""w"": 100.0}, {""id"": 9008222, ""node1"": 61283, ""node2"": 5115, ""type"": 25, ""w"": 81.0}, {""id"": 1622945, ""node1"": 61283, ""node2"": 5115, ""type"": 26, ""w"": 105.0}]"
réchauffer,servir,advcl,VERB,0.5435298681259155,[]
