head,lemma,dep,pos,sim,relations
titre,café,appos,NOUN,0.5361080169677734,[]
café,cassé,amod,ADJ,0.5172780752182007,[]
préparation,café,nsubj,NOUN,0.5884591937065125,[]
café,marocain,amod,ADJ,0.537659227848053,[]
quantité,petit,amod,ADJ,0.5893296003341675,"[{""id"": 892024045, ""node1"": 78869, ""node2"": 55222, ""type"": 0, ""w"": 20.0}]"
ajouter,quantité,nsubj:pass,NOUN,0.5218417644500732,"[{""id"": 417817019, ""node1"": 25099, ""node2"": 78869, ""type"": 0, ""w"": 28.0}]"
quantité,lait,nmod,NOUN,0.6040685772895813,[]
préparation,ajouter,acl:relcl,VERB,0.537661612033844,[]
servir,café,nsubj,NOUN,0.5915891528129578,"[{""id"": 1610961, ""node1"": 7888, ""node2"": 66324, ""type"": 0, ""w"": 180.0}, {""id"": 477262054, ""node1"": 7888, ""node2"": 66324, ""type"": 13, ""w"": 100.0}, {""id"": 299338123, ""node1"": 7888, ""node2"": 66324, ""type"": 14, ""w"": 100.0}, {""id"": 253880, ""node1"": 7888, ""node2"": 66324, ""type"": 31, ""w"": 310.0}, {""id"": 14674436, ""node1"": 7888, ""node2"": 66324, ""type"": 42, ""w"": 28.0}]"
verre,petit,amod,ADJ,0.5635584592819214,"[{""id"": 1523983, ""node1"": 144497, ""node2"": 55222, ""type"": 666, ""w"": 1.0}]"
