head,lemma,dep,pos,sim,relations
part,marché,nmod,NOUN,0.4663311839103699,[]
part,volume,nmod,NOUN,0.463493287563324,[]
bière,principal,amod,ADJ,0.5498964190483093,[]
bière,compagnie,nmod,NOUN,0.5081312656402588,[]
bière,nombreux,amod,ADJ,0.5178143382072449,[]
bière,local,amod,ADJ,0.5282782316207886,[]
faire,groupe,obj,NOUN,0.464099645614624,[]
production,propre,amod,ADJ,0.4624487459659576,"[{""id"": 563500098, ""node1"": 13444, ""node2"": 118316, ""type"": 17, ""w"": 26.0}]"
avoir,production,obj,NOUN,0.4065575301647186,[]
part,étudier,acl,VERB,0.4024850726127624,[]
bière,premier,amod,ADJ,0.5461989641189575,[]
bière,juger,acl,VERB,0.5018684267997742,[]
prendre,diligence,obj,NOUN,0.4054757356643677,[]
fois,nouveau,amod,ADJ,0.4231564700603485,[]
procurer,pot,obj,NOUN,0.5085693001747131,[]
pot,levure,nmod,NOUN,0.5887083411216736,[]
pot,dissimuler,acl:relcl,VERB,0.4903614223003387,[]
chapeau,forme,nmod,NOUN,0.4943188428878784,[]
voyage,interminable,amod,ADJ,0.4010948836803436,[]
prendre,soin,obj,NOUN,0.4306253492832184,[]
arroser,levure,obj,NOUN,0.5915330648422241,[]
reste,lui,nsubj,PRON,0.4134639203548431,[]
arroser,reste,advcl,VERB,0.5258651971817017,[]
bière,bon,amod,ADJ,0.5629210472106934,[]
bière,fermentation,nmod,NOUN,0.5178994536399841,"[{""id"": 29068917, ""node1"": 106797, ""node2"": 123667, ""type"": 0, ""w"": 50.0}, {""id"": 29068916, ""node1"": 106797, ""node2"": 123667, ""type"": 27, ""w"": 27.0}, {""id"": 708467579, ""node1"": 106797, ""node2"": 123667, ""type"": 666, ""w"": 4.0}, {""id"": 3356616, ""node1"": 106797, ""node2"": 123667, ""type"": 777, ""w"": 9.0}]"
brasserie,propre,amod,ADJ,0.4814156591892242,[]
créer,brasserie,obj,NOUN,0.4046400785446167,[]
raison,qualité,nmod,NOUN,0.4135466814041137,"[{""id"": 376158979, ""node1"": 39301, ""node2"": 48513, ""type"": 6, ""w"": 31.0}]"
qualité,eau,nmod,NOUN,0.5551257133483887,[]
eau,coule,acl:relcl,VERB,0.4967761933803558,[]
achever,fabrication,obj,NOUN,0.4130942225456238,[]
avoir,milieu,nsubj,NOUN,0.4259623289108276,[]
éléphant,entrée,nmod,NOUN,0.4122224152088165,[]
détenir,moitié,obj,NOUN,0.4194234907627105,[]
moitié,action,nmod,NOUN,0.4617418050765991,[]
prendre,contrôle,obj,NOUN,0.4051130712032318,[]
laisser,trou,obj,NOUN,0.4452496767044067,[]
boisson,alcool,nmod,NOUN,0.5336695313453674,"[{""id"": 100222, ""node1"": 113547, ""node2"": 47597, ""type"": 0, ""w"": 391.0}, {""id"": 566593, ""node1"": 113547, ""node2"": 47597, ""type"": 5, ""w"": 257.0}, {""id"": 9626637, ""node1"": 113547, ""node2"": 47597, ""type"": 8, ""w"": 24.0}, {""id"": 9970666, ""node1"": 113547, ""node2"": 47597, ""type"": 9, ""w"": 21.0}, {""id"": 15189789, ""node1"": 113547, ""node2"": 47597, ""type"": 27, ""w"": -22.0}, {""id"": 1567598, ""node1"": 113547, ""node2"": 47597, ""type"": 35, ""w"": 80.0}, {""id"": 96920923, ""node1"": 113547, ""node2"": 47597, ""type"": 50, ""w"": 18.0}]"
avoir,cadre,obj,NOUN,0.4079177677631378,[]
bière,présent,acl:relcl,ADJ,0.5513265132904053,[]
bière,monde,nmod,NOUN,0.5536495447158813,"[{""id"": 669102967, ""node1"": 106797, ""node2"": 142563, ""type"": 0, ""w"": 21.0}, {""id"": 3356622, ""node1"": 106797, ""node2"": 142563, ""type"": 777, ""w"": 9.0}]"
projet,autre,amod,ADJ,0.4316383004188537,[]
