head,lemma,dep,pos,sim,relations
concerner,cuisine,obj,NOUN,0.6019042730331421,[]
aide,trait,nmod,NOUN,0.4105164408683777,[]
union,citron,appos,NOUN,0.5067611336708069,[]
union,fromage,amod,NOUN,0.4899432063102722,[]
dessert,traditionnel,amod,ADJ,0.5936668515205383,[]
dessert,cuisine,nmod,NOUN,0.6783477067947388,"[{""id"": 15452309, ""node1"": 38557, ""node2"": 16033, ""type"": 0, ""w"": 344.0}, {""id"": 262771, ""node1"": 38557, ""node2"": 16033, ""type"": 3, ""w"": 349.0}, {""id"": 198414, ""node1"": 38557, ""node2"": 16033, ""type"": 15, ""w"": 129.0}, {""id"": 376196654, ""node1"": 38557, ""node2"": 16033, ""type"": 16, ""w"": -29.0}, {""id"": 765133728, ""node1"": 38557, ""node2"": 16033, ""type"": 80, ""w"": 26.0}]"
cuisine,danois,amod,ADJ,0.4987596273422241,"[{""id"": 957339562, ""node1"": 16033, ""node2"": 51977, ""type"": 0, ""w"": 23.0}]"
mousse,citron,nmod,NOUN,0.5948208570480347,"[{""id"": 593681137, ""node1"": 134158, ""node2"": 15386, ""type"": 0, ""w"": 43.0}]"
dessert,typique,amod,ADJ,0.5765982866287231,[]
crème,cuit,amod,ADJ,0.7518685460090637,[]
aide,mot,nmod,NOUN,0.4417296350002289,[]
mot,citron,nmod,NOUN,0.513429582118988,[]
fromage,citron,nmod,NOUN,0.6666122078895569,"[{""id"": 3317025, ""node1"": 141687, ""node2"": 15386, ""type"": 777, ""w"": 8.0}]"
variété,citron,nmod,NOUN,0.6340179443359375,[]
variété,particulier,amod,ADJ,0.4451898038387298,[]
dessert,précis,amod,ADJ,0.4962583780288696,[]
question,dont,iobj,PRON,0.4064197242259979,[]
dessert,question,acl:relcl,NOUN,0.6030474901199341,[]
langue,autre,amod,ADJ,0.4726049900054931,[]
