head,lemma,dep,pos,sim,relations
épice,issu,amod,ADJ,0.5665834546089172,[]
fleur,famille,nmod,NOUN,0.4885010421276092,[]
consomme,frais,amod,ADJ,0.4771101772785187,[]
celui,gingembre,nmod,NOUN,0.5319603085517883,[]
archipel,est,nmod,NOUN,0.4113071262836456,[]
arôme,dont,nmod,PRON,0.5239525437355042,[]
proche,arôme,nsubj,NOUN,0.4946555197238922,[]
courant,faire,advcl,VERB,0.5004472136497498,[]
faire,objet,obj,NOUN,0.4383790194988251,[]
goût,semblable,amod,ADJ,0.5477399230003357,[]
espèce,autre,amod,ADJ,0.4155114889144897,[]
plante,espèce,nmod,NOUN,0.4237024784088135,"[{""id"": 593756887, ""node1"": 145941, ""node2"": 38788, ""type"": 0, ""w"": 47.0}, {""id"": 3262905, ""node1"": 145941, ""node2"": 38788, ""type"": 777, ""w"": 10.0}]"
plante,connaître,acl,VERB,0.4692612588405609,[]
cultiver,utiliser,advcl,VERB,0.4007278382778168,[]
médecine,cuisine,nmod,NOUN,0.5556761622428894,[]
ingrédient,encens,appos,NOUN,0.5222527384757996,[]
faire,égyptien,nsubj,NOUN,0.471226692199707,[]
encens,faire,acl,VERB,0.534583568572998,[]
fin,rituel,amod,ADJ,0.4858930110931396,[]
cuisine,asiatique,amod,ADJ,0.6099880337715149,"[{""id"": 796690126, ""node1"": 16033, ""node2"": 33394, ""type"": 0, ""w"": 28.0}, {""id"": 1035594833, ""node1"": 16033, ""node2"": 33394, ""type"": 13, ""w"": -6.0}, {""id"": 14804006, ""node1"": 16033, ""node2"": 33394, ""type"": 17, ""w"": 45.0}]"
cuisine,traditionnel,amod,ADJ,0.6699821352958679,"[{""id"": 601188829, ""node1"": 16033, ""node2"": 41139, ""type"": 0, ""w"": 29.0}]"
soupe,exemple,nmod,NOUN,0.6397613883018494,[]
soupe,thaï,amod,ADJ,0.5563517808914185,[]
soupe,gai,amod,ADJ,0.4604395031929016,[]
cuisine,vietnamien,amod,ADJ,0.6036587953567505,[]
cuisine,indonésien,amod,ADJ,0.5934993028640747,[]
