head,lemma,dep,pos,sim,relations
boisson,titre,nsubj,NOUN,0.5208552479743958,[]
boisson,ancien,amod,ADJ,0.5372492074966431,[]
boisson,base,nmod,NOUN,0.582430362701416,[]
base,vin,nmod,NOUN,0.6599981188774109,[]
boisson,cannelle,amod,NOUN,0.6626750230789185,"[{""id"": 899283600, ""node1"": 113547, ""node2"": 112959, ""type"": 0, ""w"": 22.0}, {""id"": 376056364, ""node1"": 113547, ""node2"": 112959, ""type"": 50, ""w"": 26.0}]"
boisson,connaître,acl,VERB,0.5801935791969299,[]
Europe,tout,amod,ADJ,0.436264157295227,[]
milieu,siècle,nmod,NOUN,0.40152508020401,[]
vin,miel,nmod,NOUN,0.639251708984375,[]
vin,raison,nmod,NOUN,0.6141746044158936,[]
raison,gramme,nmod,NOUN,0.4610278308391571,[]
gramme,litre,nmod,NOUN,0.4241130650043487,[]
litre,vin,nmod,NOUN,0.5910965204238892,"[{""id"": 15759327, ""node1"": 57416, ""node2"": 35798, ""type"": 0, ""w"": 23.0}, {""id"": 53608835, ""node1"": 57416, ""node2"": 35798, ""type"": 5, ""w"": 64.0}, {""id"": 4788012, ""node1"": 57416, ""node2"": 35798, ""type"": 777, ""w"": 10.0}]"
litre,gramme,nmod,NOUN,0.4241130650043487,[]
ajouter,épice,obj,NOUN,0.6582757234573364,[]
épice,dire,acl,VERB,0.6468362808227539,[]
laisser,préparation,nsubj:pass,NOUN,0.5235249996185303,[]
laisser,mettre,advcl,VERB,0.4107641279697418,"[{""id"": 53743406, ""node1"": 135779, ""node2"": 132366, ""type"": 0, ""w"": 411.0}, {""id"": 53608261, ""node1"": 135779, ""node2"": 132366, ""type"": 5, ""w"": 97.0}, {""id"": 494996534, ""node1"": 135779, ""node2"": 132366, ""type"": 35, ""w"": 359.0}]"
manière,faire,acl,VERB,0.4942330718040466,"[{""id"": 85840893, ""node1"": 28743, ""node2"": 87528, ""type"": 0, ""w"": 29.0}, {""id"": 85357468, ""node1"": 28743, ""node2"": 87528, ""type"": 5, ""w"": 94.0}]"
manquer,source,nsubj,NOUN,0.4065289497375488,[]
source,médiéval,amod,ADJ,0.4160599410533905,[]
citer,cannelle,obj,ADJ,0.4066371023654938,[]
plante,autre,amod,ADJ,0.4824672639369964,[]
plante,aromatique,amod,ADJ,0.5051411986351013,[]
épice,autre,amod,ADJ,0.6326203346252441,[]
facultatif,épice,nsubj,NOUN,0.6415593028068542,[]
proportion,variable,amod,ADJ,0.4052116274833679,"[{""id"": 578498765, ""node1"": 84688, ""node2"": 6651, ""type"": 17, ""w"": 26.0}]"
débattre,fait,nsubj,NOUN,0.4147520363330841,[]
fait,devoir,acl,VERB,0.4114493131637573,[]
chauffer,liquide,obj,NOUN,0.6203823089599609,[]
recette,premier,amod,ADJ,0.617908239364624,[]
apparaître,recette,nsubj,NOUN,0.6335548162460327,[]
recette,vin,nmod,NOUN,0.6757220029830933,[]
fin,siècle,nmod,NOUN,0.429499864578247,[]
siècle,recette,appos,NOUN,0.5872021913528442,[]
début,recette,appos,NOUN,0.5863075852394104,[]
recette,piment,nmod,NOUN,0.731352686882019,"[{""id"": 922162644, ""node1"": 120188, ""node2"": 128791, ""type"": 0, ""w"": 20.0}]"
originaire,recette,nsubj,NOUN,0.6017522811889648,"[{""id"": 979224035, ""node1"": 38359, ""node2"": 120188, ""type"": 23, ""w"": 7.0}]"
boire,étymologie,nsubj,NOUN,0.4800176322460174,[]
demeure,quel,advcl,DET,0.4132749736309051,[]
étymologie,demeure,acl:relcl,VERB,0.4041712284088135,[]
vin,épicé,amod,ADV,0.6336566805839539,"[{""id"": 61288288, ""node1"": 35798, ""node2"": 81389, ""type"": 0, ""w"": 27.0}, {""id"": 61288287, ""node1"": 35798, ""node2"": 81389, ""type"": 27, ""w"": 23.0}]"
