head,lemma,dep,pos,sim,relations
noix,coco,nmod,ADV,0.5649088025093079,"[{""id"": 1924690, ""node1"": 30910, ""node2"": 145904, ""type"": 0, ""w"": 55.0}]"
noix,philippin,nmod,VERB,0.5272046327590942,[]
noix,prononcer,acl,VERB,0.5453532338142395,[]
noix,Indonésie,nmod,PROPN,0.5306417942047119,[]
noix,thaï,nmod,NOUN,0.5472981929779053,[]
noix,présenter,acl,VERB,0.5583813190460205,[]
chair,résultat,nsubj,NOUN,0.5083957314491272,[]
chair,mou,amod,ADJ,0.4528514444828033,[]
constituer,chair,nsubj:pass,NOUN,0.4981154501438141,[]
chair,noix,nmod,NOUN,0.5969823002815247,"[{""id"": 96724274, ""node1"": 61835, ""node2"": 30910, ""type"": 0, ""w"": 30.0}, {""id"": 96723911, ""node1"": 61835, ""node2"": 30910, ""type"": 10, ""w"": 15.0}]"
coco,normal,amod,ADJ,0.5501273274421692,[]
source,énergie,nmod,NOUN,0.4117920696735382,"[{""id"": 929603633, ""node1"": 99014, ""node2"": 108673, ""type"": 0, ""w"": 116.0}, {""id"": 652233976, ""node1"": 99014, ""node2"": 108673, ""type"": 666, ""w"": 2.0}]"
développement,noix,nmod,NOUN,0.5548076033592224,[]
processus,coco,nmod,ADV,0.5506516695022583,[]
coco,mutant,amod,ADJ,0.5212104320526123,[]
enzyme,autre,amod,ADJ,0.4277033805847168,[]
acide,gras,amod,ADJ,0.5243161916732788,[]
avoir,noix,nsubj,NOUN,0.5629019737243652,[]
proportion,grand,amod,ADJ,0.4524304568767547,[]
total,sucre,nmod,NOUN,0.5576631426811218,"[{""id"": 376074088, ""node1"": 71993, ""node2"": 139481, ""type"": 23, ""w"": 26.0}]"
noix,jeune,amod,ADJ,0.5720047950744629,[]
rapport,noix,nmod,NOUN,0.5630462765693665,[]
coco,mature,amod,ADJ,0.5324059724807739,[]
faible,teneur,nsubj,NOUN,0.4254353046417236,[]
rapport,chair,nmod,NOUN,0.4964351058006286,[]
teneur,élevé,amod,ADJ,0.4047465622425079,[]
teneur,acide,nmod,NOUN,0.4855228066444397,[]
propriété,tout,amod,ADJ,0.4754101932048797,[]
goût,chair,nmod,NOUN,0.6040323376655579,[]
considérer,noix,nsubj:pass,NOUN,0.5564875602722168,[]
mets,délicat,amod,ADJ,0.5058724880218506,"[{""id"": 977157142, ""node1"": 114839, ""node2"": 104757, ""type"": 0, ""w"": 1.0}, {""id"": 96365609, ""node1"": 114839, ""node2"": 104757, ""type"": 17, ""w"": -40.0}]"
faire,qui,nsubj:pass,PRON,0.4499227106571197,"[{""id"": 729891679, ""node1"": 87528, ""node2"": 114890, ""type"": 9, ""w"": -5.0}]"
boisson,faire,acl:relcl,VERB,0.6321976184844971,[]
boisson,Philippines,nmod,PROPN,0.510087788105011,[]
saveur,doux,amod,ADJ,0.5579778552055359,"[{""id"": 797000439, ""node1"": 71872, ""node2"": 74183, ""type"": 0, ""w"": 29.0}, {""id"": 646189524, ""node1"": 71872, ""node2"": 74183, ""type"": 666, ""w"": 4.0}]"
saveur,noix,nmod,NOUN,0.6236491799354553,[]
saveur,coco,nmod,ADV,0.6362965106964111,[]
cuire,lui,nsubj:pass,PRON,0.629605770111084,[]
cuire,fruit,obj,NOUN,0.7549319267272949,"[{""id"": 1047029653, ""node1"": 5115, ""node2"": 87286, ""type"": 13, ""w"": 30.0}]"
dessert,autre,amod,ADJ,0.5682235360145569,[]
dessert,halo,nmod,NOUN,0.4186956882476806,[]
