head,lemma,dep,pos,sim,relations
sauce,relever,acl,VERB,0.6767898797988892,"[{""id"": 893428130, ""node1"": 141110, ""node2"": 58822, ""type"": 0, ""w"": 20.0}, {""id"": 395781228, ""node1"": 141110, ""node2"": 58822, ""type"": 26, ""w"": 100.0}, {""id"": 1925976, ""node1"": 141110, ""node2"": 58822, ""type"": 37, ""w"": 52.0}]"
piquant,épaisse,amod,NOUN,0.5638680458068848,[]
sauce,accompagner,acl:relcl,VERB,0.6814391016960144,"[{""id"": 468467, ""node1"": 141110, ""node2"": 85830, ""type"": 0, ""w"": 32.0}]"
accompagner,lièvre,obj,NOUN,0.5016288161277771,[]
lièvre,chasser,acl,VERB,0.4713144898414612,"[{""id"": 15063184, ""node1"": 29899, ""node2"": 78768, ""type"": 26, ""w"": 30.0}]"
lièvre,broche,nmod,NOUN,0.5508755445480347,[]
viande,autre,amod,ADJ,0.70782470703125,[]
faire,faire,advcl,VERB,0.455417662858963,"[{""id"": 301931, ""node1"": 87528, ""node2"": 87528, ""type"": 19, ""w"": 55.0}, {""id"": 1063193, ""node1"": 87528, ""node2"": 87528, ""type"": 39, ""w"": 58.0}, {""id"": 1063194, ""node1"": 87528, ""node2"": 87528, ""type"": 40, ""w"": 56.0}, {""id"": 648859364, ""node1"": 87528, ""node2"": 87528, ""type"": 99, ""w"": 28.0}]"
once,menu,amod,ADJ,0.4676439464092254,[]
vin,rouge,amod,ADJ,0.5965540409088135,"[{""id"": 61835, ""node1"": 35798, ""node2"": 86356, ""type"": 0, ""w"": 517.0}, {""id"": 556239, ""node1"": 35798, ""node2"": 86356, ""type"": 5, ""w"": 122.0}, {""id"": 9857786, ""node1"": 35798, ""node2"": 86356, ""type"": 8, ""w"": 139.0}, {""id"": 14806149, ""node1"": 35798, ""node2"": 86356, ""type"": 17, ""w"": 71.0}, {""id"": 31149018, ""node1"": 35798, ""node2"": 86356, ""type"": 27, ""w"": 22.0}, {""id"": 3154292, ""node1"": 35798, ""node2"": 86356, ""type"": 106, ""w"": 12.0}, {""id"": 1526706, ""node1"": 35798, ""node2"": 86356, ""type"": 666, ""w"": 8.0}]"
passer,pain,obj,NOUN,0.6704028248786926,[]
pain,ensemble,amod,VERB,0.6476166844367981,[]
avoir,cannelle,nsubj,NOUN,0.5631392598152161,[]
disparaître,préparation,obj,NOUN,0.5645256042480469,[]
préparation,actuel,amod,ADJ,0.4495680928230285,[]
piment,doux,amod,ADJ,0.5599900484085083,"[{""id"": 2160983, ""node1"": 128791, ""node2"": 74183, ""type"": 0, ""w"": 42.0}, {""id"": 96712636, ""node1"": 128791, ""node2"": 74183, ""type"": 17, ""w"": 29.0}]"
poivre,remplacer,acl,VERB,0.6222465634346008,[]
relever,sauce,obj,NOUN,0.6767898797988892,"[{""id"": 395781214, ""node1"": 58822, ""node2"": 141110, ""type"": 0, ""w"": 26.0}, {""id"": 395781213, ""node1"": 58822, ""node2"": 141110, ""type"": 14, ""w"": 100.0}]"
épice,thym,amod,NOUN,0.6658023595809937,"[{""id"": 1639414, ""node1"": 146056, ""node2"": 3323, ""type"": 0, ""w"": 66.0}, {""id"": 9668698, ""node1"": 146056, ""node2"": 3323, ""type"": 8, ""w"": 39.0}]"
feuille,laurier,appos,PROPN,0.4919538497924804,"[{""id"": 15624759, ""node1"": 37993, ""node2"": 114548, ""type"": 0, ""w"": 29.0}, {""id"": 14620301, ""node1"": 37993, ""node2"": 114548, ""type"": 10, ""w"": 36.0}]"
cuire,ingrédient,nsubj,NOUN,0.7946811318397522,[]
ingrédient,immuable,amod,ADJ,0.4953275322914123,[]
immuable,foie,nsubj,NOUN,0.5525614619255066,[]
sang,gibier,nmod,NOUN,0.5027903914451599,[]
oignon,ail,nmod,NOUN,0.5530746579170227,"[{""id"": 414999232, ""node1"": 123307, ""node2"": 26979, ""type"": 0, ""w"": 28.0}, {""id"": 1032956777, ""node1"": 123307, ""node2"": 26979, ""type"": 78, ""w"": 44.0}, {""id"": 1767139, ""node1"": 123307, ""node2"": 26979, ""type"": 666, ""w"": 3.0}, {""id"": 3935620, ""node1"": 123307, ""node2"": 26979, ""type"": 777, ""w"": 1.0}]"
ingrédient,animal,appos,NOUN,0.5243882536888123,[]
gibier,petit,amod,ADJ,0.5707594156265259,[]
animal,gibier,appos,NOUN,0.4828865826129913,"[{""id"": 758989, ""node1"": 17559, ""node2"": 40310, ""type"": 0, ""w"": 28.0}]"
gibier,lièvre,appos,NOUN,0.5019171237945557,"[{""id"": 2564827, ""node1"": 40310, ""node2"": 29899, ""type"": 0, ""w"": 119.0}, {""id"": 53742682, ""node1"": 40310, ""node2"": 29899, ""type"": 5, ""w"": 102.0}, {""id"": 9626046, ""node1"": 40310, ""node2"": 29899, ""type"": 8, ""w"": 22.0}]"
projet,autre,amod,ADJ,0.4316383004188537,[]
