head,lemma,dep,pos,sim,relations
concerner,cuisine,obj,NOUN,0.6019042730331421,[]
cuisine,japonais,amod,ADJ,0.5706702470779419,[]
gâteau,japonais,amod,ADJ,0.5793209671974182,[]
exister,type,obj,NOUN,0.4178110063076019,[]
version,cuit,amod,ADJ,0.7056494355201721,[]
version,vapeur,nmod,NOUN,0.5611830353736877,[]
pâte,riz,nmod,NOUN,0.730450451374054,"[{""id"": 602631817, ""node1"": 34069, ""node2"": 24372, ""type"": 0, ""w"": 50.0}]"
poudre,cannelle,nmod,NOUN,0.6258927583694458,"[{""id"": 796694334, ""node1"": 139470, ""node2"": 112959, ""type"": 0, ""w"": 27.0}]"
avoir,forme,obj,NOUN,0.4383388757705688,[]
cannelle,liquide,amod,ADJ,0.666901171207428,[]
cannelle,lieu,nmod,NOUN,0.5571177005767822,[]
lieu,poudre,nmod,NOUN,0.5383901000022888,[]
contenir,pâte,obj,NOUN,0.6477530002593994,[]
pâte,haricot,nmod,NOUN,0.6682611703872681,[]
haricot,rouge,amod,ADJ,0.5174258351325989,"[{""id"": 8849821, ""node1"": 114886, ""node2"": 86356, ""type"": 0, ""w"": 42.0}, {""id"": 2111127, ""node1"": 114886, ""node2"": 86356, ""type"": 17, ""w"": 26.0}, {""id"": 3164403, ""node1"": 114886, ""node2"": 86356, ""type"": 106, ""w"": 14.0}]"
contenir,certain,nsubj,PRON,0.4027167558670044,[]
contenir,chocolat,obj,NOUN,0.5744549036026001,[]
confiture,crème,nmod,NOUN,0.6298410296440125,[]
