head,lemma,dep,pos,sim,relation,relation_name,w
extraire,liquide,obj,ADJ,0.5078067183494568,[],,
liquide,sucre,amod,NOUN,0.6617963910102844,"[{""id"": 914413973, ""node1"": 140315, ""node2"": 139481, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
sucre,beurre,amod,NOUN,0.6973879933357239,[],,
sucre,fromage,nmod,NOUN,0.7180400490760803,[],,
fromage,frais,amod,ADJ,0.5452271103858948,"[{""id"": 198759, ""node1"": 141687, ""node2"": 53495, ""type"": 17, ""w"": 110.0}]",r_carac,110.0
fromage,crème,acl,NOUN,0.6630610227584839,"[{""id"": 96698001, ""node1"": 141687, ""node2"": 44001, ""type"": 0, ""w"": 25.0}, {""id"": 96698102, ""node1"": 141687, ""node2"": 44001, ""type"": 9, ""w"": 27.0}, {""id"": 96698119, ""node1"": 141687, ""node2"": 44001, ""type"": 50, ""w"": 36.0}, {""id"": 3175706, ""node1"": 141687, ""node2"": 44001, ""type"": 106, ""w"": 51.0}, {""id"": 508325373, ""node1"": 141687, ""node2"": 44001, ""type"": 666, ""w"": 2.0}]",r_has_color,51.0
crème,gélatine,amod,NOUN,0.6139289140701294,[],,
crème,poudre,nmod,NOUN,0.6194026470184326,[],,
poudre,eau,nmod,NOUN,0.5974155068397522,"[{""id"": 3751198, ""node1"": 139470, ""node2"": 65012, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
eau,pâte,acl,NOUN,0.6791620850563049,"[{""id"": 797251954, ""node1"": 65012, ""node2"": 34069, ""type"": 0, ""w"": 25.0}]",r_associated,25.0
tartiner,micro-onde,obj,NOUN,0.5935783386230469,[],,
micro-onde,bol,appos,NOUN,0.5516098141670227,[],,
bol,balance,nmod,NOUN,0.5318400859832764,[],,
balance,cuisine,nmod,NOUN,0.5991910099983215,[],,
tartiner,étape,obj,NOUN,0.4535852968692779,[],,
tartiner,fond,obj,NOUN,0.5313709378242493,[],,
fond,tarte,nmod,NOUN,0.6178751587867737,[],,
fondre,gramme,nsubj,NOUN,0.5041888356208801,[],,
gramme,beurre,nmod,NOUN,0.6074452996253967,[],,
tartiner,fondre,advcl,VERB,0.5344029068946838,[],,
eau,chaud,amod,ADJ,0.6026924252510071,"[{""id"": 915041142, ""node1"": 65012, ""node2"": 19150, ""type"": 0, ""w"": 20.0}, {""id"": 432164, ""node1"": 65012, ""node2"": 19150, ""type"": 17, ""w"": 131.0}]",r_carac,131.0
essence,vanille,nmod,NOUN,0.5342870354652405,"[{""id"": 920110587, ""node1"": 133813, ""node2"": 140463, ""type"": 0, ""w"": 21.0}]",r_associated,21.0
tartiner,sucre,obj,NOUN,0.6717532873153687,[],,
chauffer,micro-ondes,nmod,ADV,0.6204641461372375,"[{""id"": 1056036647, ""node1"": 90994, ""node2"": 92541, ""type"": 13, ""w"": 16.0}]",r_agent,16.0
micro-ondes,gramme,nmod,NOUN,0.5044602751731873,[],,
