head,lemma,dep,pos,sim,relation,relation_name,w
Colombo,poulet,nmod,NOUN,0.5338058471679688,[],,
Colombo,ingrédient,nmod,NOUN,0.4929480254650116,[],,
Colombo,sel,appos,NOUN,0.653995156288147,[],,
sel,poivre,acl,NOUN,0.6562960147857666,"[{""id"": 125169, ""node1"": 13260, ""node2"": 139597, ""type"": 0, ""w"": 495.0}, {""id"": 1029365119, ""node1"": 13260, ""node2"": 139597, ""type"": 67, ""w"": 28.0}, {""id"": 74985058, ""node1"": 13260, ""node2"": 139597, ""type"": 75, ""w"": 160.0}, {""id"": 1032956770, ""node1"": 13260, ""node2"": 139597, ""type"": 78, ""w"": 39.0}, {""id"": 652227840, ""node1"": 13260, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]",r_associated,495.0
rhum,oignon,nmod,NOUN,0.6026011109352112,[],,
oignon,cuisse,nmod,NOUN,0.5748883485794067,[],,
cuisse,poulet,nmod,NOUN,0.5630122423171997,"[{""id"": 152157, ""node1"": 58876, ""node2"": 146261, ""type"": 0, ""w"": 242.0}, {""id"": 225653, ""node1"": 58876, ""node2"": 146261, ""type"": 10, ""w"": 74.0}, {""id"": 164787, ""node1"": 58876, ""node2"": 146261, ""type"": 17, ""w"": -104.0}, {""id"": 14668832, ""node1"": 58876, ""node2"": 146261, ""type"": 42, ""w"": 35.0}, {""id"": 8558818, ""node1"": 58876, ""node2"": 146261, ""type"": 666, ""w"": 3.0}]",r_associated,242.0
Colombo,poudre,nmod,NOUN,0.5072258710861206,[],,
pomme,terre,nmod,NOUN,0.5521974563598633,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]",r_associated,39.0
pomme,citron,nmod,NOUN,0.6204884648323059,"[{""id"": 418275926, ""node1"": 37201, ""node2"": 15386, ""type"": 0, ""w"": 34.0}, {""id"": 4964999, ""node1"": 37201, ""node2"": 15386, ""type"": 777, ""w"": 2.0}]",r_associated,34.0
citron,mélange,nmod,NOUN,0.6579537391662598,[],,
mélange,épice,nmod,NOUN,0.6888759136199951,"[{""id"": 925026230, ""node1"": 14800, ""node2"": 146056, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
set,poêle,nmod,NOUN,0.5362802147865295,[],,
poêle,couvercle,nmod,NOUN,0.6623087525367737,[],,
pomme,étape,nmod,NOUN,0.5742308497428894,[],,
récipient,oignon,nmod,NOUN,0.6652749180793762,[],,
récipient,couper,acl,VERB,0.5961543321609497,[],,
jus,citron,nmod,NOUN,0.5810989141464233,"[{""id"": 1718366, ""node1"": 53310, ""node2"": 15386, ""type"": 0, ""w"": 91.0}, {""id"": 9625998, ""node1"": 53310, ""node2"": 15386, ""type"": 8, ""w"": 22.0}, {""id"": 376199014, ""node1"": 53310, ""node2"": 15386, ""type"": 16, ""w"": -42.0}, {""id"": 765133846, ""node1"": 53310, ""node2"": 15386, ""type"": 80, ""w"": 26.0}, {""id"": 651234559, ""node1"": 53310, ""node2"": 15386, ""type"": 666, ""w"": 3.0}]",r_associated,91.0
faire,doré,amod,ADJ,0.5776606202125549,[],,
faire,poulet,nmod,NOUN,0.6865565776824951,[],,
revenir,oignon,obj,NOUN,0.612179696559906,"[{""id"": 31815154, ""node1"": 59241, ""node2"": 123307, ""type"": 14, ""w"": 56.0}]",r_patient,56.0
pomme,couper,acl,VERB,0.5837893486022949,"[{""id"": 31839899, ""node1"": 37201, ""node2"": 128828, ""type"": 26, ""w"": 64.0}]",r_patient-1,64.0
gousse,ail,nmod,NOUN,0.5413048267364502,"[{""id"": 1841967, ""node1"": 3889, ""node2"": 26979, ""type"": 0, ""w"": 58.0}, {""id"": 665112731, ""node1"": 3889, ""node2"": 26979, ""type"": 174, ""w"": 40.0}, {""id"": 714921743, ""node1"": 3889, ""node2"": 26979, ""type"": 666, ""w"": 3.0}]",r_associated,58.0
gousse,haché,amod,ADJ,0.5418564081192017,[],,
rajouter,poulet,obj,NOUN,0.6725608706474304,[],,
revenir,couvrir,acl,VERB,0.4902279078960418,[],,
mijoter,minute,obj,NOUN,0.6281461119651794,[],,
laisser,recouvrir,advcl,VERB,0.4388728439807892,[],,
moment,servir,acl,VERB,0.5119957327842712,[],,
rectifier,assaisonnement,obj,NOUN,0.5371372699737549,"[{""id"": 15080476, ""node1"": 36001, ""node2"": 15763, ""type"": 14, ""w"": 30.0}]",r_patient,30.0
préférence,riz,nmod,NOUN,0.6578971147537231,[],,
