head,lemma,dep,pos,sim,relations,relation_name,w
fruit,farine,nmod,NOUN,0.6755548119544983,"[{""id"": 403056546, ""node1"": 87286, ""node2"": 127629, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
titre,ingrédient,nmod,NOUN,0.4870321154594421,[],,
ingrédient,banane,appos,NOUN,0.645889937877655,"[{""id"": 578773781, ""node1"": 123418, ""node2"": 34046, ""type"": 8, ""w"": 26.0}]",r_hypo,26.0
banane,pomme,nmod,NOUN,0.5703580975532532,"[{""id"": 154139, ""node1"": 34046, ""node2"": 37201, ""type"": 0, ""w"": 60.0}, {""id"": 1046575868, ""node1"": 34046, ""node2"": 37201, ""type"": 8, ""w"": 20.0}, {""id"": 12996612, ""node1"": 34046, ""node2"": 37201, ""type"": 666, ""w"": 1.0}]",r_associated,60.0
ingrédient,poudre,nmod,NOUN,0.6457272171974182,[],,
poudre,noisette,nmod,NOUN,0.5947721004486084,[],,
poudre,poudre,nmod,NOUN,0.5167368054389954,"[{""id"": 325395, ""node1"": 139470, ""node2"": 139470, ""type"": 19, ""w"": 57.0}]",r_lemma,57.0
farine,coco,amod,ADV,0.642673671245575,[],,
poudre,farine,nmod,NOUN,0.6427674889564514,"[{""id"": 2206156, ""node1"": 139470, ""node2"": 127629, ""type"": 0, ""w"": 142.0}, {""id"": 362954, ""node1"": 139470, ""node2"": 127629, ""type"": 8, ""w"": 151.0}, {""id"": 9976810, ""node1"": 139470, ""node2"": 127629, ""type"": 10, ""w"": 4.0}, {""id"": 9065573, ""node1"": 139470, ""node2"": 127629, ""type"": 20, ""w"": 51.0}, {""id"": 1590401, ""node1"": 139470, ""node2"": 127629, ""type"": 35, ""w"": 58.0}, {""id"": 1782941, ""node1"": 139470, ""node2"": 127629, ""type"": 666, ""w"": 11.0}]",r_hypo,151.0
farine,huile,nmod,NOUN,0.6669836044311523,"[{""id"": 423997384, ""node1"": 127629, ""node2"": 141971, ""type"": 0, ""w"": 1.0}]",r_associated,1.0
huile,cannelle,amod,ADJ,0.6470866799354553,[],,
titre,étape,nmod,NOUN,0.4319892823696136,[],,
titre,four,nmod,NOUN,0.6465932130813599,[],,
four,180,nmod,NUM,0.4992960691452026,[],,
couper,fruit,obj,NOUN,0.5441493391990662,"[{""id"": 1047029628, ""node1"": 128828, ""node2"": 87286, ""type"": 13, ""w"": 30.0}, {""id"": 376194376, ""node1"": 128828, ""node2"": 87286, ""type"": 16, ""w"": 30.0}]",r_instr,30.0
mélanger,poudre,obj,NOUN,0.6099809408187866,[],,
poudre,coco,nmod,ADV,0.5977879762649536,[],,
cannelle,goût,nmod,NOUN,0.6323670148849487,[],,
cannelle,cuillère,appos,NOUN,0.650983989238739,[],,
cuillère,café,nmod,NOUN,0.5928167104721069,"[{""id"": 163839, ""node1"": 51905, ""node2"": 66324, ""type"": 0, ""w"": 180.0}, {""id"": 11354840, ""node1"": 51905, ""node2"": 66324, ""type"": 15, ""w"": 39.0}, {""id"": 720818158, ""node1"": 51905, ""node2"": 66324, ""type"": 174, ""w"": 25.0}]",r_associated,180.0
ajouter,huile,obj,NOUN,0.5907579064369202,[],,
huile,coco,nmod,ADV,0.595439612865448,"[{""id"": 669863245, ""node1"": 141971, ""node2"": 145904, ""type"": 0, ""w"": 24.0}]",r_associated,24.0
ajouter,solide,amod,ADJ,0.4685069024562835,[],,
obtenir,texture,obj,NOUN,0.4660686552524566,[],,
texture,beurre,nmod,NOUN,0.6740744113922119,[],,
doigt,obtenir,acl,VERB,0.4078322052955627,[],,
obtenir,sorte,obj,NOUN,0.4365202486515045,[],,
sorte,sable,nmod,NOUN,0.5558716654777527,[],,
sable,grossier,amod,ADJ,0.4842306077480316,"[{""id"": 393908, ""node1"": 144565, ""node2"": 136028, ""type"": 17, ""w"": 60.0}]",r_carac,60.0
ajouter,mélange,obj,NOUN,0.5439569354057312,[],,
cuire,minute,obj,NOUN,0.7055090665817261,[],,
refroidissement,complet,amod,NOUN,0.4082100093364715,[],,
cuire,croustillant,advcl,ADJ,0.7440610527992249,[],,
