head,lemma,dep,pos,sim,relations,relation_name,w
mélange,crème,amod,NOUN,0.6523904204368591,[],,
crème,pistache,amod,NOUN,0.610626757144928,[],,
crème,Denise,nmod,PROPN,0.5152515172958374,[],,
Denise,ingrédient,nmod,NOUN,0.4405500590801239,[],,
pistache,lait,nmod,NOUN,0.6100291609764099,[],,
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,casserole,nmod,NOUN,0.6258264183998108,"[{""id"": 662507901, ""node1"": 51905, ""node2"": 57253, ""type"": 0, ""w"": 28.0}]",r_associated,28.0
casserole,saladier,nmod,NOUN,0.6254573464393616,[],,
saladier,fouet,nmod,NOUN,0.5588916540145874,[],,
fouet,cuisine,nmod,NOUN,0.6215970516204834,"[{""id"": 2421862, ""node1"": 73888, ""node2"": 16033, ""type"": 0, ""w"": 306.0}, {""id"": 452879, ""node1"": 73888, ""node2"": 16033, ""type"": 3, ""w"": 266.0}, {""id"": 72783259, ""node1"": 73888, ""node2"": 16033, ""type"": 15, ""w"": 38.0}, {""id"": 1019771975, ""node1"": 73888, ""node2"": 16033, ""type"": 17, ""w"": -5.0}]",r_associated,306.0
fouet,lot,nmod,NOUN,0.4158265590667724,[],,
fouet,étape,nmod,NOUN,0.4946097731590271,[],,
mélange,précédent,amod,ADJ,0.4784136712551117,[],,
mélange,litre,nmod,NOUN,0.5243121981620789,[],,
litre,lait,nmod,NOUN,0.5534196496009827,"[{""id"": 720818097, ""node1"": 57416, ""node2"": 86296, ""type"": 174, ""w"": 25.0}, {""id"": 1662570, ""node1"": 57416, ""node2"": 86296, ""type"": 666, ""w"": 2.0}]",r_quantificateur-1,25.0
feu,doux,amod,ADJ,0.5496628284454346,[],,
