head,lemma,dep,pos,sim,relation,relation_name,w
titre,cuillère,nmod,NOUN,0.5080531239509583,[],,
cuillère,chocolat,nmod,NOUN,0.6583350300788879,[],,
cuillère,chaud,amod,ADJ,0.6354188919067383,[],,
ingrédient,chocolat,nmod,NOUN,0.6857289671897888,[],,
ingrédient,noir,amod,ADJ,0.5502306818962097,[],,
moule,cuillère,nmod,NOUN,0.574239194393158,[],,
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,micro-onde,nmod,NOUN,0.6352164149284363,[],,
cuillère,étape,nmod,NOUN,0.4685819745063782,[],,
cuillère,casser,acl,VERB,0.5599385499954224,[],,
casser,chocolat,obj,NOUN,0.5810004472732544,[],,
chacun,moule,nmod,NOUN,0.5105839967727661,[],,
verser,chocolat,obj,NOUN,0.591842770576477,[],,
chocolat,fondre,acl,VERB,0.5867562890052795,"[{""id"": 561175449, ""node1"": 34157, ""node2"": 16480, ""type"": 0, ""w"": 35.0}, {""id"": 24771039, ""node1"": 34157, ""node2"": 16480, ""type"": 24, ""w"": 220.0}, {""id"": 1011192542, ""node1"": 34157, ""node2"": 16480, ""type"": 26, ""w"": 30.0}]",r_agent-1,220.0
ajouter,cuillère,obj,NOUN,0.5465437173843384,[],,
