head,lemma,dep,pos,sim,relations,relation_name,w
titre,glace,nmod,NOUN,0.5293558239936829,[],,
Mystère,ingrédient,nmod,NOUN,0.4610625505447387,[],,
Mystère,sucre,nmod,NOUN,0.6076557636260986,[],,
sucre,oeuf,nmod,NOUN,0.6437758803367615,"[{""id"": 376049526, ""node1"": 139481, ""node2"": 116175, ""type"": 51, ""w"": 41.0}]",r_mater>object,41.0
sucre,sucre,nmod,NOUN,0.6199788451194763,"[{""id"": 335264, ""node1"": 139481, ""node2"": 139481, ""type"": 19, ""w"": 142.0}, {""id"": 93901596, ""node1"": 139481, ""node2"": 139481, ""type"": 50, ""w"": -27.0}, {""id"": 376041081, ""node1"": 139481, ""node2"": 139481, ""type"": 51, ""w"": 28.0}]",r_lemma,142.0
sucre,vanillé,amod,ADJ,0.6220211982727051,"[{""id"": 9901819, ""node1"": 139481, ""node2"": 19738, ""type"": 0, ""w"": 13.0}, {""id"": 360676, ""node1"": 139481, ""node2"": 19738, ""type"": 8, ""w"": -101.0}]",r_associated,13.0
sucre,meringue,obj,NOUN,0.6681562662124634,"[{""id"": 33222882, ""node1"": 139481, ""node2"": 142350, ""type"": 0, ""w"": 24.0}, {""id"": 33165045, ""node1"": 139481, ""node2"": 142350, ""type"": 10, ""w"": 26.0}, {""id"": 376037535, ""node1"": 139481, ""node2"": 142350, ""type"": 51, ""w"": 32.0}]",r_mater>object,32.0
meringue,crème,acl,NOUN,0.5985420346260071,[],,
saladier,cuillère,nmod,NOUN,0.6106023788452148,"[{""id"": 591359667, ""node1"": 45455, ""node2"": 51905, ""type"": 0, ""w"": 32.0}]",r_associated,32.0
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,fouet,nmod,NOUN,0.5491861701011658,"[{""id"": 662513346, ""node1"": 51905, ""node2"": 73888, ""type"": 0, ""w"": 22.0}]",r_associated,22.0
fouet,cuisine,nmod,NOUN,0.6215970516204834,"[{""id"": 2421862, ""node1"": 73888, ""node2"": 16033, ""type"": 0, ""w"": 305.0}, {""id"": 452879, ""node1"": 73888, ""node2"": 16033, ""type"": 3, ""w"": 265.0}, {""id"": 72783259, ""node1"": 73888, ""node2"": 16033, ""type"": 15, ""w"": 38.0}, {""id"": 1019771975, ""node1"": 73888, ""node2"": 16033, ""type"": 17, ""w"": -5.0}]",r_associated,305.0
fouet,moule,nmod,NOUN,0.5517356395721436,[],,
cake,congélateur,nmod,NOUN,0.5589917302131653,[],,
congélateur,couvercle,nmod,NOUN,0.5850334763526917,[],,
couvercle,balance,nmod,NOUN,0.5437039136886597,[],,
balance,cuisine,nmod,NOUN,0.5991910099983215,[],,
mélanger,jaune,obj,NOUN,0.5585520267486572,[],,
jaune,oeuf,nmod,NOUN,0.5280547142028809,"[{""id"": 104631, ""node1"": 86711, ""node2"": 116175, ""type"": 0, ""w"": 598.0}, {""id"": 31299418, ""node1"": 86711, ""node2"": 116175, ""type"": 3, ""w"": 29.0}, {""id"": 2350883, ""node1"": 86711, ""node2"": 116175, ""type"": 10, ""w"": 109.0}, {""id"": 131637, ""node1"": 86711, ""node2"": 116175, ""type"": 15, ""w"": 118.0}, {""id"": 120267, ""node1"": 86711, ""node2"": 116175, ""type"": 23, ""w"": 300.0}, {""id"": 2254559, ""node1"": 86711, ""node2"": 116175, ""type"": 54, ""w"": 58.0}]",r_associated,598.0
blanc,neige,nmod,NOUN,0.4736866652965545,"[{""id"": 116991, ""node1"": 15196, ""node2"": 3699, ""type"": 0, ""w"": 509.77}, {""id"": 117866, ""node1"": 15196, ""node2"": 3699, ""type"": 23, ""w"": 320.0}, {""id"": 1622496, ""node1"": 15196, ""node2"": 3699, ""type"": 666, ""w"": 12.0}]",r_associated,509.77
neige,ferme,amod,ADJ,0.460278570652008,[],,
saupoudrer,moule,obj,NOUN,0.562415361404419,[],,
moule,cake,nmod,NOUN,0.5423397421836853,"[{""id"": 272916, ""node1"": 143723, ""node2"": 28945, ""type"": 0, ""w"": 60.0}, {""id"": 583219247, ""node1"": 143723, ""node2"": 28945, ""type"": 28, ""w"": 27.0}]",r_associated,60.0
verser,moitié,obj,NOUN,0.4899656772613525,[],,
moitié,préparation,nmod,NOUN,0.4928836822509765,[],,
congélateur,minute,nmod,NOUN,0.5128373503684998,[],,
mettre,moule,obj,NOUN,0.5371627807617188,[],,
meringue,appareil,nmod,NOUN,0.5499037504196167,"[{""id"": 98284146, ""node1"": 142350, ""node2"": 106265, ""type"": 0, ""w"": 26.0}, {""id"": 98284139, ""node1"": 142350, ""node2"": 106265, ""type"": 6, ""w"": 30.0}, {""id"": 98284136, ""node1"": 142350, ""node2"": 106265, ""type"": 35, ""w"": 26.0}]",r_isa,30.0
reste,préparation,nmod,NOUN,0.5082931518554688,[],,
