head,lemma,dep,pos,sim,relation,relation_name,w
piment,noix,nmod,NOUN,0.6489555835723877,"[{""id"": 673287847, ""node1"": 128791, ""node2"": 30910, ""type"": 0, ""w"": 21.0}]",r_associated,21.0
noix,coco,nmod,ADV,0.5701965689659119,"[{""id"": 1924690, ""node1"": 30910, ""node2"": 145904, ""type"": 0, ""w"": 55.0}]",r_associated,55.0
coriandre,purée,nmod,NOUN,0.6889857053756714,[],,
clou,girofle,nmod,ADP,0.4290643036365509,"[{""id"": 9902807, ""node1"": 11651, ""node2"": 43873, ""type"": 0, ""w"": 55.0}, {""id"": 413873, ""node1"": 11651, ""node2"": 43873, ""type"": 8, ""w"": 111.0}]",r_hypo,111.0
clou,huile,amod,NOUN,0.5478216409683228,[],,
curcuma,moutarde,appos,ADJ,0.6441053152084351,"[{""id"": 77552683, ""node1"": 133098, ""node2"": 28335, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
titre,coco,amod,ADV,0.5416421294212341,[],,
pois,petit,amod,ADJ,0.5441179871559143,"[{""id"": 1743094, ""node1"": 97846, ""node2"": 55222, ""type"": 0, ""w"": 105.0}, {""id"": 1525554, ""node1"": 97846, ""node2"": 55222, ""type"": 666, ""w"": 2.0}]",r_associated,105.0
coco,pois,obj,NOUN,0.5788534283638,[],,
pois,pomme,nmod,NOUN,0.585213840007782,"[{""id"": 415003494, ""node1"": 97846, ""node2"": 37201, ""type"": 0, ""w"": 26.0}]",r_associated,26.0
pomme,terre,nmod,NOUN,0.5497229695320129,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]",r_associated,39.0
pomme,patate,nmod,NOUN,0.5781847238540649,[],,
pomme,doux,amod,ADJ,0.585032045841217,[],,
pois,graine,amod,NOUN,0.5478937029838562,"[{""id"": 88975846, ""node1"": 97846, ""node2"": 14469, ""type"": 0, ""w"": 45.0}, {""id"": 26030548, ""node1"": 97846, ""node2"": 14469, ""type"": 35, ""w"": 42.0}]",r_associated,45.0
pois,feuille,nmod,NOUN,0.5453153848648071,[],,
feuille,curry,nmod,NOUN,0.6857442259788513,[],,
mixeur,couvercle,nmod,NOUN,0.585760772228241,[],,
couvercle,cuillère,nmod,NOUN,0.6197326183319092,[],,
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
chauffer,huile,obj,NOUN,0.64256751537323,[],,
ajouter,purée,obj,NOUN,0.6434765458106995,[],,
purée,gingembre,nmod,NOUN,0.7023115754127502,[],,
ajouter,piment,obj,NOUN,0.6054633259773254,[],,
transparent,oignon,nsubj,NOUN,0.5706696510314941,[],,
retirer,transparent,advcl,ADJ,0.4045344591140747,[],,
ajouter,feuille,obj,NOUN,0.4999395906925201,[],,
feuille,coriandre,nmod,NOUN,0.5904175043106079,"[{""id"": 797250853, ""node1"": 37993, ""node2"": 61977, ""type"": 0, ""w"": 24.0}, {""id"": 403056603, ""node1"": 37993, ""node2"": 61977, ""type"": 777, ""w"": 10.0}]",r_associated,24.0
coriandre,haché,amod,ADJ,0.5754868984222412,[],,
retirer,Mixer,obj,PROPN,0.4317928850650787,[],,
légume,épicé,amod,ADJ,0.6753191351890564,[],,
légume,chauffer,acl,VERB,0.7558048367500305,[],,
graine,fenouil,nmod,NOUN,0.6155011057853699,"[{""id"": 403056623, ""node1"": 14469, ""node2"": 78032, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
ajouter,oignon,obj,NOUN,0.585871696472168,[],,
légume,couper,acl,VERB,0.6484079957008362,"[{""id"": 900892207, ""node1"": 120603, ""node2"": 128828, ""type"": 0, ""w"": 20.0}, {""id"": 8555448, ""node1"": 120603, ""node2"": 128828, ""type"": 26, ""w"": 100.0}]",r_patient-1,100.0
faire,revenir,acl,VERB,0.4624814093112945,[],,
mettre,purée,obj,NOUN,0.6634784936904907,[],,
ajouter,mélanger,advcl,VERB,0.476481020450592,[],,
ajouter,eau,obj,NOUN,0.5629687905311584,[],,
eau,couvrir,acl,VERB,0.5730895400047302,[],,
ajouter,remuer,advcl,VERB,0.4985744059085846,[],,
remuer,temps,obj,NOUN,0.5274296998977661,[],,
