head,lemma,dep,pos,sim,relation,relation_name,w
crème,herbe,nmod,NOUN,0.5861015915870667,[],,
herbe,Provence,nmod,PROPN,0.4220801889896393,[],,
Provence,basilic,flat:name,NOUN,0.5011339783668518,"[{""id"": 588359153, ""node1"": 133003, ""node2"": 112671, ""type"": 0, ""w"": 32.0}]",r_associated,32.0
herbe,frais,amod,ADJ,0.477321058511734,"[{""id"": 992283068, ""node1"": 138874, ""node2"": 53495, ""type"": 666, ""w"": 2.0}]",r_aki,2.0
Plat,gratin,nmod,NOUN,0.4779236614704132,[],,
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,four,nmod,NOUN,0.7153509855270386,[],,
cuillère,étape,nmod,NOUN,0.4685819745063782,[],,
peu,huile,nmod,NOUN,0.5692240595817566,[],,
huile,olive,nmod,NOUN,0.577674388885498,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]",r_associated,441.0
rajouter,viande,obj,NOUN,0.7282408475875854,[],,
viande,haché,amod,ADJ,0.6638813018798828,[],,
cuire,viande,obj,NOUN,0.8064185976982117,"[{""id"": 2182411, ""node1"": 5115, ""node2"": 140100, ""type"": 0, ""w"": 73.0}, {""id"": 148035, ""node1"": 5115, ""node2"": 140100, ""type"": 13, ""w"": 100.0}, {""id"": 206249, ""node1"": 5115, ""node2"": 140100, ""type"": 14, ""w"": 100.0}, {""id"": 722712577, ""node1"": 5115, ""node2"": 140100, ""type"": 666, ""w"": 2.0}]",r_agent,100.0
viande,ajouter,acl,VERB,0.7162638902664185,[],,
ajouter,herbe,obj,NOUN,0.4923520386219024,[],,
rajouter,boîte,obj,NOUN,0.4644831120967865,[],,
mélanger,tout,obj,NOUN,0.528428852558136,"[{""id"": 166642, ""node1"": 37151, ""node2"": 136232, ""type"": 14, ""w"": 110.0}]",r_patient,110.0
plat,rectangulaire,amod,ADJ,0.5998041033744812,"[{""id"": 76567693, ""node1"": 36327, ""node2"": 3278, ""type"": 0, ""w"": 35.0}]",r_associated,35.0
alterner,feuille,obj,NOUN,0.4985639154911041,[],,
feuille,garniture,nmod,NOUN,0.5831927061080933,[],,
peu,crème,nmod,NOUN,0.58684241771698,[],,
mettre,thermostat,appos,NOUN,0.5112968683242798,[],,
