head,lemma,dep,pos,sim,relations,relation_name,w
raisin,noir,amod,ADJ,0.5296575427055359,"[{""id"": 105763, ""node1"": 93528, ""node2"": 64238, ""type"": 0, ""w"": 110.0}, {""id"": 118669, ""node1"": 93528, ""node2"": 64238, ""type"": 17, ""w"": 163.0}, {""id"": 3163354, ""node1"": 93528, ""node2"": 64238, ""type"": 106, ""w"": 14.0}]",r_carac,163.0
coulis,framboise,nmod,NOUN,0.5548997521400452,[],,
framboise,bonbon,appos,NOUN,0.5072619318962097,[],,
bonbon,fouet,nmod,NOUN,0.5316975712776184,[],,
fouet,cuisine,nmod,NOUN,0.6215970516204834,"[{""id"": 2421862, ""node1"": 73888, ""node2"": 16033, ""type"": 0, ""w"": 305.0}, {""id"": 452879, ""node1"": 73888, ""node2"": 16033, ""type"": 3, ""w"": 265.0}, {""id"": 72783259, ""node1"": 73888, ""node2"": 16033, ""type"": 15, ""w"": 38.0}, {""id"": 1019771975, ""node1"": 73888, ""node2"": 16033, ""type"": 17, ""w"": -5.0}]",r_associated,305.0
bonbon,assiette,nmod,NOUN,0.6252366304397583,[],,
assiette,étape,nmod,NOUN,0.483820229768753,[],,
introduire,grain,obj,NOUN,0.5330079793930054,[],,
grain,raisin,nmod,NOUN,0.5547611117362976,"[{""id"": 386271, ""node1"": 57895, ""node2"": 93528, ""type"": 0, ""w"": 70.0}, {""id"": 377013608, ""node1"": 57895, ""node2"": 93528, ""type"": 20, ""w"": 30.0}, {""id"": 720818254, ""node1"": 57895, ""node2"": 93528, ""type"": 174, ""w"": 25.0}]",r_associated,70.0
peu,coulis,nmod,NOUN,0.5513989329338074,[],,
tremper,fruit,obj,NOUN,0.578056275844574,"[{""id"": 1051892063, ""node1"": 119858, ""node2"": 87286, ""type"": 13, ""w"": 17.0}]",r_agent,17.0
assiette,étaler,acl,VERB,0.5539026856422424,[],,
morceau,fil,nmod,NOUN,0.4360196590423584,[],,
fil,bonbon,nmod,NOUN,0.4434823393821716,[],,
