head,lemma,dep,pos,sim,relations,relation_name,w
échalote,ingrédient,nmod,NOUN,0.6557566523551941,"[{""id"": 24930251, ""node1"": 41642, ""node2"": 123418, ""type"": 6, ""w"": 1.0}]",r_isa,1.0
échalote,curcuma,appos,NOUN,0.6529384851455688,[],,
curcuma,sel,appos,NOUN,0.6907896399497986,[],,
curcuma,poivre,amod,NOUN,0.650693953037262,"[{""id"": 3696435, ""node1"": 133098, ""node2"": 139597, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
poivre,huile,amod,NOUN,0.6777899265289307,"[{""id"": 917898979, ""node1"": 139597, ""node2"": 141971, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
poivre,vinaigre,acl,NOUN,0.6644958257675171,"[{""id"": 584573829, ""node1"": 139597, ""node2"": 145443, ""type"": 0, ""w"": 22.0}]",r_associated,22.0
échalote,citron,nmod,NOUN,0.6424655914306641,[],,
set,poêle,nmod,NOUN,0.5301709771156311,[],,
échalote,mettre,advcl,VERB,0.5825575590133667,[],,
jus,citron,nmod,NOUN,0.5887953042984009,"[{""id"": 1718366, ""node1"": 53310, ""node2"": 15386, ""type"": 0, ""w"": 91.0}, {""id"": 9625998, ""node1"": 53310, ""node2"": 15386, ""type"": 8, ""w"": 22.0}, {""id"": 376199014, ""node1"": 53310, ""node2"": 15386, ""type"": 16, ""w"": -42.0}, {""id"": 765133846, ""node1"": 53310, ""node2"": 15386, ""type"": 80, ""w"": 26.0}, {""id"": 651234559, ""node1"": 53310, ""node2"": 15386, ""type"": 666, ""w"": 3.0}]",r_associated,91.0
mouiller,répartir,advcl,VERB,0.4607337415218353,[],,
goutte,vinaigre,nmod,NOUN,0.599717915058136,[],,
arroser,saler,advcl,VERB,0.5585835576057434,[],,
peindre,filet,nmod,NOUN,0.5175735354423523,[],,
filet,poudre,nmod,NOUN,0.6210079193115234,[],,
poudre,curcuma,nmod,NOUN,0.6288866400718689,"[{""id"": 914373244, ""node1"": 139470, ""node2"": 133098, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
saisir,minute,obj,NOUN,0.4159308969974518,[],,
