head,lemma,dep,pos,sim,relations,relation_name,w
oeuf,oie,nmod,NOUN,0.4690426588058471,"[{""id"": 797537182, ""node1"": 116175, ""node2"": 79073, ""type"": 0, ""w"": 69.0}, {""id"": 376104936, ""node1"": 116175, ""node2"": 79073, ""type"": 52, ""w"": 27.0}, {""id"": 380316731, ""node1"": 116175, ""node2"": 79073, ""type"": 54, ""w"": 27.0}, {""id"": 11608484, ""node1"": 116175, ""node2"": 79073, ""type"": 73, ""w"": 24.0}, {""id"": 109918811, ""node1"": 116175, ""node2"": 79073, ""type"": 777, ""w"": 10.0}]",r_associated,69.0
oeuf,salade,nmod,NOUN,0.6385975480079651,"[{""id"": 99347329, ""node1"": 116175, ""node2"": 118908, ""type"": 0, ""w"": 42.0}, {""id"": 98727890, ""node1"": 116175, ""node2"": 118908, ""type"": 10, ""w"": 43.0}]",r_holo,43.0
salade,ingrédient,nmod,NOUN,0.7127874493598938,[],,
oeuf,comté,nmod,NOUN,0.4999415278434753,[],,
comté,tomate,nmod,NOUN,0.5095294117927551,[],,
salade,pain,nmod,NOUN,0.7251226305961609,[],,
pain,campagne,nmod,NOUN,0.6385389566421509,"[{""id"": 652238, ""node1"": 61283, ""node2"": 79444, ""type"": 0, ""w"": 57.0}]",r_associated,57.0
pain,ail,nmod,ADP,0.6871475577354431,[],,
fin,herbe,amod,NOUN,0.478801280260086,[],,
casserole,couteau,nmod,NOUN,0.6493775248527527,[],,
mettre,oeuf,obj,NOUN,0.557662844657898,[],,
casserole,eau,nmod,NOUN,0.6077002882957458,"[{""id"": 96542705, ""node1"": 57253, ""node2"": 65012, ""type"": 0, ""w"": 19.0}, {""id"": 22760525, ""node1"": 57253, ""node2"": 65012, ""type"": 28, ""w"": 34.0}, {""id"": 96542704, ""node1"": 57253, ""node2"": 65012, ""type"": 666, ""w"": 1.0}]",r_lieu-1,34.0
eau,froid,amod,ADJ,0.5808660984039307,"[{""id"": 432163, ""node1"": 65012, ""node2"": 49803, ""type"": 17, ""w"": 74.0}]",r_carac,74.0
feu,chaud,amod,ADJ,0.5669727921485901,"[{""id"": 176529, ""node1"": 143703, ""node2"": 19150, ""type"": 0, ""w"": 161.0}, {""id"": 155793, ""node1"": 143703, ""node2"": 19150, ""type"": 17, ""w"": 131.0}, {""id"": 11348700, ""node1"": 143703, ""node2"": 19150, ""type"": 28, ""w"": 38.0}]",r_associated,161.0
dresser,assiette,obj,NOUN,0.5431979298591614,[],,
assiette,lit,nmod,NOUN,0.4902625977993011,[],,
lit,salade,nmod,NOUN,0.5412552952766418,[],,
assiette,couper,acl,VERB,0.5985233187675476,[],,
couper,fromage,obj,NOUN,0.6230878829956055,"[{""id"": 365853942, ""node1"": 128828, ""node2"": 141687, ""type"": 0, ""w"": 29.0}, {""id"": 365853940, ""node1"": 128828, ""node2"": 141687, ""type"": 14, ""w"": 100.0}]",r_patient,100.0
assiette,frotter,acl,VERB,0.624103307723999,[],,
frotter,tranche,obj,NOUN,0.4902050793170929,[],,
tranche,pain,nmod,NOUN,0.6442368030548096,"[{""id"": 240074, ""node1"": 143123, ""node2"": 61283, ""type"": 0, ""w"": 221.0}, {""id"": 97833247, ""node1"": 143123, ""node2"": 61283, ""type"": 3, ""w"": 10.0}, {""id"": 9992595, ""node1"": 143123, ""node2"": 61283, ""type"": 10, ""w"": 4.0}, {""id"": 97327248, ""node1"": 143123, ""node2"": 61283, ""type"": 35, ""w"": 30.0}, {""id"": 775213283, ""node1"": 143123, ""node2"": 61283, ""type"": 174, ""w"": 25.0}]",r_associated,221.0
tranche,ail,nmod,NOUN,0.5816977024078369,[],,
salade,oeuf,nmod,NOUN,0.6385975480079651,"[{""id"": 97758217, ""node1"": 118908, ""node2"": 116175, ""type"": 0, ""w"": 22.0}, {""id"": 97758218, ""node1"": 118908, ""node2"": 116175, ""type"": 9, ""w"": 41.0}]",r_has_part,41.0
poser,moitié,obj,NOUN,0.4544546604156494,[],,
moitié,oeuf,nmod,NOUN,0.5513675808906555,[],,
moitié,tranche,nmod,NOUN,0.443661093711853,[],,
moitié,décorer,acl,VERB,0.4916645288467407,[],,
tomate,cerise,amod,NOUN,0.5635725259780884,"[{""id"": 400423, ""node1"": 22138, ""node2"": 49073, ""type"": 0, ""w"": 84.0}, {""id"": 1029365094, ""node1"": 22138, ""node2"": 49073, ""type"": 67, ""w"": 34.0}]",r_associated,84.0
tomate,couper,acl,VERB,0.6290057301521301,"[{""id"": 920912564, ""node1"": 22138, ""node2"": 128828, ""type"": 0, ""w"": 21.0}, {""id"": 628044041, ""node1"": 22138, ""node2"": 128828, ""type"": 26, ""w"": 100.0}]",r_patient-1,100.0
herbe,fin,amod,ADJ,0.478801280260086,[],,
herbe,haché,amod,ADJ,0.5466343760490417,[],,
arroser,tout,obj,NOUN,0.516660749912262,[],,
tout,vinaigrette,nmod,NOUN,0.6078792214393616,[],,
