head,lemma,dep,pos,sim,relation,relation_name,w
Savoie,ingrédient,nmod,NOUN,0.4121759235858917,[],,
boeuf,roquette,nmod,NOUN,0.5979921221733093,[],,
roquette,sel,appos,NOUN,0.6917733550071716,[],,
set,poêle,nmod,NOUN,0.5301709771156311,[],,
set,couper,acl,VERB,0.4184455871582031,[],,
couper,oignon,obj,NOUN,0.596168577671051,"[{""id"": 435065584, ""node1"": 128828, ""node2"": 123307, ""type"": 0, ""w"": 29.0}, {""id"": 31770866, ""node1"": 128828, ""node2"": 123307, ""type"": 14, ""w"": 100.0}]",r_patient,100.0
revenir,oignon,obj,NOUN,0.6089184284210205,"[{""id"": 31815154, ""node1"": 59241, ""node2"": 123307, ""type"": 14, ""w"": 56.0}]",r_patient,56.0
couper,tomate,obj,NOUN,0.6290057301521301,"[{""id"": 628044027, ""node1"": 128828, ""node2"": 22138, ""type"": 0, ""w"": 27.0}, {""id"": 628044026, ""node1"": 128828, ""node2"": 22138, ""type"": 14, ""w"": 100.0}]",r_patient,100.0
chauffer,poêle,obj,NOUN,0.652711808681488,[],,
matière,gras,amod,ADJ,0.5428515672683716,"[{""id"": 909483172, ""node1"": 29208, ""node2"": 56362, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
moitié,disque,nmod,NOUN,0.4319483935832977,[],,
déposer,boeuf,obj,NOUN,0.608577311038971,[],,
moitié,tomate,nmod,NOUN,0.6030761003494263,[],,
boeuf,poignée,appos,NOUN,0.6020111441612244,[],,
poignée,roquette,nmod,NOUN,0.4952647686004638,[],,
