head,lemma,dep,pos,sim,relation,relation_name,w
poivre,clou,nmod,NOUN,0.5584654211997986,[],,
clou,poireau,nmod,NOUN,0.5021506547927856,[],,
poireau,carotte,amod,ADJ,0.6094618439674377,"[{""id"": 270426, ""node1"": 130303, ""node2"": 76234, ""type"": 0, ""w"": 72.0}]",r_associated,72.0
clou,boeuf,nmod,NOUN,0.5160360336303711,[],,
boeuf,moelle,nmod,NOUN,0.5600637197494507,[],,
bouquet,garni,amod,ADJ,0.4469667077064514,[],,
couteau,économe,nmod,NOUN,0.5018488168716431,"[{""id"": 9916570, ""node1"": 32610, ""node2"": 14706, ""type"": 0, ""w"": 23.0}, {""id"": 2386429, ""node1"": 32610, ""node2"": 14706, ""type"": 8, ""w"": 76.0}]",r_hypo,76.0
économe,fourchette,nmod,NOUN,0.4867862164974212,[],,
Plat,gratin,nmod,NOUN,0.4779236614704132,[],,
légume,tout,amod,ADJ,0.6585912108421326,[],,
éplucher,légume,obj,NOUN,0.6224160194396973,"[{""id"": 365327, ""node1"": 59879, ""node2"": 120603, ""type"": 0, ""w"": 134.0}, {""id"": 1639137, ""node1"": 59879, ""node2"": 120603, ""type"": 14, ""w"": 100.0}]",r_associated,134.0
morceau,gros,amod,ADJ,0.4822109341621399,[],,
piquer,oignon,obj,NOUN,0.621706485748291,"[{""id"": 24985623, ""node1"": 117557, ""node2"": 123307, ""type"": 13, ""w"": 1.0}]",r_agent,1.0
oignon,entier,amod,ADJ,0.5619508028030396,[],,
clou,girofle,nmod,NOUN,0.4290643036365509,"[{""id"": 9902807, ""node1"": 11651, ""node2"": 43873, ""type"": 0, ""w"": 55.0}, {""id"": 413873, ""node1"": 11651, ""node2"": 43873, ""type"": 8, ""w"": 111.0}]",r_hypo,111.0
bouillir,litre,obj,NOUN,0.5481809973716736,[],,
litre,eau,nmod,NOUN,0.5440258383750916,"[{""id"": 2458362, ""node1"": 57416, ""node2"": 65012, ""type"": 0, ""w"": 84.0}, {""id"": 15759326, ""node1"": 57416, ""node2"": 65012, ""type"": 28, ""w"": 10.0}, {""id"": 720818422, ""node1"": 57416, ""node2"": 65012, ""type"": 174, ""w"": 25.0}, {""id"": 980526881, ""node1"": 57416, ""node2"": 65012, ""type"": 666, ""w"": 3.0}]",r_associated,84.0
faire,ajouter,acl,VERB,0.4615261554718017,[],,
cuire,tout,obj,NOUN,0.7203893661499023,[],,
sel,gros,amod,ADJ,0.6553788781166077,"[{""id"": 188164, ""node1"": 13260, ""node2"": 88096, ""type"": 0, ""w"": 60.0}, {""id"": 645838, ""node1"": 13260, ""node2"": 88096, ""type"": 17, ""w"": 60.0}]",r_carac,60.0
mettre,sel,obj,NOUN,0.6833876967430115,"[{""id"": 513445611, ""node1"": 132366, ""node2"": 13260, ""type"": 0, ""w"": 35.0}, {""id"": 513445610, ""node1"": 132366, ""node2"": 13260, ""type"": 14, ""w"": 100.0}]",r_patient,100.0
mettre,conserver,advcl,VERB,0.4141780138015747,[],,
conserver,moelle,obj,NOUN,0.4608367085456848,[],,
