head,lemma,dep,pos,sim,relation,relation_name,w
pâte,portugaise,nmod,NOUN,0.6501141786575317,[],,
maman,ingrédient,nmod,NOUN,0.5500155091285706,[],,
maman,sel,nmod,NOUN,0.6893094778060913,[],,
poivre,vinaigre,acl,NOUN,0.647547721862793,"[{""id"": 584573829, ""node1"": 139597, ""node2"": 145443, ""type"": 0, ""w"": 22.0}]",r_associated,22.0
vinaigre,fond,nmod,NOUN,0.5925596356391907,[],,
fond,veau,nmod,NOUN,0.571802020072937,"[{""id"": 98303715, ""node1"": 119272, ""node2"": 91311, ""type"": 0, ""w"": 27.0}, {""id"": 98303791, ""node1"": 119272, ""node2"": 91311, ""type"": 9, ""w"": 30.0}]",r_has_part,30.0
maman,feuille,nmod,NOUN,0.4949674904346466,[],,
feuille,laurier,nmod,PROPN,0.4919538497924804,"[{""id"": 15624759, ""node1"": 37993, ""node2"": 114548, ""type"": 0, ""w"": 29.0}, {""id"": 14620301, ""node1"": 37993, ""node2"": 114548, ""type"": 10, ""w"": 36.0}]",r_holo,36.0
feuille,tomate,nmod,NOUN,0.610975444316864,[],,
tomate,poulet,nmod,NOUN,0.6832305192947388,"[{""id"": 421761078, ""node1"": 22138, ""node2"": 146261, ""type"": 0, ""w"": 1.0}]",r_associated,1.0
maman,pomme,nmod,NOUN,0.5490841269493103,[],,
pomme,terre,nmod,NOUN,0.5521974563598633,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]",r_associated,39.0
cube,bouillon,nmod,NOUN,0.5325424075126648,"[{""id"": 98292423, ""node1"": 6041, ""node2"": 146582, ""type"": 0, ""w"": 30.0}]",r_associated,30.0
bouillon,eau,appos,NOUN,0.613039493560791,"[{""id"": 32063698, ""node1"": 146582, ""node2"": 65012, ""type"": 0, ""w"": 33.0}, {""id"": 418498335, ""node1"": 146582, ""node2"": 65012, ""type"": 3, ""w"": 31.0}, {""id"": 32061929, ""node1"": 146582, ""node2"": 65012, ""type"": 9, ""w"": 53.0}]",r_has_part,53.0
eau,huile,amod,NOUN,0.5924809575080872,"[{""id"": 922137128, ""node1"": 65012, ""node2"": 141971, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
couteau,économe,nmod,NOUN,0.5050743818283081,"[{""id"": 9916570, ""node1"": 32610, ""node2"": 14706, ""type"": 0, ""w"": 23.0}, {""id"": 2386429, ""node1"": 32610, ""node2"": 14706, ""type"": 8, ""w"": 76.0}]",r_hypo,76.0
économe,set,nmod,NOUN,0.401425302028656,[],,
économe,poêle,nmod,NOUN,0.6099357008934021,[],,
top,cuillère,nmod,NOUN,0.4438580274581909,[],,
cuillère,bois,nmod,NOUN,0.5890449285507202,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,commencer,acl,VERB,0.5689007043838501,[],,
maman,enlever,acl,VERB,0.4702620506286621,[],,
enlever,peau,obj,NOUN,0.4956804513931274,"[{""id"": 15076500, ""node1"": 82345, ""node2"": 109785, ""type"": 14, ""w"": 30.0}]",r_patient,30.0
peau,poulet,nmod,NOUN,0.5963534116744995,"[{""id"": 796711876, ""node1"": 109785, ""node2"": 146261, ""type"": 0, ""w"": 30.0}, {""id"": 10010854, ""node1"": 109785, ""node2"": 146261, ""type"": 10, ""w"": 4.0}]",r_associated,30.0
couper,carotte,obj,NOUN,0.5709592700004578,"[{""id"": 93436614, ""node1"": 128828, ""node2"": 76234, ""type"": 14, ""w"": 32.0}]",r_patient,32.0
carotte,rondelle,appos,NOUN,0.5515904426574707,"[{""id"": 915206997, ""node1"": 76234, ""node2"": 71106, ""type"": 0, ""w"": 20.0}, {""id"": 31838017, ""node1"": 76234, ""node2"": 71106, ""type"": 58, ""w"": 66.0}]",r_quantificateur,66.0
pomme,cube,appos,NOUN,0.5758985877037048,[],,
revenir,oignon,obj,NOUN,0.612179696559906,"[{""id"": 31815154, ""node1"": 59241, ""node2"": 123307, ""type"": 14, ""w"": 56.0}]",r_patient,56.0
soupe,huile,nmod,NOUN,0.675014078617096,"[{""id"": 3346889, ""node1"": 117152, ""node2"": 141971, ""type"": 777, ""w"": 9.0}]",r_wiki,9.0
huile,olive,nmod,NOUN,0.573360800743103,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]",r_associated,441.0
soupe,feuille,nmod,NOUN,0.6648619771003723,[],,
soupe,laisser,acl,VERB,0.6755576729774475,[],,
laisser,ajouter,advcl,VERB,0.4205793142318725,[],,
ajouter,eau,obj,NOUN,0.5730634927749634,[],,
tomate,mixer,acl,VERB,0.6588755249977112,"[{""id"": 758065753, ""node1"": 22138, ""node2"": 12170, ""type"": 24, ""w"": 30.0}]",r_agent-1,30.0
laisser,cube,nsubj,NOUN,0.5032270550727844,[],,
cube,volaille,nmod,NOUN,0.5618992447853088,[],,
cube,sel,appos,NOUN,0.6593422889709473,"[{""id"": 4242755, ""node1"": 6041, ""node2"": 13260, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
piment,doux,amod,ADJ,0.5599900484085083,"[{""id"": 2160983, ""node1"": 128791, ""node2"": 74183, ""type"": 0, ""w"": 42.0}, {""id"": 96712636, ""node1"": 128791, ""node2"": 74183, ""type"": 17, ""w"": 29.0}]",r_associated,42.0
mijoter,doux,amod,ADJ,0.5626534819602966,[],,
ajouter,poulet,obj,NOUN,0.6545279026031494,[],,
ajouter,carotte,obj,NOUN,0.5993120074272156,[],,
feu,moyen,amod,ADJ,0.5622571110725403,[],,
cuire,minute,obj,NOUN,0.7055090665817261,[],,
eau,nécessaire,amod,ADJ,0.5616127252578735,[],,
ajouter,pâte,obj,NOUN,0.6554753184318542,[],,
