head,lemma,dep,pos,sim,relation,relation_name,w
titre,salade,appos,NOUN,0.5926524996757507,[],,
salade,ingrédient,nmod,NOUN,0.7127874493598938,[],,
salade,jambon,nmod,NOUN,0.6796677708625793,[],,
salade,bon,nmod,NOUN,0.5845251679420471,"[{""id"": 97758242, ""node1"": 118908, ""node2"": 144229, ""type"": 17, ""w"": 24.0}]",r_carac,24.0
conservation,nitrite,nmod,NOUN,0.437976598739624,[],,
nitrite,sel,nmod,NOUN,0.6339902877807617,"[{""id"": 370061441, ""node1"": 89406, ""node2"": 13260, ""type"": 0, ""w"": 28.0}, {""id"": 82476643, ""node1"": 89406, ""node2"": 13260, ""type"": 6, ""w"": 93.0}, {""id"": 499164437, ""node1"": 89406, ""node2"": 13260, ""type"": 35, ""w"": 28.0}]",r_isa,93.0
nitrite,réduit,amod,ADJ,0.4261746406555176,[],,
bille,pignon,nmod,NOUN,0.4421055614948272,[],,
pignon,huile,acl,NOUN,0.5422000885009766,"[{""id"": 6632396, ""node1"": 145454, ""node2"": 141971, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
pignon,velours,nmod,NOUN,0.4452749490737915,[],,
velours,vinaigre,nmod,NOUN,0.5853322148323059,[],,
vinaigre,balsamique,amod,ADJ,0.5980404615402222,"[{""id"": 2132353, ""node1"": 145443, ""node2"": 37458, ""type"": 0, ""w"": 166.0}, {""id"": 1928285, ""node1"": 145443, ""node2"": 37458, ""type"": 666, ""w"": 1.0}]",r_associated,166.0
vinaigre,sel,nmod,NOUN,0.683134913444519,"[{""id"": 2147403, ""node1"": 145443, ""node2"": 13260, ""type"": 0, ""w"": 80.0}]",r_associated,80.0
saladier,planche,nmod,NOUN,0.5950928330421448,[],,
planche,étape,nmod,NOUN,0.418302059173584,[],,
laisser,égoutter,advcl,VERB,0.4538509249687195,[],,
couper,tomate,obj,NOUN,0.6290057301521301,"[{""id"": 628044027, ""node1"": 128828, ""node2"": 22138, ""type"": 0, ""w"": 27.0}, {""id"": 628044026, ""node1"": 128828, ""node2"": 22138, ""type"": 14, ""w"": 100.0}]",r_patient,100.0
tomate,cerise,acl,VERB,0.5635725259780884,"[{""id"": 400423, ""node1"": 22138, ""node2"": 49073, ""type"": 0, ""w"": 84.0}, {""id"": 1029365094, ""node1"": 22138, ""node2"": 49073, ""type"": 67, ""w"": 34.0}]",r_associated,84.0
couper,bille,obj,NOUN,0.4926587343215942,[],,
bille,mozzarella,nmod,PRON,0.4835948348045349,[],,
mozzarella,deux,nmod,PRON,0.4033833146095276,[],,
bouquet,basilic,nmod,NOUN,0.5495151877403259,[],,
bouquet,découper,acl,NOUN,0.5164911150932312,[],,
couper,jambon,obj,NOUN,0.6028013229370117,"[{""id"": 31770885, ""node1"": 128828, ""node2"": 57980, ""type"": 14, ""w"": 30.0}]",r_patient,30.0
nitrite,réduire,acl,VERB,0.4665715098381042,[],,
verser,huile,obj,NOUN,0.6115446090698242,"[{""id"": 227659, ""node1"": 104506, ""node2"": 141971, ""type"": 14, ""w"": 57.0}, {""id"": 645787360, ""node1"": 104506, ""node2"": 141971, ""type"": 666, ""w"": 2.0}]",r_patient,57.0
huile,olive,nmod,NOUN,0.577674388885498,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]",r_associated,441.0
verser,saler,obj,VERB,0.5635568499565125,[],,
verser,ajouter,advcl,VERB,0.4542763829231262,"[{""id"": 12293758, ""node1"": 104506, ""node2"": 25099, ""type"": 0, ""w"": 67.0}, {""id"": 582612, ""node1"": 104506, ""node2"": 25099, ""type"": 5, ""w"": 86.0}, {""id"": 495005859, ""node1"": 104506, ""node2"": 25099, ""type"": 35, ""w"": 62.0}, {""id"": 213486817, ""node1"": 104506, ""node2"": 25099, ""type"": 57, ""w"": 31.0}]",r_syn,86.0
ajouter,pignon,obj,NOUN,0.4436821043491363,[],,
