head,lemma,dep,pos,sim,relations,relation_name,w
sucre,pain,nmod,NOUN,0.7169201970100403,"[{""id"": 193581, ""node1"": 139481, ""node2"": 61283, ""type"": 0, ""w"": 53.0}]",r_associated,53.0
pain,seigle,nmod,NOUN,0.613412618637085,"[{""id"": 125156, ""node1"": 61283, ""node2"": 33914, ""type"": 0, ""w"": 54.0}, {""id"": 238488, ""node1"": 61283, ""node2"": 33914, ""type"": 28, ""w"": 89.0}, {""id"": 25778961, ""node1"": 61283, ""node2"": 33914, ""type"": 50, ""w"": 51.0}]",r_lieu-1,89.0
sucre,chou,nmod,NOUN,0.6892342567443848,[],,
chou,rouge,amod,VERB,0.5560259819030762,"[{""id"": 8814016, ""node1"": 67203, ""node2"": 86356, ""type"": 106, ""w"": 1.0}]",r_has_color,1.0
balance,cuisine,nmod,NOUN,0.5991910099983215,[],,
balance,four,nmod,NOUN,0.6809696555137634,[],,
four,cuillère,nmod,NOUN,0.7153509855270386,[],,
cuillère,soupe,acl,NOUN,0.6452588438987732,"[{""id"": 139567, ""node1"": 51905, ""node2"": 117152, ""type"": 0, ""w"": 288.0}, {""id"": 960354064, ""node1"": 51905, ""node2"": 117152, ""type"": 82, ""w"": 33.0}, {""id"": 1912589, ""node1"": 51905, ""node2"": 117152, ""type"": 666, ""w"": 6.0}]",r_associated,288.0
cuillère,saladier,appos,NOUN,0.6106023788452148,"[{""id"": 920094994, ""node1"": 51905, ""node2"": 45455, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
saladier,étape,nmod,NOUN,0.5214974880218506,[],,
saladier,chou,obj,NOUN,0.6254540085792542,[],,
placer,ingrédient,obj,NOUN,0.5887980461120605,[],,
ingrédient,saladier,nmod,NOUN,0.6509284973144531,[],,
ajouter,mayonnaise,obj,NOUN,0.55241459608078,[],,
mélanger,tout,obj,NOUN,0.528428852558136,"[{""id"": 166642, ""node1"": 37151, ""node2"": 136232, ""type"": 14, ""w"": 110.0}]",r_patient,110.0
tranche,pain,nmod,NOUN,0.6442368030548096,"[{""id"": 240074, ""node1"": 143123, ""node2"": 61283, ""type"": 0, ""w"": 221.0}, {""id"": 97833247, ""node1"": 143123, ""node2"": 61283, ""type"": 3, ""w"": 10.0}, {""id"": 9992595, ""node1"": 143123, ""node2"": 61283, ""type"": 10, ""w"": 4.0}, {""id"": 97327248, ""node1"": 143123, ""node2"": 61283, ""type"": 35, ""w"": 30.0}, {""id"": 775213283, ""node1"": 143123, ""node2"": 61283, ""type"": 174, ""w"": 25.0}]",r_associated,221.0
tranche,étaler,acl,VERB,0.4526293873786926,[],,
étaler,cuillère,obj,NOUN,0.5223398208618164,[],,
cuillère,préparation,nmod,NOUN,0.6044019460678101,"[{""id"": 662513350, ""node1"": 51905, ""node2"": 33634, ""type"": 0, ""w"": 27.0}]",r_associated,27.0
disposer,tranche,obj,NOUN,0.4626000821590423,[],,
couche,généreux,amod,ADJ,0.4445074498653412,[],,
recouvrir,chou,obj,NOUN,0.5850204825401306,[],,
tranche,autre,amod,ADJ,0.4566991627216339,[],,
tranche,fromage,nmod,NOUN,0.6097967624664307,"[{""id"": 720818623, ""node1"": 143123, ""node2"": 141687, ""type"": 174, ""w"": 25.0}]",r_quantificateur-1,25.0
tranche,second,amod,ADJ,0.411365270614624,[],,
peu,sauce,nmod,NOUN,0.615455150604248,[],,
cuire,sandwich,obj,NOUN,0.759497344493866,[],,
four,c,nmod,NOUN,0.4225132167339325,[],,
fois,griller,amod,VERB,0.5131102800369263,[],,
servez,chaud,amod,ADJ,0.5323237776756287,[],,
servez,accompagner,acl,VERB,0.4250945448875427,[],,
servez,convenance,nmod,NOUN,0.448109894990921,[],,
