head,lemma,dep,pos,sim,relations,relation_name,w
apéro,ingrédient,nmod,NOUN,0.5529650449752808,[],,
apéro,piment,nmod,NOUN,0.610396146774292,[],,
apéro,ail,nmod,ADP,0.5894752144813538,[],,
apéro,semoule,nmod,NOUN,0.6331405639648438,[],,
titre,coriandre,nmod,NOUN,0.5300296545028687,[],,
coriandre,fumé,appos,ADJ,0.5553816556930542,[],,
oeuf,huile,amod,NOUN,0.6085584163665771,[],,
titre,fouet,nmod,NOUN,0.4517392218112945,[],,
fouet,cuisine,nmod,NOUN,0.6215970516204834,"[{""id"": 2421862, ""node1"": 73888, ""node2"": 16033, ""type"": 0, ""w"": 305.0}, {""id"": 452879, ""node1"": 73888, ""node2"": 16033, ""type"": 3, ""w"": 265.0}, {""id"": 72783259, ""node1"": 73888, ""node2"": 16033, ""type"": 15, ""w"": 38.0}, {""id"": 1019771975, ""node1"": 73888, ""node2"": 16033, ""type"": 17, ""w"": -5.0}]",r_associated,305.0
fouet,étape,nmod,NOUN,0.4946097731590271,[],,
fouet,battre,acl,VERB,0.4700399339199066,"[{""id"": 1651351, ""node1"": 73888, ""node2"": 119162, ""type"": 0, ""w"": 85.0}, {""id"": 376731, ""node1"": 73888, ""node2"": 119162, ""type"": 25, ""w"": 160.0}]",r_instr-1,160.0
fouet,œuf,nmod,NOUN,0.5549399852752686,[],,
fouet,omelette,nmod,NOUN,0.597308337688446,[],,
épice,tout,amod,ADJ,0.6792278289794922,[],,
ajouter,épice,obj,NOUN,0.6555647850036621,[],,
suffire,saumon,nsubj,NOUN,0.5785822868347168,[],,
saumon,fumé,amod,ADJ,0.5537497997283936,"[{""id"": 156540, ""node1"": 3361, ""node2"": 23335, ""type"": 0, ""w"": 122.0}, {""id"": 14803107, ""node1"": 3361, ""node2"": 23335, ""type"": 17, ""w"": 22.0}, {""id"": 3189320, ""node1"": 3361, ""node2"": 23335, ""type"": 106, ""w"": -11.0}, {""id"": 502202500, ""node1"": 3361, ""node2"": 23335, ""type"": 666, ""w"": 9.0}]",r_associated,122.0
saumon,couper,acl,VERB,0.6225590705871582,[],,
morceau,petit,amod,ADJ,0.542499840259552,"[{""id"": 558707704, ""node1"": 65364, ""node2"": 55222, ""type"": 0, ""w"": 27.0}]",r_associated,27.0
saumon,morceau,nmod,NOUN,0.6526868343353271,[],,
morceau,écraser,acl,VERB,0.5331356525421143,[],,
trou,petit,amod,ADJ,0.4532713592052459,"[{""id"": 276277, ""node1"": 115865, ""node2"": 55222, ""type"": 17, ""w"": 60.0}]",r_carac,60.0
faire,trou,obj,NOUN,0.4763500690460205,[],,
sachet,chips,nmod,NOUN,0.560261070728302,"[{""id"": 639100345, ""node1"": 112386, ""node2"": 50760, ""type"": 28, ""w"": 30.0}]",r_lieu-1,30.0
chauffer,huile,obj,NOUN,0.64256751537323,[],,
cuire,min,obj,NOUN,0.5212259888648987,[],,
