head,lemma,dep,pos,sim,relations,relation_name,w
recette,tunisien,amod,ADJ,0.5555718541145325,[],,
oignon,viande,amod,NOUN,0.7457414865493774,[],,
viande,haché,amod,ADJ,0.6638813018798828,[],,
oignon,oeuf,acl,NOUN,0.5911890864372253,[],,
oeuf,coriandre,nmod,NOUN,0.5967554450035095,[],,
poivre,sel,nmod,NOUN,0.6705341935157776,"[{""id"": 12368540, ""node1"": 139597, ""node2"": 13260, ""type"": 0, ""w"": 52.0}, {""id"": 1074615768, ""node1"": 139597, ""node2"": 13260, ""type"": 6, ""w"": -25.0}, {""id"": 1046576040, ""node1"": 139597, ""node2"": 13260, ""type"": 8, ""w"": 20.0}, {""id"": 288425680, ""node1"": 139597, ""node2"": 13260, ""type"": 35, ""w"": 51.0}, {""id"": 770758757, ""node1"": 139597, ""node2"": 13260, ""type"": 75, ""w"": 27.0}]",r_associated,52.0
coriandre,rose,amod,ADJ,0.536527156829834,[],,
rose,menthe,acl,VERB,0.5064586997032166,[],,
sel,curcuma,nmod,NOUN,0.6907896399497986,[],,
eau,saladier,appos,NOUN,0.6073445677757263,[],,
eau,étape,nmod,NOUN,0.5415300130844116,[],,
servir,menthe,acl,NOUN,0.6067439317703247,[],,
menthe,coriandre,obj,NOUN,0.5679901242256165,"[{""id"": 915278442, ""node1"": 97057, ""node2"": 61977, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
mélanger,viande,nsubj,NOUN,0.756519615650177,[],,
riz,croire,acl,VERB,0.6607421040534973,[],,
épice,sec,amod,ADJ,0.6080707907676697,[],,
mélanger,tout,obj,NOUN,0.528428852558136,"[{""id"": 166642, ""node1"": 37151, ""node2"": 136232, ""type"": 14, ""w"": 110.0}]",r_patient,110.0
mélanger,sensuel,advcl,ADJ,0.4664166867733001,[],,
minute,bon,amod,ADJ,0.4657595455646515,[],,
répartir,mélange,nsubj:pass,NOUN,0.4992000162601471,[],,
boulette,petit,amod,ADJ,0.5594663023948669,[],,
faire,boulette,obj,NOUN,0.5644155740737915,[],,
boulette,taille,nmod,NOUN,0.487562358379364,[],,
taille,œuf,nmod,NOUN,0.5362281203269958,[],,
blanchir,feuille,obj,NOUN,0.5400146245956421,[],,
feuille,romaine,nmod,NOUN,0.4631517827510834,[],,
blanchir,sortir,advcl,VERB,0.4467407166957855,[],,
récipient,eau,nmod,NOUN,0.5839147567749023,[],,
eau,glacé,acl,ADJ,0.5650184154510498,"[{""id"": 1012291986, ""node1"": 65012, ""node2"": 39487, ""type"": 0, ""w"": 26.0}, {""id"": 243006, ""node1"": 65012, ""node2"": 39487, ""type"": 17, ""w"": 70.0}]",r_carac,70.0
tremper,conserver,advcl,VERB,0.5201799869537354,[],,
conserver,égoutter,obj,VERB,0.4763573110103607,[],,
mettre,boulette,obj,NOUN,0.542654275894165,[],,
rouler,entourer,advcl,VERB,0.4256935715675354,[],,
entourer,boulette,obj,NOUN,0.5094609260559082,[],,
mettre,préparation,obj,NOUN,0.5001351833343506,[],,
préparation,sauce,nmod,NOUN,0.6986916661262512,"[{""id"": 9903071, ""node1"": 33634, ""node2"": 141110, ""type"": 0, ""w"": 54.0}, {""id"": 422811, ""node1"": 33634, ""node2"": 141110, ""type"": 8, ""w"": 63.0}]",r_hypo,63.0
sauce,cuisson,nmod,NOUN,0.7991010546684265,"[{""id"": 651237398, ""node1"": 141110, ""node2"": 60056, ""type"": 0, ""w"": 26.0}]",r_associated,26.0
mettre,huile,obj,NOUN,0.6046144962310791,"[{""id"": 392082685, ""node1"": 132366, ""node2"": 141971, ""type"": 0, ""w"": 27.0}, {""id"": 392082684, ""node1"": 132366, ""node2"": 141971, ""type"": 14, ""w"": 100.0}]",r_patient,100.0
bouillon,petit,amod,ADJ,0.6280714869499207,[],,
porter,déposer,advcl,VERB,0.400465726852417,"[{""id"": 85366603, ""node1"": 43404, ""node2"": 35714, ""type"": 7, ""w"": 30.0}]",r_anto,30.0
laisser,mijoter,obj,VERB,0.5789923667907715,[],,
mijoter,min,obj,NOUN,0.4553591310977936,[],,
feu,doux,amod,ADJ,0.5496628284454346,[],,
