head,lemma,dep,pos,sim,relation,relation_name,w
mettre,titre,nsubj,NOUN,0.4057502150535583,[],,
titre,glace,nmod,NOUN,0.5293558239936829,[],,
glace,italien,amod,ADJ,0.5232785940170288,"[{""id"": 796681558, ""node1"": 141964, ""node2"": 103658, ""type"": 0, ""w"": 26.0}]",r_associated,26.0
glace,ingrédient,nmod,NOUN,0.6449928283691406,[],,
glace,fruit,appos,NOUN,0.578676700592041,"[{""id"": 653703117, ""node1"": 141964, ""node2"": 87286, ""type"": 666, ""w"": 4.0}, {""id"": 440833911, ""node1"": 141964, ""node2"": 87286, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
fruit,lait,nmod,NOUN,0.596720814704895,"[{""id"": 386072935, ""node1"": 87286, ""node2"": 86296, ""type"": 8, ""w"": -25.0}]",r_hypo,-25.0
crème,frais,amod,ADJ,0.5796430110931396,[],,
crème,épais,amod,ADJ,0.5873329043388367,[],,
mixeur,cuillère,nmod,NOUN,0.5916650295257568,[],,
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,lot,nmod,NOUN,0.4161222875118255,[],,
cuillère,étape,nmod,NOUN,0.4685819745063782,[],,
mettre,fruit,obj,NOUN,0.5133665204048157,[],,
fruit,congeler,acl,VERB,0.561835527420044,"[{""id"": 1045718992, ""node1"": 87286, ""node2"": 54684, ""type"": 24, ""w"": 85.0}]",r_agent-1,85.0
concentrer,lait,nsubj,NOUN,0.5701926946640015,[],,
concentrer,crème,obj,NOUN,0.5970985889434814,[],,
poudre,cuillère,nmod,NOUN,0.6090611219406128,"[{""id"": 765218102, ""node1"": 139470, ""node2"": 51905, ""type"": 58, ""w"": 30.0}]",r_quantificateur,30.0
poudre,soupe,nmod,NOUN,0.6809915900230408,[],,
mettre,tout,obj,NOUN,0.4651019871234894,[],,
ouvrir,mixeur,obj,NOUN,0.5248869061470032,[],,
ouvrir,remuer,advcl,VERB,0.455957680940628,[],,
mettre,froid,advcl,ADJ,0.5086445212364197,[],,
avoir,crème,obj,NOUN,0.5765222907066345,[],,
crème,glacé,amod,ADJ,0.5768504738807678,"[{""id"": 14803746, ""node1"": 44001, ""node2"": 39487, ""type"": 17, ""w"": 28.0}]",r_carac,28.0
mettre,disposer,acl,VERB,0.4183040559291839,"[{""id"": 930323, ""node1"": 132366, ""node2"": 116780, ""type"": 0, ""w"": 93.0}, {""id"": 53610572, ""node1"": 132366, ""node2"": 116780, ""type"": 5, ""w"": 222.0}, {""id"": 1642751, ""node1"": 132366, ""node2"": 116780, ""type"": 35, ""w"": 90.0}, {""id"": 645788261, ""node1"": 132366, ""node2"": 116780, ""type"": 666, ""w"": 2.0}]",r_syn,222.0
