head,lemma,dep,pos,sim,relations,relation_name,w
type,gâteau,nmod,NOUN,0.5852004289627075,[],,
gâteau,riz,nmod,NOUN,0.6984783411026001,"[{""id"": 99071052, ""node1"": 2149, ""node2"": 24372, ""type"": 0, ""w"": 34.0}]",r_associated,34.0
type,cuire,amod,VERB,0.7263713479042053,[],,
four,originaire,amod,ADJ,0.6594129204750061,[],,
four,Philippines,nmod,PROPN,0.6417586803436279,[],,
déjeuner,petit,amod,ADJ,0.5158843398094177,"[{""id"": 12233362, ""node1"": 78845, ""node2"": 55222, ""type"": 0, ""w"": 34.0}, {""id"": 706705, ""node1"": 78845, ""node2"": 55222, ""type"": 5, ""w"": 27.0}]",r_associated,34.0
cuire,il,nsubj:pass,PRON,0.4075803458690643,[],,
pot,argile,nmod,NOUN,0.5396074652671814,"[{""id"": 473696543, ""node1"": 142367, ""node2"": 44059, ""type"": 0, ""w"": 26.0}]",r_associated,26.0
argile,garni,amod,ADJ,0.5248754620552063,[],,
pot,feuille,nmod,NOUN,0.520270586013794,[],,
cuisine,philippin,amod,ADJ,0.5385200381278992,"[{""id"": 942250798, ""node1"": 16033, ""node2"": 251, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
connaître,méthode,nsubj:pass,NOUN,0.4617364406585693,[],,
méthode,traditionnel,amod,ADJ,0.5143589973449707,[],,
méthode,préparation,nmod,NOUN,0.5274912714958191,[],,
préparation,riz,nmod,NOUN,0.6703696846961975,[],,
farine,riz,nmod,ADV,0.6880448460578918,"[{""id"": 423997352, ""node1"": 127629, ""node2"": 24372, ""type"": 0, ""w"": 1.0}]",r_associated,1.0
tradition,propre,amod,ADJ,0.483128011226654,[],,
plupart,dessert,nmod,NOUN,0.5471648573875427,[],,
dessert,riz,nmod,NOUN,0.6888411045074463,[],,
dessert,philippin,amod,NOUN,0.488312304019928,[],,
cuisine,autre,amod,ADJ,0.6330939531326294,[],,
cuisine,asiatique,amod,ADJ,0.6099880337715149,"[{""id"": 796690126, ""node1"": 16033, ""node2"": 33394, ""type"": 0, ""w"": 28.0}, {""id"": 1035594833, ""node1"": 16033, ""node2"": 33394, ""type"": 13, ""w"": -6.0}, {""id"": 14804006, ""node1"": 16033, ""node2"": 33394, ""type"": 17, ""w"": 45.0}]",r_carac,45.0
préparer,riz,nsubj:pass,NOUN,0.672632098197937,"[{""id"": 372620650, ""node1"": 36246, ""node2"": 24372, ""type"": 14, ""w"": 31.0}]",r_patient,31.0
nuit,tout,amod,ADJ,0.4833784401416778,[],,
tremper,nuit,obj,NOUN,0.4987476766109466,[],,
levure,sauvage,amod,ADJ,0.5798611044883728,[],,
levure,appeler,acl,VERB,0.5208551287651062,[],,
vin,palme,nmod,NOUN,0.6102507710456848,[],,
pâte,épais,amod,ADJ,0.6270112991333008,"[{""id"": 96931429, ""node1"": 34069, ""node2"": 55342, ""type"": 17, ""w"": 23.0}]",r_carac,23.0
pâte,aide,nmod,NOUN,0.6172899007797241,[],,
aide,moulin,nmod,NOUN,0.4958486258983612,[],,
moulin,pierre,nmod,NOUN,0.5176604986190796,"[{""id"": 426593, ""node1"": 21988, ""node2"": 25008, ""type"": 28, ""w"": 79.0}]",r_lieu-1,79.0
donne,acide,obj,NOUN,0.4722304046154022,[],,
acide,caractéristique,amod,ADJ,0.4496725797653198,[],,
acide,gâteau,nmod,NOUN,0.6224703788757324,[],,
riz,traditionnel,amod,ADJ,0.6473575234413147,[],,
gâteau,philippin,amod,ADJ,0.5349534153938293,[],,
procédé,même,amod,ADJ,0.4551932513713836,[],,
donne,procédé,nsubj,NOUN,0.4122468829154968,[],,
procédé,prolonger,advcl,VERB,0.4453449845314026,[],,
vin,riz,nmod,ADV,0.6970666646957397,[],,
donne,terme,obj,NOUN,0.4135755896568298,[],,
gâteau,cuire,acl,VERB,0.771659255027771,"[{""id"": 613884893, ""node1"": 2149, ""node2"": 5115, ""type"": 0, ""w"": 26.0}, {""id"": 99071062, ""node1"": 2149, ""node2"": 5115, ""type"": 24, ""w"": 100.0}, {""id"": 15072745, ""node1"": 2149, ""node2"": 5115, ""type"": 26, ""w"": 100.0}, {""id"": 249042, ""node1"": 2149, ""node2"": 5115, ""type"": 30, ""w"": 60.0}, {""id"": 96714837, ""node1"": 2149, ""node2"": 5115, ""type"": 38, ""w"": 24.0}, {""id"": 885419454, ""node1"": 2149, ""node2"": 5115, ""type"": 63, ""w"": 28.0}]",r_agent-1,100.0
manière,même,amod,ADJ,0.430447369813919,[],,
gâteau,manière,nmod,NOUN,0.6223897933959961,[],,
manière,terme,nmod,NOUN,0.4340450465679168,[],,
terme,gâteau,nmod,NOUN,0.5900954008102417,[],,
vapeur,base,nmod,NOUN,0.6019216179847717,[],,
étendre,terme,nsubj,NOUN,0.4069624543190002,[],,
gâteau,autre,amod,ADJ,0.6130278706550598,[],,
gâteau,indigène,amod,ADJ,0.6006755232810974,[],,
gâteau,faire,acl,VERB,0.6415780782699585,[],,
type,autre,amod,ADJ,0.4527036845684051,[],,
type,farine,nmod,NOUN,0.6399734616279602,"[{""id"": 54702298, ""node1"": 15235, ""node2"": 127629, ""type"": 0, ""w"": 21.0}, {""id"": 54653044, ""node1"": 15235, ""node2"": 127629, ""type"": 5, ""w"": -49.0}]",r_associated,21.0
farine,maïs,nmod,ADV,0.6313681602478027,"[{""id"": 114506, ""node1"": 127629, ""node2"": 139790, ""type"": 0, ""w"": 61.0}]",r_associated,61.0
gâteau,farine,nmod,NOUN,0.7226620316505432,"[{""id"": 195122, ""node1"": 2149, ""node2"": 127629, ""type"": 0, ""w"": 127.0}, {""id"": 2178051, ""node1"": 2149, ""node2"": 127629, ""type"": 9, ""w"": 88.0}, {""id"": 432202, ""node1"": 2149, ""node2"": 127629, ""type"": 21, ""w"": 70.0}, {""id"": 264028, ""node1"": 2149, ""node2"": 127629, ""type"": 28, ""w"": 188.0}, {""id"": 2170343, ""node1"": 2149, ""node2"": 127629, ""type"": 50, ""w"": 91.0}, {""id"": 960454001, ""node1"": 2149, ""node2"": 127629, ""type"": 129, ""w"": 31.0}, {""id"": 1019098006, ""node1"": 2149, ""node2"": 127629, ""type"": 155, ""w"": -25.0}, {""id"": 677891667, ""node1"": 2149, ""node2"": 127629, ""type"": 666, ""w"": 4.0}]",r_lieu-1,188.0
farine,manioc,nmod,NOUN,0.6300441026687622,"[{""id"": 796713007, ""node1"": 127629, ""node2"": 67691, ""type"": 0, ""w"": 22.0}]",r_associated,22.0
farine,blé,nmod,NOUN,0.577633798122406,"[{""id"": 114505, ""node1"": 127629, ""node2"": 32071, ""type"": 0, ""w"": 517.0}, {""id"": 53553413, ""node1"": 127629, ""node2"": 32071, ""type"": 5, ""w"": 71.0}, {""id"": 9855371, ""node1"": 127629, ""node2"": 32071, ""type"": 8, ""w"": 62.0}, {""id"": 102179, ""node1"": 127629, ""node2"": 32071, ""type"": 9, ""w"": 60.0}, {""id"": 120516, ""node1"": 127629, ""node2"": 32071, ""type"": 15, ""w"": -55.0}, {""id"": 390928, ""node1"": 127629, ""node2"": 32071, ""type"": 21, ""w"": 53.0}, {""id"": 11335596, ""node1"": 127629, ""node2"": 32071, ""type"": 28, ""w"": 38.0}, {""id"": 24260246, ""node1"": 127629, ""node2"": 32071, ""type"": 35, ""w"": 125.0}, {""id"": 14674202, ""node1"": 127629, ""node2"": 32071, ""type"": 42, ""w"": 31.0}, {""id"": 1798400, ""node1"": 127629, ""node2"": 32071, ""type"": 666, ""w"": 3.0}]",r_associated,517.0
plat,part,nmod,NOUN,0.6221376061439514,[],,
origine,commun,amod,ADJ,0.4243979752063751,[],,
gâteau,reconnaître,acl,VERB,0.5968267321586609,[],,
Indonésie,culture,nmod,NOUN,0.4262112379074096,"[{""id"": 1019319442, ""node1"": 122529, ""node2"": 22885, ""type"": 0, ""w"": 26.0}]",r_associated,26.0
différent,dessert,nsubj,NOUN,0.5555417537689209,[],,
sorte,dessert,nsubj,NOUN,0.6070221066474915,[],,
noix,coco,nmod,VERB,0.5649088025093079,"[{""id"": 1924690, ""node1"": 30910, ""node2"": 145904, ""type"": 0, ""w"": 55.0}]",r_associated,55.0
noix,semblable,amod,ADJ,0.5592600703239441,[],,
noix,sapin,appos,NOUN,0.5604666471481323,[],,
sapin,philippin,amod,ADJ,0.4052906930446625,[],,
gâteau,simple,amod,ADJ,0.6196854710578918,"[{""id"": 1042421419, ""node1"": 2149, ""node2"": 53269, ""type"": 0, ""w"": 5.0}]",r_associated,5.0
