head,lemma,dep,pos,sim,relations,relation_name,w
donner,référence,obj,NOUN,0.4324645698070526,[],,
concerner,alimentation,obj,NOUN,0.410456508398056,[],,
partager,connaissance,obj,NOUN,0.4124003052711487,"[{""id"": 929699725, ""node1"": 122353, ""node2"": 104243, ""type"": 14, ""w"": 30.0}]",r_patient,30.0
spécialité,culinaire,amod,ADJ,0.5888378620147705,"[{""id"": 477435, ""node1"": 49537, ""node2"": 347, ""type"": 0, ""w"": 32.0}]",r_associated,32.0
spécialité,cuisine,nmod,NOUN,0.6405212879180908,"[{""id"": 477437, ""node1"": 49537, ""node2"": 16033, ""type"": 0, ""w"": 83.0}, {""id"": 473695606, ""node1"": 49537, ""node2"": 16033, ""type"": 3, ""w"": 16.0}, {""id"": 1694092, ""node1"": 49537, ""node2"": 16033, ""type"": 35, ""w"": 80.0}, {""id"": 980188220, ""node1"": 49537, ""node2"": 16033, ""type"": 666, ""w"": 3.0}]",r_associated,83.0
cuisine,chilien,amod,ADJ,0.5529987215995789,[],,
cuisine,traditionnel,amod,ADJ,0.6699821352958679,"[{""id"": 601188829, ""node1"": 16033, ""node2"": 41139, ""type"": 0, ""w"": 29.0}]",r_associated,29.0
boulette,base,nmod,NOUN,0.5701185464859009,[],,
base,pomme,nmod,NOUN,0.6038941740989685,[],,
pomme,terre,nmod,NOUN,0.5521974563598633,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]",r_associated,39.0
pomme,cuire,amod,VERB,0.7674765586853027,"[{""id"": 195277465, ""node1"": 37201, ""node2"": 5115, ""type"": 24, ""w"": 31.0}, {""id"": 96711599, ""node1"": 37201, ""node2"": 5115, ""type"": 26, ""w"": 55.0}]",r_patient-1,55.0
farine,blé,nmod,NOUN,0.577633798122406,"[{""id"": 114505, ""node1"": 127629, ""node2"": 32071, ""type"": 0, ""w"": 517.0}, {""id"": 53553413, ""node1"": 127629, ""node2"": 32071, ""type"": 5, ""w"": 71.0}, {""id"": 9855371, ""node1"": 127629, ""node2"": 32071, ""type"": 8, ""w"": 62.0}, {""id"": 102179, ""node1"": 127629, ""node2"": 32071, ""type"": 9, ""w"": 60.0}, {""id"": 120516, ""node1"": 127629, ""node2"": 32071, ""type"": 15, ""w"": -55.0}, {""id"": 390928, ""node1"": 127629, ""node2"": 32071, ""type"": 21, ""w"": 53.0}, {""id"": 11335596, ""node1"": 127629, ""node2"": 32071, ""type"": 28, ""w"": 38.0}, {""id"": 24260246, ""node1"": 127629, ""node2"": 32071, ""type"": 35, ""w"": 125.0}, {""id"": 14674202, ""node1"": 127629, ""node2"": 32071, ""type"": 42, ""w"": 31.0}, {""id"": 1798400, ""node1"": 127629, ""node2"": 32071, ""type"": 666, ""w"": 3.0}]",r_associated,517.0
version,salé,amod,ADJ,0.6047173738479614,[],,
servir,qui,nsubj,PRON,0.4501188993453979,[],,
version,servir,acl:relcl,VERB,0.5222331285476685,[],,
servir,accompagnement,obj,NOUN,0.5196886658668518,[],,
consommer,qui,nsubj,PRON,0.4473460912704468,[],,
version,consommer,acl:relcl,VERB,0.5232548117637634,[],,
écraser,préparer,advcl,VERB,0.4855184853076935,[],,
ajouter,écraser,advcl,VERB,0.4402543008327484,[],,
écraser,pomme,obj,NOUN,0.5793675184249878,[],,
ajouter,son,obj,PRON,0.4504161775112152,[],,
mélange,farine,nmod,NOUN,0.6843199729919434,[],,
façonner,boulette,obj,NOUN,0.5580167174339294,[],,
boulette,main,nmod,NOUN,0.4588895142078399,[],,
donner,son,iobj,PRON,0.4266093671321869,[],,
façonner,donner,advcl,VERB,0.4304042756557464,[],,
donner,forme,obj,NOUN,0.4503549635410309,[],,
façonner,disposer,advcl,VERB,0.4483391046524048,"[{""id"": 53773274, ""node1"": 3554, ""node2"": 116780, ""type"": 0, ""w"": 21.0}, {""id"": 53566864, ""node1"": 3554, ""node2"": 116780, ""type"": 5, ""w"": 111.0}]",r_syn,111.0
cuire,le,obj,PRON,0.4550628960132599,[],,
disposer,cuire,advcl,VERB,0.696858823299408,[],,
couche,supérieur,amod,ADJ,0.4425831139087677,[],,
plante,appeler,acl,VERB,0.4203484058380127,[],,
donner,qui,nsubj,PRON,0.4009021520614624,[],,
mettre,donner,acl:relcl,VERB,0.41728675365448,"[{""id"": 2484331, ""node1"": 132366, ""node2"": 12941, ""type"": 0, ""w"": 51.0}, {""id"": 342872741, ""node1"": 132366, ""node2"": 12941, ""type"": 5, ""w"": 26.0}]",r_associated,51.0
donner,couleur,obj,NOUN,0.4781306385993957,[],,
aide,branche,nmod,NOUN,0.4164940416812897,[],,
donner,saveur,obj,NOUN,0.5723206996917725,[],,
saveur,amer,amod,ADJ,0.526690661907196,"[{""id"": 34680975, ""node1"": 71872, ""node2"": 97910, ""type"": 0, ""w"": 13.0}, {""id"": 34639952, ""node1"": 71872, ""node2"": 97910, ""type"": 8, ""w"": 32.0}, {""id"": 646189522, ""node1"": 71872, ""node2"": 97910, ""type"": 666, ""w"": 8.0}]",r_hypo,32.0
boulette,contenir,acl:relcl,VERB,0.5377352237701416,[],,
terre,cuire,amod,VERB,0.7479885220527649,[],,
boulette,eau,nmod,NOUN,0.5959216952323914,[],,
eau,sel,nmod,NOUN,0.6686150431632996,"[{""id"": 796707616, ""node1"": 65012, ""node2"": 13260, ""type"": 0, ""w"": 32.0}, {""id"": 2123272, ""node1"": 65012, ""node2"": 13260, ""type"": 28, ""w"": 98.0}, {""id"": 602535234, ""node1"": 65012, ""node2"": 13260, ""type"": 777, ""w"": 10.0}]",r_lieu-1,98.0
servir,accompagner,advcl,VERB,0.4603842794895172,[],,
forme,arrondi,amod,ADJ,0.4087840914726257,[],,
aspect,losange,nmod,NOUN,0.4183230102062225,[],,
