head,lemma,dep,pos,sim,relations,relation_name,w
chocolat,confectionner,acl,VERB,0.6184734106063843,[],,
milieu,siècle,nmod,NOUN,0.40152508020401,[],,
forme,épineux,amod,ADJ,0.4052498638629913,[],,
utiliser,fabrication,nsubj,NOUN,0.4761087894439697,[],,
utiliser,technique,obj,NOUN,0.4531731903553009,"[{""id"": 418468138, ""node1"": 62611, ""node2"": 13701, ""type"": 0, ""w"": 36.0}, {""id"": 418468137, ""node1"": 62611, ""node2"": 13701, ""type"": 3, ""w"": 34.0}]",r_associated,36.0
technique,dire,acl,VERB,0.4504800736904144,"[{""id"": 595880625, ""node1"": 13701, ""node2"": 111342, ""type"": 27, ""w"": 26.0}]",r_domain-1,26.0
cuire,sirop,obj,NOUN,0.7545831799507141,[],,
sirop,sucre,nmod,NOUN,0.6353851556777954,"[{""id"": 217497, ""node1"": 91109, ""node2"": 139481, ""type"": 0, ""w"": 407.0}, {""id"": 415329, ""node1"": 91109, ""node2"": 139481, ""type"": 9, ""w"": 70.0}, {""id"": 1035329517, ""node1"": 91109, ""node2"": 139481, ""type"": 50, ""w"": 31.0}, {""id"": 984864968, ""node1"": 91109, ""node2"": 139481, ""type"": 666, ""w"": 3.0}]",r_associated,407.0
alcool,cerise,amod,NOUN,0.5370776057243347,"[{""id"": 3371110, ""node1"": 47597, ""node2"": 49073, ""type"": 777, ""w"": 1.0}]",r_wiki,1.0
couler,qui,nsubj:pass,PRON,0.4177293181419372,[],,
empreinte,amidon,nmod,NOUN,0.4973993003368377,[],,
enfermement,alcool,nmod,NOUN,0.4323955178260803,[],,
noyau,sucre,nmod,NOUN,0.5940889716148376,[],,
bout,jour,nmod,NOUN,0.442745566368103,[],,
contact,amidon,nmod,NOUN,0.5047488808631897,[],,
couverture,chocolat,nmod,NOUN,0.559340238571167,[],,
coloration,dont,nmod,PRON,0.4593979120254516,[],,
indique,coloration,nsubj,NOUN,0.462357223033905,[],,
indique,type,obj,NOUN,0.4134416580200195,[],,
type,alcool,nmod,NOUN,0.5288571119308472,[],,
vert,chartreuse,nmod,PROPN,0.4406367540359497,"[{""id"": 14789775, ""node1"": 26976, ""node2"": 26711, ""type"": 23, ""w"": 51.0}]",r_carac-1,51.0
rose,framboise,nmod,NOUN,0.4513348639011383,"[{""id"": 561294448, ""node1"": 145583, ""node2"": 12402, ""type"": 0, ""w"": 39.0}, {""id"": 97865713, ""node1"": 145583, ""node2"": 12402, ""type"": 23, ""w"": 26.0}, {""id"": 3188402, ""node1"": 145583, ""node2"": 12402, ""type"": 106, ""w"": 1.0}]",r_associated,39.0
blanc,marc,nmod,NOUN,0.4234966039657593,[],,
surface,grand,amod,ADJ,0.4770038425922394,"[{""id"": 598825808, ""node1"": 45989, ""node2"": 23178, ""type"": 0, ""w"": 40.0}]",r_associated,40.0
pâtisserie,région,nmod,NOUN,0.514580249786377,"[{""id"": 957285067, ""node1"": 25966, ""node2"": 132350, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
reste,France,nmod,PROPN,0.4016335308551788,[],,
proche,dessert,nsubj,NOUN,0.501231849193573,[],,
