head,lemma,dep,pos,sim,relations,relation_name,w
Cookie,cuisine,nmod,NOUN,0.4662712216377258,"[{""id"": 537355041, ""node1"": 10051208, ""node2"": 16033, ""type"": 0, ""w"": 35.0}, {""id"": 537355042, ""node1"": 10051208, ""node2"": 16033, ""type"": 3, ""w"": 21.0}, {""id"": 523336968, ""node1"": 10051208, ""node2"": 16033, ""type"": 35, ""w"": 54.0}, {""id"": 1048244217, ""node1"": 10051208, ""node2"": 16033, ""type"": 666, ""w"": 2.0}]",r_meaning/glose,54.0
biscuit,cookie,nsubj,NOUN,0.4725670516490936,"[{""id"": 362642, ""node1"": 62524, ""node2"": 162248, ""type"": 0, ""w"": 73.0}, {""id"": 9684453, ""node1"": 62524, ""node2"": 162248, ""type"": 8, ""w"": 43.0}, {""id"": 1786067, ""node1"": 62524, ""node2"": 162248, ""type"": 666, ""w"": 3.0}]",r_associated,73.0
cookie,Europe,nmod,PROPN,0.4052050411701202,"[{""id"": 109916648, ""node1"": 162248, ""node2"": 77735, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
cookie,pépite,nmod,NOUN,0.434790551662445,[],,
pépite,chocolat,nmod,NOUN,0.5400311350822449,"[{""id"": 365455, ""node1"": 25082, ""node2"": 34157, ""type"": 0, ""w"": 152.0}, {""id"": 376056261, ""node1"": 25082, ""node2"": 34157, ""type"": 50, ""w"": 35.0}, {""id"": 930408960, ""node1"": 25082, ""node2"": 34157, ""type"": 666, ""w"": 2.0}]",r_associated,152.0
biscuit,petit,amod,ADJ,0.5966821312904358,"[{""id"": 12304513, ""node1"": 62524, ""node2"": 55222, ""type"": 0, ""w"": 33.0}, {""id"": 566987, ""node1"": 62524, ""node2"": 55222, ""type"": 5, ""w"": 28.0}, {""id"": 1806455, ""node1"": 62524, ""node2"": 55222, ""type"": 17, ""w"": 60.0}, {""id"": 1785357, ""node1"": 62524, ""node2"": 55222, ""type"": 666, ""w"": 1.0}]",r_carac,60.0
biscuit,rond,amod,ADJ,0.5363149046897888,"[{""id"": 1789327, ""node1"": 62524, ""node2"": 82147, ""type"": 666, ""w"": 1.0}]",r_aki,1.0
biscuit,traditionnel,amod,ADJ,0.6060938835144043,[],,
biscuit,cuisine,nmod,NOUN,0.7261229157447815,"[{""id"": 15345632, ""node1"": 62524, ""node2"": 16033, ""type"": 0, ""w"": 320.0}, {""id"": 2060852, ""node1"": 62524, ""node2"": 16033, ""type"": 3, ""w"": 320.0}, {""id"": 2745205, ""node1"": 62524, ""node2"": 16033, ""type"": 15, ""w"": 54.0}, {""id"": 980804711, ""node1"": 62524, ""node2"": 16033, ""type"": 666, ""w"": 2.0}]",r_associated,320.0
cuisine,États-Unis,nmod,PROPN,0.5788034200668335,"[{""id"": 428535315, ""node1"": 16033, ""node2"": 31388, ""type"": 0, ""w"": 42.0}, {""id"": 112973867, ""node1"": 16033, ""node2"": 31388, ""type"": 777, ""w"": 9.0}]",r_associated,42.0
venir,mot,nsubj,NOUN,0.4188452363014221,[],,
mot,cookie,appos,VERB,0.4179652333259582,[],,
néerlandais,biscuit,appos,NOUN,0.5259538292884827,[],,
terme,utiliser,acl,VERB,0.417352944612503,"[{""id"": 476541382, ""node1"": 144149, ""node2"": 62611, ""type"": 26, ""w"": 30.0}]",r_patient-1,30.0
désigner,sorte,obj,NOUN,0.4337102472782135,"[{""id"": 729422759, ""node1"": 95874, ""node2"": 37467, ""type"": 9, ""w"": -5.0}]",r_has_part,-5.0
sorte,biscuit,nmod,NOUN,0.6229116320610046,[],,
biscuit,sec,amod,ADJ,0.5213283896446228,"[{""id"": 2015330, ""node1"": 62524, ""node2"": 63619, ""type"": 0, ""w"": 65.0}, {""id"": 1642610, ""node1"": 62524, ""node2"": 63619, ""type"": 17, ""w"": 120.0}, {""id"": 1785442, ""node1"": 62524, ""node2"": 63619, ""type"": 666, ""w"": 4.0}]",r_carac,120.0
cookie,utiliser,advcl,VERB,0.4258916079998016,[],,
utiliser,mot,obj,NOUN,0.4006590247154236,[],,
mot,biscuit,appos,NOUN,0.4808003008365631,[],,
désigner,cookie,nsubj,VERB,0.4036120176315307,[],,
désigner,type,obj,NOUN,0.4152324497699737,[],,
type,biscuit,nmod,NOUN,0.5593932271003723,[],,
pépite,appeler,acl,VERB,0.4053918123245239,[],,
biscuit,autre,amod,ADJ,0.5945318341255188,[],,
biscuit,similaire,amod,ADJ,0.5426400899887085,[],,
biscuit,terme,nsubj,NOUN,0.5652084946632385,[],,
office,langue,nmod,NOUN,0.4333010613918304,[],,
désigner,biscuit,advcl,NOUN,0.5394591689109802,[],,
vendre,type,nsubj:pass,NOUN,0.4349153935909271,[],,
type,gâteau,nmod,NOUN,0.5852004289627075,[],,
unité,pâtisserie,nmod,NOUN,0.4533029496669769,[],,
pâtisserie,épicerie,nmod,NOUN,0.5458289980888367,[],,
surface,grand,amod,ADJ,0.4770038425922394,"[{""id"": 598825808, ""node1"": 45989, ""node2"": 23178, ""type"": 0, ""w"": 40.0}]",r_associated,40.0
différent,cookie,nsubj,NOUN,0.4107591211795807,[],,
cookie,industriel,amod,ADJ,0.4217439889907837,[],,
tendre,faire,advcl,VERB,0.5126022696495056,[],,
tendre,maison,nsubj,NOUN,0.5636879801750183,"[{""id"": 370970, ""node1"": 71211, ""node2"": 45179, ""type"": 31, ""w"": 90.0}]",r_action_lieu,90.0
variété,tout,amod,ADJ,0.5315424799919128,[],,
exister,variété,obj,NOUN,0.421244204044342,[],,
variété,dessert,nmod,NOUN,0.5962926745414734,[],,
variété,crème,appos,NOUN,0.609110951423645,[],,
crème,glacé,amod,ADJ,0.5751900672912598,"[{""id"": 14803746, ""node1"": 44001, ""node2"": 39487, ""type"": 17, ""w"": 28.0}]",r_carac,28.0
avoir,saveur,obj,NOUN,0.5560638904571533,[],,
saveur,cookie,nmod,NOUN,0.5558957457542419,[],,
cookie,mentionner,acl,VERB,0.4062350988388061,[],,
commercialiser,pâte,obj,NOUN,0.624876856803894,[],,
cookie,prêt,acl,ADJ,0.4669263660907745,[],,
forme,préparation,nmod,NOUN,0.5072026252746582,"[{""id"": 1305469, ""node1"": 142000, ""node2"": 33634, ""type"": 0, ""w"": 30.0}]",r_associated,30.0
préparation,poudre,nmod,NOUN,0.6129447817802429,[],,
cookie,premier,amod,ADJ,0.4205294251441955,[],,
difficile,cookie,nsubj,NOUN,0.4100113213062286,[],,
trace,premier,amod,ADJ,0.4163696765899658,[],,
gâteau,petit,amod,ADJ,0.605536699295044,[],,
trace,gâteau,nmod,NOUN,0.5723698139190674,[],,
fin,siècle,nmod,NOUN,0.429499864578247,[],,
temps,même,amod,ADJ,0.4540027976036072,[],,
temps,développer,acl,VERB,0.465727150440216,[],,
emmener,gâteau,obj,NOUN,0.5731573104858398,[],,
gâteau,désigner,acl:relcl,VERB,0.5747085213661194,[],,
verre,Cherry,nmod,PROPN,0.4416323602199554,[],,
transport,marchandise,nmod,NOUN,0.4091279804706573,"[{""id"": 84376, ""node1"": 13712, ""node2"": 43575, ""type"": 0, ""w"": 61.0}]",r_associated,61.0
diversifier,recette,nsubj,NOUN,0.6302999258041382,[],,
diversifier,noix,obj,NOUN,0.5686709880828857,[],,
noix,coco,amod,ADV,0.5649088025093079,"[{""id"": 1924690, ""node1"": 30910, ""node2"": 145904, ""type"": 0, ""w"": 55.0}]",r_associated,55.0
noix,orange,appos,NOUN,0.5669485926628113,[],,
prendre,gâteau,nsubj,NOUN,0.618309736251831,[],,
connaître,que,obj,PRON,0.4116642475128174,[],,
cookie,connaître,acl:relcl,VERB,0.4211593270301819,[],,
