head,lemma,dep,pos,sim,relations,relation_name,w
terme,dériver,acl,VERB,0.4083880186080932,[],,
plat,traditionnel,amod,ADJ,0.6021727323532104,"[{""id"": 93507621, ""node1"": 36327, ""node2"": 41139, ""type"": 17, ""w"": 35.0}]",r_carac,35.0
plat,région,nmod,NOUN,0.635219395160675,[],,
plat,Autriche,nmod,PROPN,0.5723347663879395,[],,
plat,Italie,nmod,PROPN,0.5786339640617371,[],,
version,simple,amod,ADJ,0.4498537182807922,"[{""id"": 582879829, ""node1"": 134208, ""node2"": 53269, ""type"": 17, ""w"": 31.0}]",r_carac,31.0
pomme,terre,nmod,NOUN,0.5521974563598633,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]",r_associated,39.0
pomme,bouillie,nmod,NOUN,0.6341233253479004,[],,
oignon,revenir,acl,VERB,0.612179696559906,"[{""id"": 31823751, ""node1"": 123307, ""node2"": 59241, ""type"": 26, ""w"": 30.0}]",r_patient-1,30.0
oignon,beurre,nmod,NOUN,0.6903297305107117,[],,
pomme,ajouter,acl:relcl,VERB,0.6086653470993042,[],,
ajouter,reste,obj,NOUN,0.4830743670463562,[],,
reste,viande,nmod,NOUN,0.7066671848297119,[],,
viande,porc,nmod,NOUN,0.6425091028213501,"[{""id"": 163100, ""node1"": 140100, ""node2"": 71135, ""type"": 0, ""w"": 719.0}, {""id"": 9926333, ""node1"": 140100, ""node2"": 71135, ""type"": 6, ""w"": -20.0}, {""id"": 159577, ""node1"": 140100, ""node2"": 71135, ""type"": 8, ""w"": 174.0}, {""id"": 390246, ""node1"": 140100, ""node2"": 71135, ""type"": 10, ""w"": 70.0}, {""id"": 15173549, ""node1"": 140100, ""node2"": 71135, ""type"": 27, ""w"": 23.0}, {""id"": 376040808, ""node1"": 140100, ""node2"": 71135, ""type"": 51, ""w"": 35.0}, {""id"": 99763096, ""node1"": 140100, ""node2"": 71135, ""type"": 666, ""w"": 6.0}]",r_associated,719.0
viande,sel,nmod,NOUN,0.7446672916412354,[],,
servir,plat,nsubj:pass,NOUN,0.6370052695274353,"[{""id"": 1610963, ""node1"": 7888, ""node2"": 36327, ""type"": 0, ""w"": 122.0}, {""id"": 97862196, ""node1"": 7888, ""node2"": 36327, ""type"": 14, ""w"": 100.0}, {""id"": 134589, ""node1"": 7888, ""node2"": 36327, ""type"": 16, ""w"": 110.0}, {""id"": 376065693, ""node1"": 7888, ""node2"": 36327, ""type"": 31, ""w"": 26.0}, {""id"": 466842766, ""node1"": 7888, ""node2"": 36327, ""type"": 666, ""w"": 2.0}]",r_associated,122.0
œuf,plat,nmod,NOUN,0.627852737903595,"[{""id"": 1979991, ""node1"": 174124, ""node2"": 36327, ""type"": 0, ""w"": 90.0}]",r_associated,90.0
plat,poser,acl,VERB,0.6066746115684509,[],,
préparation,chou,nmod,NOUN,0.5995528101921082,[],,
important,fait,nsubj,NOUN,0.4323674440383911,[],,
utiliser,recette,nsubj,NOUN,0.6267696022987366,[],,
fait,utiliser,acl,VERB,0.4611563384532928,[],,
important,reste,nsubj,NOUN,0.4422615468502044,[],,
utiliser,type,obj,NOUN,0.4480940997600555,[],,
type,viande,nmod,NOUN,0.6670215725898743,[],,
variante,recette,nmod,NOUN,0.5686603784561157,[],,
préparer,qui,nsubj:pass,PRON,0.4379707872867584,[],,
faire,version,nsubj,NOUN,0.5292651653289795,[],,
version,recette,nmod,NOUN,0.5674464106559753,[],,
version,élaborer,acl,VERB,0.4306933283805847,[],,
viande,frais,amod,ADJ,0.6493272185325623,[],,
viande,lieu,nmod,NOUN,0.6321830749511719,"[{""id"": 9640253, ""node1"": 140100, ""node2"": 135190, ""type"": 0, ""w"": 28.0}, {""id"": 629310, ""node1"": 140100, ""node2"": 135190, ""type"": 6, ""w"": -215.0}]",r_associated,28.0
lieu,reste,nmod,NOUN,0.4328288435935974,[],,
cuisson,four,nmod,NOUN,0.7220739722251892,"[{""id"": 1748883, ""node1"": 60056, ""node2"": 9190, ""type"": 0, ""w"": 162.0}, {""id"": 9626480, ""node1"": 60056, ""node2"": 9190, ""type"": 8, ""w"": 22.0}, {""id"": 14656890, ""node1"": 60056, ""node2"": 9190, ""type"": 41, ""w"": 29.0}, {""id"": 14673603, ""node1"": 60056, ""node2"": 9190, ""type"": 42, ""w"": 32.0}, {""id"": 940332475, ""node1"": 60056, ""node2"": 9190, ""type"": 70, ""w"": 70.0}, {""id"": 989535200, ""node1"": 60056, ""node2"": 9190, ""type"": 80, ""w"": 42.0}, {""id"": 652232265, ""node1"": 60056, ""node2"": 9190, ""type"": 666, ""w"": 4.0}]",r_associated,162.0
