head,lemma,dep,pos,sim,relations,relation_name,w
titre,gâteau,nmod,NOUN,0.546883761882782,[],,
gâteau,ange,nmod,NOUN,0.4816855788230896,[],,
gâteau,anglais,nmod,NOUN,0.5714206099510193,[],,
gâteau,originaire,amod,ADJ,0.5906165242195129,[],,
gâteau,état,nmod,NOUN,0.5098806619644165,[],,
gâteau,forme,nmod,NOUN,0.6106524467468262,[],,
forme,approximatif,amod,ADJ,0.4506008625030517,[],,
invention,batteur,nmod,NOUN,0.4891785979270935,[],,
batteur,manuel,amod,ADJ,0.4576388299465179,[],,
batteur,siècle,nmod,NOUN,0.4663254916667938,[],,
appeler,food,obj,X,0.400137722492218,[],,
gâteau,diable,nmod,NOUN,0.610202431678772,[],,
différent,gâteau,nsubj,NOUN,0.5959072709083557,[],,
considérer,gâteau,nsubj:pass,NOUN,0.600587785243988,[],,
nourriture,ange,nmod,NOUN,0.4112648069858551,[],,
raison,couleur,nmod,NOUN,0.4706551134586334,"[{""id"": 54632055, ""node1"": 39301, ""node2"": 40056, ""type"": 0, ""w"": 21.0}, {""id"": 54611632, ""node1"": 39301, ""node2"": 40056, ""type"": 5, ""w"": 63.0}]",r_syn,63.0
couleur,blanc,amod,ADJ,0.4843737483024597,"[{""id"": 70622, ""node1"": 40056, ""node2"": 15196, ""type"": 0, ""w"": 419.5}, {""id"": 115963, ""node1"": 40056, ""node2"": 15196, ""type"": 7, ""w"": 133.0}, {""id"": 261865, ""node1"": 40056, ""node2"": 15196, ""type"": 8, ""w"": 293.0}, {""id"": 488474906, ""node1"": 40056, ""node2"": 15196, ""type"": 17, ""w"": 31.0}, {""id"": 3165596, ""node1"": 40056, ""node2"": 15196, ""type"": 106, ""w"": 15.0}, {""id"": 272078336, ""node1"": 40056, ""node2"": 15196, ""type"": 666, ""w"": 8.0}]",r_associated,419.5
apparaître,gâteau,nsubj,NOUN,0.6062600612640381,[],,
gâteau,chocolat,nmod,NOUN,0.6268193125724792,"[{""id"": 131041, ""node1"": 2149, ""node2"": 34157, ""type"": 0, ""w"": 264.0}, {""id"": 376998760, ""node1"": 2149, ""node2"": 34157, ""type"": 21, ""w"": 28.0}, {""id"": 264026, ""node1"": 2149, ""node2"": 34157, ""type"": 28, ""w"": 198.0}, {""id"": 14674477, ""node1"": 2149, ""node2"": 34157, ""type"": 42, ""w"": 29.0}, {""id"": 1762443, ""node1"": 2149, ""node2"": 34157, ""type"": 50, ""w"": 38.0}, {""id"": 1762442, ""node1"": 2149, ""node2"": 34157, ""type"": 666, ""w"": 4.0}]",r_associated,264.0
gâteau,étage,nmod,NOUN,0.5186800360679626,[],,
gâteau,nouveau,amod,ADJ,0.6108993887901306,[],,
gâteau,américain,amod,ADJ,0.5705733895301819,[],,
gâteau,suite,nmod,NOUN,0.5736225247383118,[],,
invention,levure,nmod,NOUN,0.5550976395606995,[],,
levure,chimique,amod,ADJ,0.5392369031906128,"[{""id"": 1768889, ""node1"": 53450, ""node2"": 123153, ""type"": 666, ""w"": 2.0}]",r_aki,2.0
gâteau,gâteau,nsubj,NOUN,0.5717036128044128,"[{""id"": 1077681657, ""node1"": 2149, ""node2"": 2149, ""type"": 0, ""w"": 30.0}, {""id"": 1077681658, ""node1"": 2149, ""node2"": 2149, ""type"": 5, ""w"": 30.0}, {""id"": 304959, ""node1"": 2149, ""node2"": 2149, ""type"": 19, ""w"": 57.0}, {""id"": 1077681659, ""node1"": 2149, ""node2"": 2149, ""type"": 72, ""w"": 30.0}]",r_lemma,57.0
gâteau,léger,amod,ADJ,0.5761945843696594,"[{""id"": 729382826, ""node1"": 2149, ""node2"": 143256, ""type"": 0, ""w"": 33.0}]",r_associated,33.0
gâteau,lourd,amod,ADJ,0.5435588359832764,[],,
gâteau,beurre,nmod,NOUN,0.7066349387168884,"[{""id"": 765567662, ""node1"": 2149, ""node2"": 140377, ""type"": 0, ""w"": 82.0}, {""id"": 267609, ""node1"": 2149, ""node2"": 140377, ""type"": 28, ""w"": 129.0}]",r_lieu-1,129.0
utiliser,gâteau,obj,NOUN,0.6167781949043274,[],,
utiliser,préparer,advcl,VERB,0.4703598916530609,[],,
monter,blanc,nsubj,NOUN,0.5139835476875305,[],,
préparer,monter,advcl,VERB,0.4635151028633117,"[{""id"": 53730195, ""node1"": 36246, ""node2"": 113767, ""type"": 0, ""w"": 23.0}, {""id"": 53623614, ""node1"": 36246, ""node2"": 113767, ""type"": 5, ""w"": 241.0}]",r_syn,241.0
ingrédient,autre,amod,ADJ,0.5639666318893433,[],,
utiliser,farine,obj,NOUN,0.6612628102302551,"[{""id"": 478897423, ""node1"": 62611, ""node2"": 127629, ""type"": 0, ""w"": 28.0}, {""id"": 478897422, ""node1"": 62611, ""node2"": 127629, ""type"": 14, ""w"": 100.0}]",r_patient,100.0
farine,blé,nmod,NOUN,0.577633798122406,"[{""id"": 114505, ""node1"": 127629, ""node2"": 32071, ""type"": 0, ""w"": 517.0}, {""id"": 53553413, ""node1"": 127629, ""node2"": 32071, ""type"": 5, ""w"": 71.0}, {""id"": 9855371, ""node1"": 127629, ""node2"": 32071, ""type"": 8, ""w"": 62.0}, {""id"": 102179, ""node1"": 127629, ""node2"": 32071, ""type"": 9, ""w"": 60.0}, {""id"": 120516, ""node1"": 127629, ""node2"": 32071, ""type"": 15, ""w"": -55.0}, {""id"": 390928, ""node1"": 127629, ""node2"": 32071, ""type"": 21, ""w"": 53.0}, {""id"": 11335596, ""node1"": 127629, ""node2"": 32071, ""type"": 28, ""w"": 38.0}, {""id"": 24260246, ""node1"": 127629, ""node2"": 32071, ""type"": 35, ""w"": 125.0}, {""id"": 14674202, ""node1"": 127629, ""node2"": 32071, ""type"": 42, ""w"": 31.0}, {""id"": 1798400, ""node1"": 127629, ""node2"": 32071, ""type"": 666, ""w"": 3.0}]",r_associated,517.0
blé,fin,amod,ADJ,0.5769528746604919,[],,
devoir,gâteau,nsubj,NOUN,0.5696757435798645,[],,
aide,couteau,nmod,NOUN,0.4785410761833191,[],,
tendance,couteau,nsubj,NOUN,0.5413476824760437,[],,
couteau,standard,amod,ADJ,0.5022042989730835,[],,
lieu,couper,acl,VERB,0.4583889245986938,"[{""id"": 4984691, ""node1"": 135190, ""node2"": 128828, ""type"": 30, ""w"": -5.0}]",r_lieu_action,-5.0
cuire,gâteau,nsubj:pass,NOUN,0.771659255027771,"[{""id"": 435038053, ""node1"": 5115, ""node2"": 2149, ""type"": 0, ""w"": 33.0}, {""id"": 99104749, ""node1"": 5115, ""node2"": 2149, ""type"": 13, ""w"": 100.0}, {""id"": 206247, ""node1"": 5115, ""node2"": 2149, ""type"": 14, ""w"": 100.0}, {""id"": 376067701, ""node1"": 5115, ""node2"": 2149, ""type"": 31, ""w"": 26.0}]",r_agent,100.0
moule,grand,amod,ADJ,0.5231143832206726,[],,
moule,rond,amod,ADJ,0.5250141620635986,[],,
tube,centre,nmod,NOUN,0.4005772471427917,[],,
faire,qui,nsubj,PRON,0.4499227106571197,"[{""id"": 729891679, ""node1"": 87528, ""node2"": 114890, ""type"": 9, ""w"": -5.0}]",r_has_part,-5.0
tube,faire,acl:relcl,VERB,0.4792344868183136,[],,
faire,trou,obj,NOUN,0.4929909408092499,[],,
pouvoir,pâte,nsubj,NOUN,0.641716480255127,[],,
côté,tout,amod,ADJ,0.4852043688297272,[],,
côté,moule,nmod,NOUN,0.5438346862792969,[],,
gâteau,autre,amod,ADJ,0.6130278706550598,[],,
devoir,moule,nsubj,NOUN,0.5052770972251892,[],,
coulis,fruit,nmod,NOUN,0.5584460496902466,"[{""id"": 220069, ""node1"": 10401, ""node2"": 87286, ""type"": 0, ""w"": 51.0}]",r_associated,51.0
glaçage,simple,amod,ADJ,0.5801363587379456,[],,
possible,glaçage,nsubj,NOUN,0.5689330697059631,[],,
fraise,couper,acl,VERB,0.5513026118278503,"[{""id"": 97124044, ""node1"": 16242, ""node2"": 128828, ""type"": 0, ""w"": 19.0}]",r_associated,19.0
