head,lemma,dep,pos,sim,relations,relation_name,w
ensemble,produit,nmod,NOUN,0.406938761472702,[],,
produit,laitier,amod,ADJ,0.4826900959014892,"[{""id"": 1924594, ""node1"": 32667, ""node2"": 10201, ""type"": 0, ""w"": 58.0}]",r_associated,58.0
produit,utiliser,acl,VERB,0.4333162009716034,[],,
cuisine,population,nmod,NOUN,0.5792227983474731,"[{""id"": 957326298, ""node1"": 16033, ""node2"": 58732, ""type"": 0, ""w"": 23.0}]",r_associated,23.0
peuple,autre,amod,ADJ,0.4179307818412781,[],,
vache,mélanger,acl,VERB,0.5187948346138,[],,
mélange,tomate,nmod,NOUN,0.6842632293701172,"[{""id"": 246259412, ""node1"": 14800, ""node2"": 22138, ""type"": 8, ""w"": 29.0}]",r_hypo,29.0
huile,olive,nmod,NOUN,0.573360800743103,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]",r_associated,441.0
exister,soupe,obj,NOUN,0.6284605264663696,[],,
soupe,traditionnel,amod,ADJ,0.6689316630363464,[],,
soupe,libanais,amod,ADJ,0.6134511232376099,[],,
faire,qui,nsubj:pass,PRON,0.4499227106571197,"[{""id"": 729891679, ""node1"": 87528, ""node2"": 114890, ""type"": 9, ""w"": -5.0}]",r_has_part,-5.0
soupe,faire,acl:relcl,VERB,0.6815975308418274,[],,
faire,viande,obj,NOUN,0.7241941690444946,[],,
viande,gras,amod,ADJ,0.6458488702774048,"[{""id"": 9988181, ""node1"": 140100, ""node2"": 56362, ""type"": 0, ""w"": 52.0}, {""id"": 1610470, ""node1"": 140100, ""node2"": 56362, ""type"": 9, ""w"": 45.0}, {""id"": 2501747, ""node1"": 140100, ""node2"": 56362, ""type"": 17, ""w"": 37.0}, {""id"": 103293265, ""node1"": 140100, ""node2"": 56362, ""type"": 27, ""w"": 36.0}, {""id"": 11347060, ""node1"": 140100, ""node2"": 56362, ""type"": 28, ""w"": 38.0}, {""id"": 646610948, ""node1"": 140100, ""node2"": 56362, ""type"": 666, ""w"": 1.0}, {""id"": 3246624, ""node1"": 140100, ""node2"": 56362, ""type"": 777, ""w"": 7.0}]",r_associated,52.0
viande,conserver,acl,VERB,0.7007999420166016,"[{""id"": 98485100, ""node1"": 140100, ""node2"": 42089, ""type"": 26, ""w"": 56.0}]",r_patient-1,56.0
populaire,connaître,advcl,VERB,0.4037393033504486,[],,
climat,sec,amod,ADJ,0.4383838176727295,"[{""id"": 99941, ""node1"": 2308, ""node2"": 63619, ""type"": 0, ""w"": 70.0}, {""id"": 262716, ""node1"": 2308, ""node2"": 63619, ""type"": 17, ""w"": 60.0}]",r_associated,70.0
trouver,consistance,obj,NOUN,0.458239734172821,[],,
consistance,dur,amod,ADJ,0.4397048354148865,"[{""id"": 97120614, ""node1"": 29223, ""node2"": 72731, ""type"": 0, ""w"": 19.0}, {""id"": 97120609, ""node1"": 29223, ""node2"": 72731, ""type"": 17, ""w"": 22.0}]",r_carac,22.0
consistance,permettre,acl,VERB,0.4254966676235199,[],,
produit,base,nmod,NOUN,0.5113966464996338,[],,
nomade,autre,nmod,ADJ,0.4205063581466675,[],,
forme,industriel,amod,ADJ,0.4956009089946747,[],,
forme,liquide,amod,ADJ,0.5436038374900818,[],,
forme,cuisine,nmod,NOUN,0.6308498382568359,[],,
eau,obtenir,acl,VERB,0.5561345815658569,[],,
obtenir,pâte,obj,NOUN,0.6281460523605347,[],,
pâte,marron,amod,ADJ,0.6530005931854248,[],,
pâte,foncé,amod,ADJ,0.6362083554267883,[],,
pâte,acide,nmod,NOUN,0.6461817622184753,[],,
acide,appeler,acl,VERB,0.441525787115097,[],,
pâte,utiliser,acl,VERB,0.6445064544677734,[],,
assaisonnement,soupe,nmod,NOUN,0.7052874565124512,"[{""id"": 729556212, ""node1"": 15763, ""node2"": 117152, ""type"": 0, ""w"": 25.0}]",r_associated,25.0
base,yaourt,nmod,NOUN,0.6123276352882385,[],,
produit,sécher,acl,VERB,0.5297788977622986,[],,
fromage,devoir,acl,VERB,0.5846124291419983,[],,
ensemble,région,nmod,NOUN,0.4020800292491913,[],,
yaourt,issu,acl,VERB,0.4807488322257995,[],,
lait,petit,amod,ADJ,0.6053019762039185,"[{""id"": 1794036, ""node1"": 86296, ""node2"": 55222, ""type"": 666, ""w"": 1.0}]",r_aki,1.0
