head,lemma,dep,pos,sim,relations,relation_name,w
concerner,alimentation,obj,NOUN,0.410456508398056,[],,
ébauche,étaler,advcl,VERB,0.4192602336406708,[],,
étaler,pâte,obj,NOUN,0.6089464426040649,"[{""id"": 364779096, ""node1"": 98214, ""node2"": 34069, ""type"": 0, ""w"": 38.0}, {""id"": 243248, ""node1"": 98214, ""node2"": 34069, ""type"": 14, ""w"": 100.0}]",r_patient,100.0
tige,bois,nmod,NOUN,0.5167314410209656,"[{""id"": 1022424, ""node1"": 25437, ""node2"": 96256, ""type"": 0, ""w"": 26.0}, {""id"": 8867064, ""node1"": 25437, ""node2"": 96256, ""type"": 17, ""w"": 34.0}]",r_carac,34.0
métal,long,amod,ADJ,0.4899991750717163,[],,
alternative,rouleau,nmod,NOUN,0.4385228157043457,[],,
rouleau,pâtissier,amod,ADJ,0.4577105045318603,[],,
planche,cuisine,nmod,NOUN,0.6255026459693909,"[{""id"": 15425190, ""node1"": 120728, ""node2"": 16033, ""type"": 0, ""w"": 233.0}, {""id"": 452906, ""node1"": 120728, ""node2"": 16033, ""type"": 3, ""w"": 232.0}, {""id"": 283856997, ""node1"": 120728, ""node2"": 16033, ""type"": 15, ""w"": 15.0}]",r_associated,233.0
élaboration,pâte,nmod,NOUN,0.6417254209518433,[],,
mariage,traditionnel,amod,ADJ,0.4201606512069702,"[{""id"": 675396051, ""node1"": 26477, ""node2"": 41139, ""type"": 0, ""w"": 23.0}]",r_associated,23.0
cuillère,bois,nmod,NOUN,0.5890449285507202,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,devant,acl,ADP,0.5232660174369812,[],,
