head,lemma,dep,pos,sim,relations,relation_name,w
pomme,terre,nmod,NOUN,0.5521974563598633,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]",r_associated,39.0
terre,agressif,amod,ADJ,0.5029616355895996,[],,
pomme,couper,acl,VERB,0.5837893486022949,"[{""id"": 31839899, ""node1"": 37201, ""node2"": 128828, ""type"": 26, ""w"": 64.0}]",r_patient-1,64.0
pomme,cube,nmod,NOUN,0.5758985877037048,[],,
cube,irrégulier,amod,ADJ,0.431406021118164,[],,
huile,olive,nmod,ADJ,0.573360800743103,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]",r_associated,441.0
huile,gousse,nmod,NOUN,0.5810243487358093,[],,
gousse,ail,nmod,NOUN,0.5413048267364502,"[{""id"": 1841967, ""node1"": 3889, ""node2"": 26979, ""type"": 0, ""w"": 58.0}, {""id"": 665112731, ""node1"": 3889, ""node2"": 26979, ""type"": 174, ""w"": 40.0}, {""id"": 714921743, ""node1"": 3889, ""node2"": 26979, ""type"": 666, ""w"": 3.0}]",r_associated,58.0
trouver,pomme,nsubj,NOUN,0.5867658257484436,[],,
pomme,égoutter,acl,VERB,0.6145026683807373,[],,
ingrédient,principal,amod,ADJ,0.5312119126319885,[],,
ingrédient,sauce,nmod,NOUN,0.7602857351303101,"[{""id"": 98477910, ""node1"": 123418, ""node2"": 141110, ""type"": 0, ""w"": 28.0}, {""id"": 97415123, ""node1"": 123418, ""node2"": 141110, ""type"": 10, ""w"": 28.0}]",r_holo,28.0
trouver,huile,obj,NOUN,0.5878996849060059,[],,
huile,farine,nmod,NOUN,0.6669836044311523,"[{""id"": 558642723, ""node1"": 141971, ""node2"": 127629, ""type"": 0, ""w"": 27.0}]",r_associated,27.0
paprika,épicé,acl,ADJ,0.6003320813179016,"[{""id"": 939871018, ""node1"": 116439, ""node2"": 81389, ""type"": 0, ""w"": 30.0}]",r_associated,30.0
bouillon,poulet,nmod,NOUN,0.680425763130188,"[{""id"": 558647557, ""node1"": 146582, ""node2"": 146261, ""type"": 0, ""w"": 27.0}]",r_associated,27.0
raison,préparation,nmod,NOUN,0.5137647986412048,[],,
plat,pomme,nsubj,NOUN,0.6887202262878418,[],,
plat,similaire,amod,ADJ,0.5841349363327026,"[{""id"": 541161746, ""node1"": 36327, ""node2"": 60988, ""type"": 17, ""w"": 26.0}]",r_carac,26.0
terre,cube,nmod,NOUN,0.5354030728340149,[],,
