head,lemma,dep,pos,sim,relations,relation_name,w
soupe,traditionnel,amod,ADJ,0.6689316630363464,[],,
originaire,soupe,nsubj,NOUN,0.622870683670044,[],,
soupe,semoule,nmod,NOUN,0.6987363696098328,"[{""id"": 729556139, ""node1"": 117152, ""node2"": 64778, ""type"": 0, ""w"": 30.0}]",r_associated,30.0
semoule,orge,nmod,NOUN,0.5469309091567993,"[{""id"": 7081424, ""node1"": 64778, ""node2"": 54538, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
signifier,thym,obj,ADJ,0.5663698315620422,[],,
soupe,contenir,acl,VERB,0.6601181626319885,[],,
soupe,tel,amod,ADJ,0.5942850708961487,[],,
soupe,ce,nsubj,PRON,0.4044951200485229,[],,
jour,fête,nmod,NOUN,0.4520125985145569,[],,
jour,fin,nmod,NOUN,0.4445211291313171,[],,
fin,ramadan,nmod,NOUN,0.4472776651382446,[],,
déjeuner,petit,amod,ADJ,0.5158843398094177,"[{""id"": 12233362, ""node1"": 78845, ""node2"": 55222, ""type"": 0, ""w"": 34.0}, {""id"": 706705, ""node1"": 78845, ""node2"": 55222, ""type"": 5, ""w"": 27.0}]",r_associated,34.0
place,déjeuner,nmod,NOUN,0.5285887718200684,[],,
déjeuner,classique,amod,ADJ,0.5517666935920715,[],,
habituer,corps,nsubj,NOUN,0.4072469174861908,[],,
régime,certain,amod,ADJ,0.4383541643619537,[],,
régime,alimentaire,amod,ADJ,0.4811001420021057,"[{""id"": 33159082, ""node1"": 127867, ""node2"": 16746, ""type"": 0, ""w"": 35.0}, {""id"": 16007682, ""node1"": 127867, ""node2"": 16746, ""type"": 35, ""w"": 32.0}]",r_associated,35.0
avoir,soupe,nsubj,NOUN,0.6236917972564697,[],,
fonction,remède,nmod,NOUN,0.4769395887851715,[],,
remède,passation,nmod,NOUN,0.4103200435638428,[],,
utiliser,donner,advcl,VERB,0.4081113040447235,"[{""id"": 344453320, ""node1"": 62611, ""node2"": 12941, ""type"": 0, ""w"": 21.0}, {""id"": 342873099, ""node1"": 62611, ""node2"": 12941, ""type"": 5, ""w"": 26.0}]",r_syn,26.0
posséder,que,obj,PRON,0.4070367217063904,[],,
faire,partie,obj,NOUN,0.4993119537830353,[],,
faire,plante,obj,NOUN,0.5522135496139526,[],,
huile,essentiel,amod,ADJ,0.5718637108802795,"[{""id"": 12295232, ""node1"": 141971, ""node2"": 124060, ""type"": 0, ""w"": 30.0}, {""id"": 580648, ""node1"": 141971, ""node2"": 124060, ""type"": 5, ""w"": -37.0}]",r_associated,30.0
germe,pathogène,amod,ADJ,0.4006511569023132,"[{""id"": 1053037292, ""node1"": 5925, ""node2"": 69805, ""type"": 666, ""w"": 2.0}]",r_aki,2.0
