head,lemma,dep,pos,sim,relations,relation_name,w
raisin,cuire,amod,VERB,0.7638542652130127,[],,
vinaigre,balsamique,amod,ADJ,0.589052140712738,"[{""id"": 2132353, ""node1"": 145443, ""node2"": 37458, ""type"": 0, ""w"": 166.0}, {""id"": 1928285, ""node1"": 145443, ""node2"": 37458, ""type"": 666, ""w"": 1.0}]",r_associated,166.0
vinaigre,terme,nmod,NOUN,0.5749484300613403,[],,
terme,élevage,nmod,NOUN,0.450806200504303,[],,
fût,bois,nmod,NOUN,0.5003723502159119,"[{""id"": 1306876, ""node1"": 123612, ""node2"": 96256, ""type"": 0, ""w"": 30.0}, {""id"": 97663835, ""node1"": 123612, ""node2"": 96256, ""type"": 6, ""w"": 22.0}]",r_associated,30.0
augmenter,concentration,obj,NOUN,0.4028939306735992,"[{""id"": 416866187, ""node1"": 40479, ""node2"": 15221, ""type"": 14, ""w"": 31.0}]",r_patient,31.0
vin,cuit,amod,ADJ,0.7213276624679565,"[{""id"": 8997816, ""node1"": 35798, ""node2"": 28105, ""type"": 17, ""w"": 27.0}]",r_carac,27.0
permettre,méthode,nsubj,NOUN,0.4378090500831604,[],,
méthode,fabrication,nmod,NOUN,0.477521538734436,[],,
conserver,vin,obj,NOUN,0.6016229391098022,[],,
mets,autre,amod,ADJ,0.5137988328933716,[],,
titre,même,amod,ADJ,0.4046845138072967,[],,
gâteau,titre,nmod,NOUN,0.546883761882782,[],,
titre,miel,nmod,NOUN,0.5655083656311035,[],,
eau,boisson,nmod,NOUN,0.5870132446289062,"[{""id"": 111176, ""node1"": 65012, ""node2"": 113547, ""type"": 0, ""w"": 277.0}, {""id"": 482085, ""node1"": 65012, ""node2"": 113547, ""type"": 3, ""w"": 56.0}, {""id"": 54686689, ""node1"": 65012, ""node2"": 113547, ""type"": 5, ""w"": 85.0}, {""id"": 482195, ""node1"": 65012, ""node2"": 113547, ""type"": 6, ""w"": 251.0}, {""id"": 384376, ""node1"": 65012, ""node2"": 113547, ""type"": 10, ""w"": 70.0}, {""id"": 414586, ""node1"": 65012, ""node2"": 113547, ""type"": 17, ""w"": -51.0}, {""id"": 1593699, ""node1"": 65012, ""node2"": 113547, ""type"": 35, ""w"": 150.0}, {""id"": 376055738, ""node1"": 65012, ""node2"": 113547, ""type"": 51, ""w"": 30.0}, {""id"": 1032955643, ""node1"": 65012, ""node2"": 113547, ""type"": 78, ""w"": 35.0}, {""id"": 1795772, ""node1"": 65012, ""node2"": 113547, ""type"": 666, ""w"": 21.0}]",r_associated,277.0
boisson,stimulant,amod,ADJ,0.5326203107833862,[],,
eau,vin,nmod,NOUN,0.651085376739502,"[{""id"": 137458, ""node1"": 65012, ""node2"": 35798, ""type"": 0, ""w"": 54.0}, {""id"": 1039912849, ""node1"": 65012, ""node2"": 35798, ""type"": 8, ""w"": 25.0}, {""id"": 11023408, ""node1"": 65012, ""node2"": 35798, ""type"": 10, ""w"": 17.0}, {""id"": 375688368, ""node1"": 65012, ""node2"": 35798, ""type"": 56, ""w"": 28.0}]",r_associated,54.0
mode,production,nmod,NOUN,0.4235146939754486,[],,
cuisson,lent,amod,ADJ,0.5700416564941406,[],,
résultat,cuisson,nmod,NOUN,0.6850923895835876,[],,
cépage,cuve,nmod,NOUN,0.5067542195320129,"[{""id"": 560965840, ""node1"": 39922, ""node2"": 115250, ""type"": 0, ""w"": 40.0}]",r_associated,40.0
cuve,rouge,amod,ADJ,0.5827670693397522,"[{""id"": 555104926, ""node1"": 115250, ""node2"": 86356, ""type"": 17, ""w"": 26.0}]",r_carac,26.0
cépage,blanc,amod,ADJ,0.4431568384170532,"[{""id"": 31148012, ""node1"": 39922, ""node2"": 15196, ""type"": 0, ""w"": 60.0}, {""id"": 31148011, ""node1"": 39922, ""node2"": 15196, ""type"": 27, ""w"": -28.0}]",r_associated,60.0
préparation,dessert,nmod,NOUN,0.6433907151222229,"[{""id"": 10575336, ""node1"": 33634, ""node2"": 38557, ""type"": 0, ""w"": 58.0}, {""id"": 9622583, ""node1"": 33634, ""node2"": 38557, ""type"": 8, ""w"": 21.0}]",r_associated,58.0
dessert,vin,nmod,NOUN,0.6265461444854736,[],,
devenir,mélanger,advcl,VERB,0.4999155402183532,[],,
devenir,boisson,obj,NOUN,0.5576136708259583,[],,
boisson,doux,amod,ADJ,0.559988796710968,[],,
fût,augmenter,acl,VERB,0.417913556098938,[],,
