head,lemma,dep,pos,sim,relations,relation_name,w
donner,référence,obj,NOUN,0.4324645698070526,[],,
spécialité,pâtissier,amod,ADJ,0.5090672373771667,[],,
spécialité,ville,nmod,NOUN,0.4215305745601654,[],,
recette,dont,nmod,PRON,0.554669976234436,[],,
mettre,recette,nsubj:pass,NOUN,0.6356000304222107,[],,
recette,original,amod,ADJ,0.5799373388290405,[],,
grand-père,maison,nmod,NOUN,0.4848577380180359,[],,
déposer,marque,obj,NOUN,0.4290319681167602,"[{""id"": 12988005, ""node1"": 35714, ""node2"": 143180, ""type"": 14, ""w"": 51.0}]",r_patient,51.0
rappeler,taille,nsubj,NOUN,0.4259237647056579,[],,
aspect,extérieur,amod,ADJ,0.4023930132389068,"[{""id"": 766469, ""node1"": 92662, ""node2"": 106608, ""type"": 0, ""w"": 29.0}, {""id"": 53585889, ""node1"": 92662, ""node2"": 106608, ""type"": 5, ""w"": 468.0}]",r_syn,468.0
mine,fer,nmod,NOUN,0.4472763240337372,"[{""id"": 407258, ""node1"": 140613, ""node2"": 124092, ""type"": 0, ""w"": 60.0}, {""id"": 11348804, ""node1"": 140613, ""node2"": 124092, ""type"": 28, ""w"": 48.0}]",r_associated,60.0
spécialité,lorraine,amod,ADJ,0.4337873458862304,[],,
