head,lemma,dep,pos,sim,relations,relation_name,w
concerner,cuisine,obj,NOUN,0.6019042730331421,[],,
dessert,originaire,amod,ADJ,0.53325355052948,"[{""id"": 372655628, ""node1"": 38557, ""node2"": 38359, ""type"": 17, ""w"": 26.0}]",r_carac,26.0
sembler,forme,nsubj,NOUN,0.4277122914791107,[],,
penser,certain,nsubj,PRON,0.4068995118141174,"[{""id"": 319712115, ""node1"": 42196, ""node2"": 87676, ""type"": 0, ""w"": 36.0}]",r_associated,36.0
appellation,calotte,nmod,NOUN,0.4121648371219635,[],,
appeler,forme,nsubj:pass,NOUN,0.4249127805233001,[],,
forme,pâtisserie,nmod,NOUN,0.5583813786506653,[],,
base,lui,nsubj,PRON,0.4719972312450409,[],,
base,pâte,nmod,NOUN,0.6559011340141296,[],,
base,dire,acl,VERB,0.5199267864227295,[],,
ajouter,crème,nsubj:pass,NOUN,0.6165028810501099,[],,
goût,chacun,nmod,PRON,0.5445151925086975,[],,
goût,amande,nmod,NOUN,0.618491530418396,[],,
cacao,poudre,nmod,NOUN,0.5631622076034546,"[{""id"": 115907, ""node1"": 68363, ""node2"": 139470, ""type"": 0, ""w"": 104.0}, {""id"": 82560097, ""node1"": 68363, ""node2"": 139470, ""type"": 6, ""w"": 35.0}, {""id"": 261410, ""node1"": 68363, ""node2"": 139470, ""type"": 8, ""w"": 101.0}, {""id"": 1568466, ""node1"": 68363, ""node2"": 139470, ""type"": 35, ""w"": 51.0}, {""id"": 1787114, ""node1"": 68363, ""node2"": 139470, ""type"": 666, ""w"": 3.0}]",r_hypo,101.0
