head,lemma,dep,pos,sim,relations,relation_name,w
concerner,gastronomie,obj,NOUN,0.4582444131374359,[],,
signifier,soupe,obj,NOUN,0.6429703235626221,[],,
soupe,pain,nmod,NOUN,0.7266402244567871,"[{""id"": 1010362, ""node1"": 117152, ""node2"": 61283, ""type"": 0, ""w"": 37.0}, {""id"": 97760197, ""node1"": 117152, ""node2"": 61283, ""type"": 3, ""w"": 30.0}, {""id"": 96653711, ""node1"": 117152, ""node2"": 61283, ""type"": 6, ""w"": 15.0}, {""id"": 1046076861, ""node1"": 117152, ""node2"": 61283, ""type"": 20, ""w"": 30.0}, {""id"": 97412182, ""node1"": 117152, ""node2"": 61283, ""type"": 35, ""w"": 21.0}]",r_associated,37.0
soupe,composer,acl,VERB,0.6258166432380676,[],,
chou,courgette,nmod,NOUN,0.5897541046142578,[],,
chou,pomme,nmod,NOUN,0.6079865097999573,[],,
pomme,terre,nmod,NOUN,0.5521974563598633,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]",r_associated,39.0
pomme,carotte,nmod,NOUN,0.5821788907051086,[],,
pomme,oignon,nmod,NOUN,0.629199206829071,[],,
pomme,pulpe,nmod,NOUN,0.5832158327102661,"[{""id"": 423545807, ""node1"": 37201, ""node2"": 85081, ""type"": 0, ""w"": 21.0}, {""id"": 4964971, ""node1"": 37201, ""node2"": 85081, ""type"": 777, ""w"": 2.0}]",r_associated,21.0
pulpe,tomate,nmod,NOUN,0.5844699144363403,[],,
pomme,huile,nmod,NOUN,0.647621214389801,[],,
huile,olive,nmod,NOUN,0.573360800743103,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]",r_associated,441.0
huile,extra,acl,NOUN,0.5674359202384949,[],,
pomme,sel,nmod,NOUN,0.72169429063797,[],,
pomme,piment,nmod,NOUN,0.6760677695274353,[],,
pomme,poudre,nmod,NOUN,0.633364200592041,[],,
chou,pain,nmod,NOUN,0.6845852732658386,[],,
pain,grillé,amod,ADJ,0.6723514199256897,"[{""id"": 1782545, ""node1"": 61283, ""node2"": 141899, ""type"": 17, ""w"": 80.0}]",r_carac,80.0
chou,lard,appos,NOUN,0.5970901250839233,[],,
